Date, Game, Inning, Pitcher, Hand, Batter, Stand, AB_ID, Result, AB_Total, AB_Count, Pfx_ID, Play_ID, Balls, Strikes, Outs, Code, Pdes, Type, Zone, Con, SZ_Top, SZ_Bot, Start_Speed, End_Speed, Nasty_Factor, X0, Y0, Z0, PX, PZ, PfxX, PfxZ, VX0, VY0, VZ0, AX, AY, AZ, Break_Angle, Break_Length, Break_Y, Spin_Rate, Spin_Direction, Runner 1B, Runner 2B, Runner 3B, End 1B, End 2B, End 3B, Runs, Outs On Play, Run Diff, Half
2019-09-24,566666,6,592773,R,608324,R,39,Groundout,2,1,190330_234510,ea90b738-31fb-4415-8c12-301397be06fd,0,0,0,B,Ball,FF,12,2.0,3.28,1.66,98.4,89.2,,-0.15,50.0,6.36,1.24,2.63,-4.79,10.48,5.64,-142.92,-8.57,-9.81,35.66,-10.69,33.6,3.6,24.0,2220,203,,,,,,,0,1,1,top
2019-09-24,566666,6,592773,R,608324,R,39,Groundout,2,2,190330_234534,5cc5c094-0c2e-4d95-9926-2105aaae56f4,1,0,0,X,In play- out(s),FF,5,2.0,3.16,1.53,97.6,88.2,,-0.2,50.0,6.29,0.18,2.2,-7.4,10.1,3.73,-141.52,-9.23,-14.83,35.85,-11.94,44.4,3.6,24.0,2329,217,,,,,,,0,1,1,top
2019-09-24,566666,6,592773,R,488726,L,40,Lineout,2,1,190330_234615,eb078c3a-a743-4a4c-b2c0-530f45e9fd0b,0,0,1,B,Ball,FF,11,2.0,3.38,1.56,97.7,87.9,,-0.4,50.0,6.52,-0.46,3.97,-5.72,9.53,1.89,-141.96,-4.75,-11.48,37.22,-13.02,37.2,3.6,24.0,2309,211,,,,,,,0,1,1,top
2019-09-24,566666,6,592773,R,488726,L,40,Lineout,2,2,190330_234646,13b6c7de-0071-41de-8289-b8f8019691f7,1,0,1,X,In play- out(s),FF,2,2.0,3.31,1.55,97.1,87.7,,-0.49,50.0,6.32,-0.22,2.78,-6.74,10.05,3.17,-141.03,-7.61,-13.41,35.76,-12.18,42.0,3.6,24.0,2298,214,,,,,,,0,1,1,top
2019-09-24,566666,6,592773,R,493329,R,41,Pop Out,3,1,190330_234714,6afb5f20-94c1-4716-9252-ec00abe4ea26,0,0,2,B,Ball,FF,14,2.0,3.37,1.66,98.5,89.0,,-0.1,50.0,6.39,1.46,2.1,-5.14,9.98,6.24,-142.73,-9.93,-10.47,36.46,-11.84,32.4,3.6,24.0,2211,206,,,,,,,0,1,1,top
2019-09-24,566666,6,592773,R,493329,R,41,Pop Out,3,2,190330_234729,e8210af0-2849-427a-a42d-8a677e97c021,1,0,2,B,Ball,SL,14,2.0,3.31,1.61,88.5,81.1,,-0.78,50.0,5.98,1.11,0.32,0.73,4.6,4.56,-128.49,-9.47,1.21,28.48,-24.53,4.8,6.0,24.0,2253,159,,,,,,,0,1,1,top
2019-09-24,566666,6,592773,R,493329,R,41,Pop Out,3,3,190330_234748,47b8e256-0624-4a3a-ba46-f4c58f94a91c,2,0,2,X,In play- out(s),FF,4,2.0,3.21,1.63,97.8,88.8,,-0.36,50.0,6.35,-0.52,2.73,-7.76,10.27,2.39,-142.07,-8.11,-15.74,34.8,-11.33,49.2,3.6,24.0,2366,218,,,,,,,0,1,1,top
2019-09-24,566666,7,592773,R,502210,L,46,Flyout,4,1,190330_235935,a20de628-0f08-482d-b804-af4f429515e6,0,0,0,B,Ball,FF,11,2.0,3.34,1.63,97.3,88.1,,-0.54,50.0,6.54,-0.35,3.99,-4.4,10.81,2.12,-141.55,-5.21,-8.84,35.13,-10.45,34.8,2.4,24.0,2342,201,,,,,,,0,1,1,top
2019-09-24,566666,7,592773,R,502210,L,46,Flyout,4,2,190330_235952,7fd69509-5948-46eb-b8c6-763e718713cb,1,0,0,B,Ball,FF,13,2.0,3.19,1.73,96.9,88.2,,-0.57,50.0,6.22,-0.66,1.42,-6.07,10.83,1.93,-140.59,-11.37,-12.07,33.64,-10.64,40.8,3.6,24.0,2365,211,,,,,,,0,1,1,top
2019-09-24,566666,7,592773,R,502210,L,46,Flyout,4,3,190331_000012,003f8c23-f896-423c-b847-174008a212c6,2,0,0,S,Called Strike,FF,11,2.0,3.31,1.61,97.0,88.2,,-0.48,50.0,6.33,-0.87,2.51,-5.47,10.4,0.89,-140.98,-8.56,-10.93,34.13,-11.38,38.4,3.6,24.0,2334,209,,,,,,,0,1,1,top
2019-09-24,566666,7,592773,R,502210,L,46,Flyout,4,4,190331_000044,9608e3f8-76af-4b5c-a99d-f1d1ba91840f,2,1,0,X,In play- out(s),FF,2,2.0,3.26,1.64,97.5,88.5,,-0.54,50.0,6.28,-0.08,2.54,-5.99,10.45,3.44,-141.63,-8.45,-12.08,34.79,-11.13,40.8,3.6,24.0,2357,210,,,,,,,0,1,1,top
2019-09-24,566666,7,592773,R,455139,R,47,Strikeout,3,1,190331_000118,59005a7a-4e12-4dd3-b3cc-ed1673a6d6b7,0,0,1,S,Called Strike,SL,2,2.0,2.82,1.26,89.2,81.8,,-0.89,50.0,6.18,0.04,2.54,-1.13,2.32,2.76,-129.7,-3.79,-1.93,27.29,-28.23,2.4,7.2,24.0,2311,201,,,,,,,0,1,1,top
2019-09-24,566666,7,592773,R,455139,R,47,Strikeout,3,2,190331_000136,c08279e3-15d6-44fb-8964-a18fc87dbf83,0,1,1,S,Swinging Strike,SL,14,2.0,2.97,1.41,89.7,83.1,,-0.72,50.0,5.99,1.18,0.88,-1.14,2.7,5.28,-130.29,-7.86,-1.97,25.58,-27.49,2.4,7.2,24.0,2457,195,,,,,,,0,1,1,top
2019-09-24,566666,7,592773,R,455139,R,47,Strikeout,3,3,190331_000156,3fa3c894-5cb7-41e4-a4dd-42820946eb92,0,2,1,S,Swinging Strike (Blocked),SL,14,2.0,2.96,1.43,89.7,82.1,,-0.74,50.0,6.0,0.85,0.9,0.09,2.54,4.04,-130.15,-7.65,0.15,28.84,-27.84,2.4,7.2,24.0,2474,160,,,,,,,0,1,1,top
2019-09-24,566666,7,592773,R,643603,R,48,Walk,6,1,190331_000235,ee24ca91-5032-4aed-a7bc-3a831e61c63f,0,0,2,B,Ball,SL,12,2.0,2.88,1.48,88.6,81.3,,-0.85,50.0,6.29,0.89,3.69,0.72,0.76,4.2,-128.9,-0.56,1.21,26.62,-30.89,3.6,7.2,24.0,2394,124,,,,643603,,,0,0,1,top
2019-09-24,566666,7,592773,R,643603,R,48,Walk,6,2,190331_000251,6cbf68bd-4500-4754-9156-e693b292e930,1,0,2,S,Foul,FF,3,2.0,2.96,1.46,97.0,87.8,,-0.22,50.0,6.3,0.55,2.96,-5.59,12.33,4.13,-140.89,-7.87,-11.13,34.88,-7.63,46.8,2.4,24.0,2368,203,,,,643603,,,0,0,1,top
2019-09-24,566666,7,592773,R,643603,R,48,Walk,6,3,190331_000318,0e2140d4-745b-45b1-ac0c-eed7581f1131,1,1,2,B,Ball,SL,11,2.0,3.04,1.51,89.1,82.0,,-0.79,50.0,6.31,-0.55,4.08,0.4,2.41,0.48,-129.76,-0.27,0.68,25.55,-28.04,1.2,7.2,24.0,2352,169,,,,643603,,,0,0,1,top
2019-09-24,566666,7,592773,R,643603,R,48,Walk,6,4,190331_000342,474ba34c-c2c4-4364-bca4-8329d541c77f,2,1,2,S,Foul,FF,3,2.0,3.07,1.51,96.6,87.6,,-0.27,50.0,6.35,0.27,3.1,-6.72,11.59,3.9,-140.32,-7.33,-13.31,33.94,-9.23,48.0,3.6,24.0,2384,209,,,,643603,,,0,0,1,top
2019-09-24,566666,7,592773,R,643603,R,48,Walk,6,5,190331_000432,5039a2df-1e21-4996-bb55-540cf0dfa603,2,2,2,B,Ball,SL,14,2.0,3.03,1.5,89.2,81.4,,-0.22,50.0,6.12,0.85,1.08,-2.31,6.85,3.5,-129.52,-8.78,-3.89,28.95,-20.62,8.4,6.0,24.0,986,197,,,,643603,,,0,0,1,top
2019-09-24,566666,7,592773,R,643603,R,48,Walk,6,6,190331_000500,d5d7750c-dd9f-4d5e-8ef0-37b376d053a9,3,2,2,B,Ball,FF,12,2.0,3.02,1.46,97.2,87.7,,-0.05,50.0,6.54,1.19,4.36,-3.37,11.24,4.65,-141.2,-4.27,-6.73,35.71,-9.74,27.6,2.4,24.0,2259,194,,,,643603,,,0,0,1,top
2019-09-24,566666,7,592773,R,643393,L,49,Lineout,1,1,190331_000540,92cda023-e7d5-4ce5-ae69-bc5177c112c6,0,0,2,X,In play- out(s),FF,1,2.0,2.99,1.57,96.1,87.0,,-0.55,50.0,6.31,-0.57,3.14,-4.96,11.22,1.72,-139.69,-6.84,-9.69,34.59,-10.25,38.4,3.6,24.0,2207,204,643603,,,,,,0,1,1,top
2019-09-24,566668,1,592773,R,453568,L,0,Strikeout,5,1,190401_231023,f8c5178d-0123-4535-98ac-ac0c42db6505,0,0,0,B,Ball,FF,12,2.0,3.34,1.6,98.6,89.9,,-0.21,50.0,6.4,1.14,3.44,-5.65,10.96,5.89,-143.25,-6.69,-11.72,33.53,-9.43,43.2,2.4,24.0,2355,205,,,,,,,0,1,0,top
2019-09-24,566668,1,592773,R,453568,L,0,Strikeout,5,2,190401_231043,b0e71b4c-d4b5-4f68-a852-541b34336f17,1,0,0,S,Foul,FF,5,2.0,3.49,1.6,98.7,90.1,,-0.32,50.0,6.4,0.07,2.82,-5.19,10.45,3.02,-143.41,-8.3,-10.81,33.25,-10.42,39.6,3.6,24.0,2339,206,,,,,,,0,1,0,top
2019-09-24,566668,1,592773,R,453568,L,0,Strikeout,5,3,190401_231109,d0077bc2-8490-49fc-9fce-f0e983bcbf11,1,1,0,S,Called Strike,FS,14,2.0,3.28,1.49,90.1,83.1,,-0.34,50.0,6.22,0.86,1.91,-6.64,6.07,5.33,-130.87,-7.02,-11.6,25.71,-21.57,25.2,6.0,24.0,1013,228,,,,,,,0,1,0,top
2019-09-24,566668,1,592773,R,453568,L,0,Strikeout,5,4,190401_231132,63e2c4cd-63d0-4f70-a063-eebcab60b37f,1,2,0,B,Ball,FF,12,2.0,3.36,1.6,98.6,89.5,,-0.29,50.0,6.57,0.2,5.21,-4.7,10.91,3.09,-143.43,-2.16,-9.75,34.76,-9.56,42.0,2.4,24.0,2402,201,,,,,,,0,1,0,top
2019-09-24,566668,1,592773,R,453568,L,0,Strikeout,5,5,190401_231155,8bbf0cf0-292d-481e-9f38-c1f79acf237d,2,2,0,S,Swinging Strike,SL,13,2.0,3.47,1.59,90.3,83.3,,-0.74,50.0,6.09,-0.03,1.15,-0.69,2.56,2.07,-131.45,-7.5,-1.2,27.69,-27.7,1.2,7.2,24.0,2310,193,,,,,,,0,1,0,top
2019-09-24,566668,1,592773,R,621311,L,1,Strikeout,5,1,190401_231230,7e066084-2379-4573-a31c-f7ddd42f23db,0,0,1,B,Ball,FF,11,2.0,3.13,1.6,98.8,89.9,,-0.81,50.0,6.25,-1.78,3.01,-6.2,10.77,-0.46,-143.67,-7.43,-12.88,34.97,-9.78,48.0,3.6,24.0,2364,211,,,,,,,0,1,0,top
2019-09-24,566668,1,592773,R,621311,L,1,Strikeout,5,2,190401_231248,b519022a-2085-491c-800d-6df1220d3908,1,0,1,B,Ball,FS,13,2.0,3.17,1.59,88.7,81.7,,-0.4,50.0,6.21,-1.42,2.34,-6.6,2.99,-0.4,-129.2,-4.56,-11.17,26.5,-27.1,21.6,7.2,24.0,995,248,,,,,,,0,1,0,top
2019-09-24,566668,1,592773,R,621311,L,1,Strikeout,5,3,190401_231311,734d3bb5-9fe8-412f-9c57-05d5e82fc24d,2,0,1,S,Swinging Strike,FF,2,2.0,3.47,1.59,98.7,89.8,,-0.24,50.0,6.41,0.12,3.36,-5.25,12.33,2.95,-143.45,-7.45,-10.9,34.21,-6.57,50.4,2.4,24.0,2419,202,,,,,,,0,1,0,top
2019-09-24,566668,1,592773,R,621311,L,1,Strikeout,5,4,190401_231333,9c49c1ae-b85b-4f5c-9f6e-ba24f943a288,2,1,1,S,Foul,FF,1,2.0,3.47,1.59,98.4,89.4,,-0.5,50.0,6.39,-0.63,3.41,-5.95,12.26,1.79,-142.96,-7.18,-12.24,34.53,-6.93,54.0,2.4,24.0,2392,206,,,,,,,0,1,0,top
2019-09-24,566668,1,592773,R,621311,L,1,Strikeout,5,5,190401_231359,4255d7ea-79e2-4812-bb60-8e250e723289,2,2,1,S,Swinging Strike,FS,11,2.0,3.47,1.59,88.1,80.8,,-0.35,50.0,6.34,-1.36,3.31,-8.27,3.09,0.16,-128.28,-2.33,-13.77,26.76,-27.02,26.4,7.2,24.0,915,250,,,,,,,0,1,0,top
2019-09-24,566668,1,592773,R,571448,R,2,Single,4,1,190401_231437,d12c00a1-7052-4cbe-9c03-ca91c3bbdd92,0,0,2,S,Called Strike,FF,2,2.0,3.29,1.61,98.1,89.5,,-0.17,50.0,6.31,-0.02,2.98,-5.32,9.32,2.37,-142.71,-7.06,-10.95,33.54,-13.0,34.8,3.6,24.0,2219,210,,,,571448,,,0,0,0,top
2019-09-24,566668,1,592773,R,571448,R,2,Single,4,2,190401_231456,a591a460-c01a-4523-9e44-d61d7408b9c4,0,1,2,B,Ball,FF,12,2.0,3.32,1.57,97.7,89.0,,-0.21,50.0,6.25,1.2,3.12,-6.1,9.01,6.18,-142.0,-6.3,-12.42,33.36,-13.83,36.0,3.6,24.0,2197,212,,,,571448,,,0,0,0,top
2019-09-24,566668,1,592773,R,571448,R,2,Single,4,3,190401_231518,4f555686-69b0-4b41-af5b-0cfdfd5076e3,1,1,2,S,Foul,SL,6,2.0,3.47,1.59,89.7,82.5,,-0.68,50.0,6.13,0.3,2.63,-1.11,2.63,2.91,-130.49,-3.69,-1.92,26.88,-27.62,2.4,7.2,24.0,2375,198,,,,571448,,,0,0,0,top
2019-09-24,566668,1,592773,R,571448,R,2,Single,4,4,190401_231552,175f2ef6-db2d-44fc-895b-868e23eedf64,1,2,2,X,In play- no out,FS,13,2.0,3.47,1.59,88.8,81.8,,-0.15,50.0,6.16,-0.39,1.56,-4.49,6.8,0.87,-129.16,-7.69,-7.62,25.99,-20.64,18.0,6.0,24.0,876,216,,,,571448,,,0,0,0,top
2019-09-24,566668,1,592773,R,596115,R,3,Strikeout,5,1,190401_231629,cf9f417c-03dc-4d70-aca6-f580c977be50,0,0,2,B,Ball,SL,14,2.0,3.38,1.59,88.0,79.0,,-0.68,50.0,6.07,1.71,1.95,0.28,-0.19,5.87,-127.69,-3.76,0.46,32.78,-32.48,3.6,8.4,24.0,2315,64,571448,,,,,,0,1,0,top
2019-09-24,566668,1,592773,R,596115,R,3,Strikeout,5,2,190401_231653,21ea96fc-6ad3-49b7-ba3b-4b1a1e9c9fc7,1,0,2,S,Swinging Strike,FF,5,2.0,3.47,1.59,97.5,89.0,,-0.33,50.0,6.29,0.01,2.56,-4.15,12.3,2.46,-141.57,-9.15,-8.43,32.15,-7.2,40.8,2.4,24.0,2362,198,571448,,,,,,0,1,0,top
2019-09-24,566668,1,592773,R,596115,R,3,Strikeout,5,3,190401_231721,cf782ed9-8471-4e02-8257-cd3be16c1b71,1,1,2,B,Ball,FF,14,2.0,3.41,1.59,97.7,89.3,,-0.04,50.0,6.27,1.39,2.07,-5.34,11.43,5.96,-141.86,-10.19,-10.88,32.36,-8.88,40.8,2.4,24.0,2311,204,571448,,,,,,0,1,0,top
2019-09-24,566668,1,592773,R,596115,R,3,Strikeout,5,4,190401_231749,b98d8680-a0d9-4424-9a41-c952fdad9f82,2,1,2,S,Swinging Strike,FF,12,2.0,3.47,1.59,98.4,89.7,,0.04,50.0,6.31,0.97,2.85,-3.91,10.89,4.04,-143.03,-8.03,-8.07,33.71,-9.67,31.2,2.4,24.0,2332,198,571448,,,,,,0,1,0,top
2019-09-24,566668,1,592773,R,596115,R,3,Strikeout,5,5,190401_231823,de6d1b0c-5410-4db4-b628-44feeb045a5f,2,2,2,S,Swinging Strike,SL,6,2.0,3.49,1.6,88.9,82.0,,-0.72,50.0,6.2,0.3,2.84,1.83,0.24,2.01,-129.34,-2.4,3.11,25.84,-31.77,6.0,7.2,24.0,2456,93,571448,,,,,,0,1,0,top
2019-09-24,566670,7,592773,R,641857,L,44,Bunt Groundout,2,1,190403_184848,b2e1f674-af2d-4341-be3e-8f566a5c68b5,0,0,0,S,Foul,FF,3,2.0,3.47,1.59,97.8,89.0,,-0.1,50.0,6.43,0.57,2.89,-4.3,10.27,3.44,-142.09,-7.89,-8.75,33.97,-11.26,31.2,3.6,24.0,2235,202,,,,,,,0,1,0,top
2019-09-24,566670,7,592773,R,641857,L,44,Bunt Groundout,2,2,190403_184908,f325ee32-f3b8-49ce-83ee-746223f93d84,0,1,0,X,In play- out(s),FF,12,2.0,3.49,1.6,98.5,89.2,,-0.24,50.0,6.26,0.96,2.88,-6.05,11.21,5.59,-143.03,-7.87,-12.41,35.78,-9.16,44.4,3.6,24.0,2399,207,,,,,,,0,1,0,top
2019-09-24,566670,7,592773,R,435622,R,45,Strikeout,4,1,190403_184944,4079856e-1b17-4250-b7dd-3f6d7a59fa08,0,0,1,B,Ball,SL,14,2.0,3.27,1.6,89.5,82.5,,-0.61,50.0,6.15,1.18,1.69,-1.8,2.79,5.2,-130.02,-6.14,-3.1,26.51,-27.38,4.8,7.2,24.0,2366,208,,,,,,,0,1,0,top
2019-09-24,566670,7,592773,R,435622,R,45,Strikeout,4,2,190403_185001,2a5174f2-051e-4543-b918-528338bc73eb,1,0,1,S,Foul,FF,3,2.0,3.49,1.6,98.5,89.6,,-0.21,50.0,6.39,0.61,3.09,-4.47,11.08,3.96,-143.1,-7.67,-9.24,34.2,-9.29,37.2,2.4,24.0,2394,201,,,,,,,0,1,0,top
2019-09-24,566670,7,592773,R,435622,R,45,Strikeout,4,3,190403_185024,a4a8b0ab-09c3-4622-b7e9-aac997e22bb5,1,1,1,S,Swinging Strike,FS,14,2.0,3.49,1.6,89.4,82.3,,-0.23,50.0,6.16,0.02,0.93,-5.14,5.84,2.34,-129.92,-9.08,-8.79,26.91,-22.18,19.2,6.0,24.0,901,224,,,,,,,0,1,0,top
2019-09-24,566670,7,592773,R,435622,R,45,Strikeout,4,4,190403_185050,798d6cbf-32ec-4305-b2ea-46bb748b4d5d,1,2,1,S,Swinging Strike,FS,14,2.0,3.49,1.6,89.4,82.0,,0.03,50.0,6.27,0.65,1.52,-4.56,3.78,3.12,-130.1,-7.16,-7.79,28.19,-25.72,14.4,7.2,24.0,885,234,,,,,,,0,1,0,top
2019-09-24,566670,7,592773,R,606132,L,46,Flyout,6,1,190403_185123,4a11d5ec-f07e-480d-8d64-0a1e3b6fa989,0,0,2,S,Foul,FF,14,2.0,3.49,1.6,98.1,88.9,,-0.24,50.0,6.28,0.97,2.24,-5.58,10.12,5.42,-142.31,-9.25,-11.35,35.18,-11.59,36.0,3.6,24.0,2348,208,,,,,,,0,1,0,top
2019-09-24,566670,7,592773,R,606132,L,46,Flyout,6,2,190403_185142,0987994a-8eed-4740-9fbe-77d4d8a66a55,0,1,2,B,Ball,FF,11,2.0,3.41,1.6,97.7,88.6,,-0.59,50.0,6.33,-1.09,3.42,-6.6,9.29,1.0,-142.07,-5.73,-13.37,35.35,-13.36,42.0,3.6,24.0,2339,216,,,,,,,0,1,0,top
2019-09-24,566670,7,592773,R,606132,L,46,Flyout,6,3,190403_185200,0e06a047-30dc-4093-8d4a-276e42be9b53,1,1,2,S,Swinging Strike,FF,5,2.0,3.49,1.6,97.0,88.1,,-0.39,50.0,6.36,0.02,2.8,-5.06,11.17,2.95,-140.87,-8.09,-10.1,33.96,-9.87,38.4,3.6,24.0,2284,204,,,,,,,0,1,0,top
2019-09-24,566670,7,592773,R,606132,L,46,Flyout,6,4,190403_185220,64bd707d-05ca-4534-8f99-a21a890650bd,1,2,2,B,Ball,FS,13,2.0,3.39,1.6,89.1,82.0,,-0.19,50.0,6.08,-0.17,-0.33,-5.39,4.57,1.83,-129.16,-11.5,-9.09,27.62,-24.48,18.0,7.2,24.0,,237,,,,,,,0,1,0,top
2019-09-24,566670,7,592773,R,606132,L,46,Flyout,6,5,190403_185245,cdf31207-7ece-4182-8dbc-e8e0ffea0c11,2,2,2,B,Ball,FS,13,2.0,3.33,1.6,88.9,81.6,,-0.26,50.0,6.1,-0.9,0.42,-6.48,6.9,0.53,-129.03,-10.4,-10.9,27.59,-20.57,25.2,6.0,24.0,862,228,,,,,,,0,1,0,top
2019-09-24,566670,7,592773,R,606132,L,46,Flyout,6,6,190403_185319,630e90b1-2f5b-497c-920b-b4148303aa50,3,2,2,X,In play- out(s),FF,9,2.0,3.55,1.63,98.3,88.9,,-0.16,50.0,6.31,0.58,2.18,-5.37,12.1,4.03,-142.55,-10.22,-10.95,35.85,-7.53,44.4,2.4,24.0,2380,203,,,,,,,0,1,0,top
2019-09-24,566472,1,592773,R,621453,L,5,Groundout,11,1,190406_201545,00b0c928-6081-4a6a-a35e-66848e89b0ab,0,0,0,B,Ball,FF,12,2.0,3.39,1.73,97.9,88.9,,-0.45,50.0,6.46,0.17,3.74,-3.75,10.83,3.09,-142.32,-5.82,-7.64,34.58,-10.09,31.2,2.4,24.0,2404,198,,,,,,,0,1,1,bottom
2019-09-24,566472,1,592773,R,621453,L,5,Groundout,11,2,190406_201602,02e15675-7fad-4853-8b77-61f621af8128,1,0,0,S,Swinging Strike,FF,5,2.0,3.47,1.59,97.7,89.0,,-0.52,50.0,6.38,-0.19,2.82,-2.7,11.49,1.91,-141.83,-8.4,-5.49,32.92,-8.81,25.2,2.4,24.0,2442,193,,,,,,,0,1,1,bottom
2019-09-24,566472,1,592773,R,621453,L,5,Groundout,11,3,190406_201622,35a9899a-d876-44d5-a712-b91dfee89372,1,1,0,S,Foul,FF,1,2.0,3.47,1.59,98.2,89.7,,-0.36,50.0,6.44,-0.5,3.08,-5.39,9.62,1.57,-142.67,-7.28,-11.12,32.61,-12.32,37.2,3.6,24.0,2393,210,,,,,,,0,1,1,bottom
2019-09-24,566472,1,592773,R,621453,L,5,Groundout,11,4,190406_201646,90521c2a-18b4-4a03-b3ac-73f78ba488b8,1,1,0,S,Foul,FS,1,2.0,3.47,1.59,88.4,82.1,,-0.31,50.0,6.33,-0.29,2.89,-3.7,1.98,1.29,-128.74,-3.15,-6.29,23.47,-28.81,12.0,7.2,24.0,,243,,,,,,,0,1,1,bottom
2019-09-24,566472,1,592773,R,621453,L,5,Groundout,11,5,190406_201717,6e9c28c6-b31c-49b1-a1f3-d26e525fd5dc,1,2,0,B,Ball,FS,14,2.0,3.45,1.59,88.6,81.9,,-0.22,50.0,6.18,0.37,0.95,-6.72,3.25,3.72,-128.63,-8.07,-11.32,25.24,-26.69,20.4,7.2,24.0,890,248,,,,,,,0,1,1,bottom
2019-09-24,566472,1,592773,R,621453,L,5,Groundout,11,6,190406_201740,5b5a3242-f31d-49b6-abe7-4efa0e05c76c,2,1,0,S,Foul,FF,1,2.0,3.47,1.59,98.1,90.7,,-0.59,50.0,6.36,-0.28,3.32,-4.74,8.02,2.64,-142.68,-5.87,-9.9,28.54,-15.4,30.0,3.6,24.0,2259,210,,,,,,,0,1,1,bottom
2019-09-24,566472,1,592773,R,621453,L,5,Groundout,11,7,190406_201809,7f9ebdf9-ceb5-4ca5-9aa8-16577ac24690,2,1,0,S,Foul,FF,5,2.0,3.47,1.59,98.9,91.0,,-0.18,50.0,6.34,-0.22,2.65,-5.16,8.54,1.79,-143.82,-8.02,-10.89,31.19,-14.16,33.6,3.6,24.0,2432,212,,,,,,,0,1,1,bottom
2019-09-24,566472,1,592773,R,621453,L,5,Groundout,11,8,190406_201831,f0199b92-6f00-429f-b715-7d6dcbc96e64,2,2,0,B,Ball,SL,14,2.0,3.41,1.7,90.7,83.4,,-0.87,50.0,5.73,0.44,-1.54,0.36,4.55,3.27,-131.34,-14.12,0.63,29.25,-24.26,2.4,6.0,24.0,2428,164,,,,,,,0,1,1,bottom
2019-09-24,566472,1,592773,R,621453,L,5,Groundout,11,9,190406_201901,7b9f1578-4802-4dc2-93e7-ea7d5d73d10d,3,1,0,S,Foul,FF,11,2.0,3.47,1.59,98.0,89.7,,-0.61,50.0,6.24,-1.48,2.86,-5.78,11.05,-0.32,-142.52,-7.85,-11.9,32.28,-9.41,46.8,3.6,24.0,2473,209,,,,,,,0,1,1,bottom
2019-09-24,566472,1,592773,R,621453,L,5,Groundout,11,10,190406_201927,84fecfe0-52d2-4719-998c-9d11f1b9519d,3,1,0,S,Foul,FF,13,2.0,3.47,1.59,97.7,89.9,,-0.42,50.0,6.23,-1.11,2.16,-4.67,11.18,-0.24,-142.02,-9.8,-9.59,30.74,-9.21,40.8,2.4,24.0,2336,204,,,,,,,0,1,1,bottom
2019-09-24,566472,1,592773,R,621453,L,5,Groundout,11,11,190406_201954,40834640-3216-4438-ad11-35f67858f3e1,3,2,0,X,In play- out(s),FF,8,2.0,3.47,1.59,98.4,90.9,,-0.28,50.0,6.17,-0.05,1.81,-6.3,10.24,2.98,-142.92,-10.45,-13.17,29.42,-10.76,44.4,3.6,24.0,2344,212,,,,,,,0,1,1,bottom
2019-09-24,566472,1,592773,R,474832,L,6,Flyout,4,1,190406_202035,0c057149-351c-4256-afab-7c5a56607ab1,0,0,1,B,Ball,SL,14,2.0,3.3,1.61,90.3,83.7,,-0.85,50.0,5.79,1.12,-0.67,-0.69,2.07,5.35,-130.96,-11.19,-1.2,26.75,-28.57,0.0,7.2,24.0,2330,184,,,,,,,0,1,1,bottom
2019-09-24,566472,1,592773,R,474832,L,6,Flyout,4,2,190406_202055,4fb98ca0-73a8-460f-bebe-f90d7e8e9472,1,0,1,S,Swinging Strike,FF,13,2.0,3.29,1.63,97.6,89.3,,-0.33,50.0,6.08,-0.13,1.32,-5.02,12.73,2.38,-141.53,-12.19,-10.2,31.69,-6.3,46.8,2.4,24.0,2380,202,,,,,,,0,1,1,bottom
2019-09-24,566472,1,592773,R,474832,L,6,Flyout,4,3,190406_202115,b346b06e-4398-421d-8b8a-cf17e0da4661,1,1,1,S,Swinging Strike,FF,13,2.0,3.55,1.63,98.2,89.6,,-0.55,50.0,6.05,-0.95,2.49,-6.6,11.0,1.28,-142.74,-8.32,-13.6,33.37,-9.51,49.2,3.6,24.0,2435,212,,,,,,,0,1,1,bottom
2019-09-24,566472,1,592773,R,474832,L,6,Flyout,4,4,190406_202138,fca28549-3fd9-4679-9bc9-3dd53382bb99,1,2,1,X,In play- out(s),FF,2,2.0,3.55,1.63,98.4,89.4,,-0.44,50.0,6.13,-0.13,2.99,-4.47,11.43,2.49,-143.03,-7.3,-9.2,34.66,-8.62,39.6,2.4,24.0,2414,201,,,,,,,0,1,1,bottom
2019-09-24,566472,1,592773,R,446334,R,7,Strikeout,6,1,190406_202222,1bf6a920-071c-4d83-bcab-9edfd0948ff3,0,0,2,S,Foul,FF,12,2.0,3.41,1.56,98.6,89.5,,-0.26,50.0,6.16,0.77,2.58,-3.94,11.96,4.35,-143.15,-8.78,-8.12,34.76,-7.5,36.0,2.4,24.0,2351,197,,,,,,,0,1,1,bottom
2019-09-24,566472,1,592773,R,446334,R,7,Strikeout,6,2,190406_202247,7da6b258-f06b-49f5-bc97-2ee892cdbc72,0,1,2,B,Ball,SL,14,2.0,3.71,1.7,91.1,85.3,,-0.81,50.0,5.78,1.26,-0.79,-1.83,2.78,6.07,-132.1,-12.07,-3.29,23.95,-27.19,4.8,6.0,24.0,2385,215,,,,,,,0,1,1,bottom
2019-09-24,566472,1,592773,R,446334,R,7,Strikeout,6,3,190406_202310,8eeefd52-2219-4f2f-b80b-479f6e4bc2d9,1,1,2,S,Foul,FS,13,2.0,3.41,1.56,87.5,81.5,,-0.45,50.0,6.04,-0.28,0.84,-4.81,2.97,2.01,-127.22,-7.75,-7.98,22.92,-27.25,15.6,7.2,24.0,818,243,,,,,,,0,1,1,bottom
