Date, Game, Inning, Pitcher, Hand, Batter, Stand, AB_ID, Result, AB_Total, AB_Count, Pfx_ID, Play_ID, Balls, Strikes, Outs, Code, Pdes, Type, Zone, Con, SZ_Top, SZ_Bot, Start_Speed, End_Speed, Nasty_Factor, X0, Y0, Z0, PX, PZ, PfxX, PfxZ, VX0, VY0, VZ0, AX, AY, AZ, Break_Angle, Break_Length, Break_Y, Spin_Rate, Spin_Direction, Runner 1B, Runner 2B, Runner 3B, End 1B, End 2B, End 3B, Runs, Outs On Play, Run Diff, Half
2017-05-21,490751,4,572208,L,488726,L,30,Flyout,3,1,170521_191826,e2d661e2-1d6b-431f-af92-2a5a913e0b7d,0,0,0,B,Ball,FF,13,2.0,3.65,1.75,91.9,84.0,52.41,2.0,50.0,5.35,-1.45,1.75,3.75,10.15,-10.36,-133.1,-6.81,6.73,28.27,-13.95,16.8,3.6,24.0,2182,163,596019,543401,,,,,0,1,-4,top
2017-05-21,490751,4,572208,L,488726,L,30,Flyout,3,2,170521_191845,710902ad-3de6-48bf-b2bd-2b43bcc78c95,1,0,0,B,Ball,FF,14,2.0,3.45,1.56,91.2,82.7,54.29,2.27,50.0,5.37,0.9,2.23,4.15,11.36,-4.96,-132.2,-5.83,7.31,29.65,-12.18,25.2,3.6,24.0,2169,160,596019,543401,,,,,0,1,-4,top
2017-05-21,490751,4,572208,L,488726,L,30,Flyout,3,3,170521_191915,1ef87d60-d023-481d-a0c0-e75a5582fb98,2,0,0,X,In play- out(s),FF,9,2.0,3.76,1.51,90.5,82.3,55.68,2.05,50.0,5.28,0.67,1.77,3.32,10.94,-4.7,-131.21,-6.55,5.78,28.51,-13.15,18.0,3.6,24.0,2208,163,596019,543401,,,,,0,1,-4,top
2017-05-21,490751,4,572208,L,467793,R,31,Walk,4,1,170521_191954,cb0a26a8-3cd2-4638-b12a-34b17f1b737a,0,0,1,B,Ball,CH,13,2.0,3.72,1.74,83.6,76.9,47.81,1.32,50.0,5.11,-2.42,0.07,6.32,0.66,-10.88,-120.87,-5.51,9.37,23.34,-31.2,13.2,9.6,24.0,1141,79,,,,467793,596019,543401,0,0,-4,top
2017-05-21,490751,4,572208,L,467793,R,31,Walk,4,2,170521_192034,b411ba74-c340-4d7b-a871-e0e5eae8ac5c,1,0,1,B,Ball,SL,14,2.0,3.76,1.87,78.6,71.6,50.08,1.81,50.0,5.34,1.29,2.38,-1.93,0.88,-0.6,-114.09,0.25,-2.52,22.46,-31.02,4.8,9.6,24.0,1784,272,,,,467793,596019,543401,0,0,-4,top
2017-05-21,490751,4,572208,L,467793,R,31,Walk,4,3,170521_192054,78258128-413e-4123-adfa-d044184b3829,2,0,1,B,Ball,FF,12,2.0,3.56,1.83,93.6,85.0,57.35,1.58,50.0,5.57,0.89,3.22,5.24,9.52,-3.67,-135.81,-3.61,9.75,30.6,-14.45,30.0,3.6,24.0,2187,150,,,,467793,596019,543401,0,0,-4,top
2017-05-21,490751,4,572208,L,467793,R,31,Walk,4,4,170521_192115,93fe86b4-a020-43a1-b506-abf75bcc0516,3,0,1,B,Ball,FF,14,2.0,3.79,2.04,93.9,86.1,39.72,1.52,50.0,5.25,0.59,0.92,5.09,8.51,-4.28,-136.19,-8.65,9.58,29.17,-16.14,26.4,4.8,24.0,2214,146,,,,467793,596019,543401,0,0,-4,top
2017-05-21,490751,4,572208,L,429665,R,32,Single,5,1,170521_192146,a0456848-7a26-48ef-9249-abdedc6fb045,0,0,1,B,Ball,SL,13,2.0,3.71,1.7,79.0,71.7,52.14,1.48,50.0,5.39,-1.34,2.25,-0.98,0.54,-6.08,-114.46,-0.06,-1.28,23.41,-31.46,4.8,9.6,24.0,1806,285,467793,596019,543401,429665,467793,596019,1,0,-4,top
2017-05-21,490751,4,572208,L,429665,R,32,Single,5,2,170521_192203,63407690-8013-4ead-a797-c81e987dbd07,1,0,1,B,Ball,FF,14,2.0,3.74,1.69,90.8,82.8,35.42,1.45,50.0,5.4,1.36,1.64,6.27,8.75,-2.35,-131.82,-6.53,10.99,28.99,-16.84,30.0,4.8,24.0,2108,140,467793,596019,543401,429665,467793,596019,1,0,-4,top
2017-05-21,490751,4,572208,L,429665,R,32,Single,5,3,170521_192233,1b6d4981-4fe4-40a0-829b-17cb6b4ab436,2,0,1,S,Swinging Strike,FF,13,2.0,3.5,1.58,92.5,84.7,52.62,1.45,50.0,5.41,-0.87,2.35,2.98,8.26,-7.19,-134.18,-4.91,5.46,28.01,-17.07,12.0,3.6,24.0,2180,162,467793,596019,543401,429665,467793,596019,1,0,-4,top
2017-05-21,490751,4,572208,L,429665,R,32,Single,5,4,170521_192254,694919cd-76eb-458e-8df2-20000754436b,2,1,1,S,Swinging Strike,FF,7,2.0,3.5,1.58,92.4,84.3,45.03,1.24,50.0,5.3,-0.28,1.63,5.56,9.07,-5.91,-133.93,-6.73,10.1,28.84,-15.7,27.6,4.8,24.0,2163,147,467793,596019,543401,429665,467793,596019,1,0,-4,top
2017-05-21,490751,4,572208,L,429665,R,32,Single,5,5,170521_192325,1e086463-4d59-41a1-895a-f7ea63b5969a,2,2,1,X,In play- run(s),FF,8,2.0,3.5,1.58,90.6,82.6,36.43,1.39,50.0,5.28,-0.15,1.88,3.42,10.29,-5.15,-131.41,-6.08,5.97,28.07,-14.2,18.0,3.6,24.0,2109,162,467793,596019,543401,429665,467793,596019,1,0,-4,top
