Date, Game, Inning, Pitcher, Hand, Batter, Stand, AB_ID, Result, AB_Total, AB_Count, Pfx_ID, Play_ID, Balls, Strikes, Outs, Code, Pdes, Type, Zone, Con, SZ_Top, SZ_Bot, Start_Speed, End_Speed, Nasty_Factor, X0, Y0, Z0, PX, PZ, PfxX, PfxZ, VX0, VY0, VZ0, AX, AY, AZ, Break_Angle, Break_Length, Break_Y, Spin_Rate, Spin_Direction, Runner 1B, Runner 2B, Runner 3B, End 1B, End 2B, End 3B, Runs, Outs On Play, Run Diff, Half
2019-08-26,567552,8,623352,L,502671,R,56,Strikeout,3,1,190328_202535,42d5e853-dc32-4d25-8026-607f0622c1af,0,0,0,S,Swinging Strike,FF,5,2.0,3.52,1.62,96.1,87.7,,2.85,50.0,5.11,-0.13,2.7,6.61,11.11,-10.6,-139.64,-4.78,13.06,31.39,-10.24,43.2,3.6,24.0,2440,153,,,,,,,0,1,1,top
2019-08-26,567552,8,623352,L,502671,R,56,Strikeout,3,2,190328_202556,f2944d51-379b-4614-9d78-8f6970d21cee,0,1,0,S,Swinging Strike,FF,2,2.0,3.52,1.62,97.0,88.6,,2.89,50.0,5.26,-0.15,2.98,4.2,11.56,-9.97,-140.97,-4.75,8.45,32.03,-8.91,32.4,2.4,24.0,2341,164,,,,,,,0,1,1,top
2019-08-26,567552,8,623352,L,502671,R,56,Strikeout,3,3,190328_202620,1560a933-8dfe-4e5a-bf5c-9e3efe79e342,0,2,0,S,Swinging Strike,FF,4,2.0,3.52,1.62,97.1,88.3,,2.86,50.0,5.05,-0.34,2.67,6.04,11.88,-11.09,-141.0,-5.13,12.11,33.09,-8.34,44.4,2.4,24.0,2351,157,,,,,,,0,1,1,top
2019-08-26,567552,8,623352,L,657557,R,57,Strikeout,4,1,190328_202656,2593b214-eaa7-4377-b4c4-9c65b4f788f6,0,0,1,S,Swinging Strike,FF,11,2.0,3.37,1.53,96.9,88.2,,2.93,50.0,5.18,-0.01,3.69,6.72,10.59,-10.59,-140.88,-2.17,13.47,32.72,-10.94,44.4,3.6,24.0,2453,152,,,,,,,0,1,1,top
2019-08-26,567552,8,623352,L,657557,R,57,Strikeout,4,2,190328_202722,18f90b61-fece-46f6-b969-b169bb45484c,0,1,1,B,Ball,FF,11,2.0,3.47,1.6,97.8,88.9,,2.87,50.0,5.33,-0.33,4.4,4.64,11.42,-10.66,-142.15,-1.03,9.45,33.76,-8.89,37.2,2.4,24.0,2406,163,,,,,,,0,1,1,top
2019-08-26,567552,8,623352,L,657557,R,57,Strikeout,4,3,190328_202745,a0b96000-c86e-4258-95f2-4fa54cad423d,1,1,1,S,Called Strike,FF,12,2.0,3.44,1.52,96.9,88.1,,3.08,50.0,5.05,0.72,2.73,7.32,10.98,-9.19,-140.86,-4.6,14.64,33.09,-10.18,48.0,3.6,24.0,2375,149,,,,,,,0,1,1,top
2019-08-26,567552,8,623352,L,657557,R,57,Strikeout,4,4,190328_202812,b9d2c323-8a8d-4a81-a72e-5be841fced86,1,2,1,S,Swinging Strike,FF,9,2.0,3.37,1.53,98.1,89.4,,2.85,50.0,5.02,0.25,2.14,5.59,11.89,-9.37,-142.44,-6.71,11.47,33.27,-7.8,44.4,2.4,24.0,2384,158,,,,,,,0,1,1,top
2019-08-26,567552,8,623352,L,542303,R,58,Strikeout,4,1,190328_202850,9556d9f6-9372-46dd-a119-ab9107ae98b2,0,0,2,S,Swinging Strike,FF,1,2.0,3.64,1.6,96.8,87.8,,2.97,50.0,5.13,-0.32,3.53,5.92,12.17,-11.24,-140.62,-2.98,11.79,33.59,-7.94,46.8,2.4,24.0,2369,159,,,,,,,0,1,1,top
2019-08-26,567552,8,623352,L,542303,R,58,Strikeout,4,2,190328_202909,8283bf26-03a3-4c2e-bcd7-e285d604bb3a,0,1,2,B,Ball,FF,3,2.0,3.53,1.7,97.3,88.2,,3.01,50.0,5.11,0.5,3.31,5.99,11.44,-9.16,-141.47,-3.36,12.05,34.43,-9.16,44.4,2.4,24.0,2469,156,,,,,,,0,1,1,top
2019-08-26,567552,8,623352,L,542303,R,58,Strikeout,4,3,190328_202933,bba85b7a-0082-4d1d-9197-66da59b53da5,1,1,2,S,Swinging Strike,FF,11,2.0,3.64,1.6,97.4,88.3,,2.73,50.0,5.08,-0.38,3.65,5.67,11.53,-10.72,-141.59,-2.39,11.42,34.39,-8.93,43.2,2.4,24.0,2400,158,,,,,,,0,1,1,top
2019-08-26,567552,8,623352,L,542303,R,58,Strikeout,4,4,190328_203009,47606451-1c0b-467c-9a9c-3f9047297774,1,2,2,S,Swinging Strike,FF,7,2.0,3.64,1.6,97.9,89.4,,2.79,50.0,5.05,-0.26,2.32,6.47,11.17,-10.91,-142.27,-6.0,13.26,32.72,-9.28,45.6,3.6,24.0,2378,153,,,,,,,0,1,1,top
2019-08-26,567552,9,623352,L,425877,R,63,Flyout,4,1,190328_204143,af0eaaec-eab1-4ce2-b2f7-41387cce4523,0,0,0,B,Ball,FF,12,2.0,3.5,1.61,94.3,85.8,,3.1,50.0,5.2,0.31,3.89,6.42,10.78,-9.8,-137.15,-1.39,12.2,31.05,-11.69,39.6,3.6,24.0,2250,153,,,,,,,0,1,1,top
2019-08-26,567552,9,623352,L,425877,R,63,Flyout,4,2,190328_204212,fcc0ab72-812b-4987-8932-79e43d247a43,1,0,0,S,Foul,FF,12,2.0,3.32,1.51,95.0,86.7,,3.19,50.0,5.16,0.63,3.65,6.4,9.89,-9.25,-138.17,-1.73,12.37,30.67,-13.04,37.2,3.6,24.0,2348,151,,,,,,,0,1,1,top
2019-08-26,567552,9,623352,L,425877,R,63,Flyout,4,3,190328_204232,a066a2ec-590d-444f-a8ea-73d94c0b09e8,1,1,0,B,Ball,FF,12,2.0,3.5,1.64,95.6,87.4,,3.21,50.0,5.17,0.77,3.95,5.1,10.22,-8.5,-139.09,-1.15,10.01,30.72,-12.11,33.6,3.6,24.0,2300,157,,,,,,,0,1,1,top
2019-08-26,567552,9,623352,L,425877,R,63,Flyout,4,4,190328_204302,61a669ee-5b3e-497a-87be-7dfc5beb348c,2,1,0,X,In play- out(s),FF,5,2.0,3.32,1.51,95.7,87.7,,2.93,50.0,5.06,0.19,2.51,5.68,10.25,-9.59,-139.22,-4.84,11.19,30.21,-11.98,34.8,3.6,24.0,2238,154,,,,,,,0,1,1,top
2019-08-26,567552,9,623352,L,451594,R,64,Strikeout,4,1,190328_204352,9cef1d9b-640a-4939-aeee-7c8650246dbe,0,0,1,B,Ball,FF,12,2.0,3.6,1.7,95.9,87.5,,3.08,50.0,5.21,1.09,3.53,5.97,9.59,-7.62,-139.63,-2.24,11.78,31.76,-13.26,36.0,3.6,24.0,2231,151,,,,,,,0,1,1,top
2019-08-26,567552,9,623352,L,451594,R,64,Strikeout,4,2,190328_204416,4d121b10-3987-4036-b998-c06a8f8caa6e,1,0,1,S,Swinging Strike,FF,4,2.0,3.58,1.68,95.5,87.3,,3.03,50.0,4.97,-0.39,2.91,6.47,10.3,-11.7,-138.82,-3.46,12.65,30.64,-12.05,38.4,3.6,24.0,2237,152,,,,,,,0,1,1,top
2019-08-26,567552,9,623352,L,451594,R,64,Strikeout,4,3,190328_204441,67adfe95-2a91-4c8e-84e4-461a06922416,1,1,1,S,Swinging Strike,FF,2,2.0,3.58,1.68,96.4,88.0,,2.99,50.0,5.09,-0.17,2.96,6.01,10.67,-10.89,-140.05,-3.9,11.93,31.48,-10.98,38.4,3.6,24.0,2311,155,,,,,,,0,1,1,top
2019-08-26,567552,9,623352,L,451594,R,64,Strikeout,4,4,190328_204517,2b84e513-d78e-406f-bd98-1e21f81ac0db,1,2,1,S,Swinging Strike,FF,12,2.0,3.58,1.68,96.8,88.0,,2.91,50.0,5.26,0.1,4.06,4.78,10.69,-9.51,-140.79,-1.39,9.55,33.16,-10.81,33.6,2.4,24.0,2305,161,,,,,,,0,1,1,top
2019-08-26,567552,9,623352,L,500874,R,65,Flyout,2,1,190328_204602,96b349b2-a970-428c-a777-5d2701e5dba1,0,0,2,B,Ball,FF,11,2.0,3.87,1.86,96.4,87.7,,2.91,50.0,5.12,-1.31,2.83,4.92,10.8,-13.41,-139.72,-4.34,9.7,32.22,-10.88,28.8,2.4,24.0,2277,162,,,,,,,0,1,1,top
2019-08-26,567552,9,623352,L,500874,R,65,Flyout,2,2,190328_204634,dd8da7d2-b288-4768-a1ba-a2c4ebc3459f,1,0,2,X,In play- out(s),FF,6,2.0,3.66,1.68,94.2,86.2,,3.14,50.0,5.0,0.62,2.53,6.67,9.64,-9.18,-137.1,-4.15,12.72,29.93,-13.8,36.0,3.6,24.0,2072,148,,,,,,,0,1,1,top
2019-08-26,567554,9,623352,L,641933,R,70,Strikeout,3,1,190331_021358,e2587fe5-7011-473f-a6e9-5a9a73def1de,0,0,0,S,Foul,FF,13,2.0,3.32,1.51,94.9,86.4,,2.85,50.0,4.98,-1.11,2.41,6.39,11.48,-12.99,-137.73,-5.09,12.23,31.51,-10.2,39.6,3.6,24.0,2170,156,,,,,,,0,1,2,top
2019-08-26,567554,9,623352,L,641933,R,70,Strikeout,3,2,190331_021416,b1d9617c-1105-457e-b24e-09e570b728bc,0,1,0,S,Swinging Strike,FF,11,2.0,3.32,1.51,95.8,87.8,,2.84,50.0,5.09,-0.88,2.53,5.96,11.02,-12.36,-139.09,-5.14,11.71,30.14,-10.51,38.4,3.6,24.0,2336,156,,,,,,,0,1,2,top
2019-08-26,567554,9,623352,L,641933,R,70,Strikeout,3,3,190331_021443,a74b9953-a43f-4f1e-831b-0d96a7eb34a9,0,2,0,S,Swinging Strike,FF,3,2.0,3.58,1.68,97.2,88.6,,3.23,50.0,4.92,0.29,3.3,7.39,10.67,-10.87,-141.2,-2.61,14.92,32.2,-10.63,48.0,3.6,24.0,2403,149,,,,,,,0,1,2,top
2019-08-26,567554,9,623352,L,451594,R,71,Strikeout,3,1,190331_021516,75271c6c-2be5-42f3-8efc-8c7992d43fbb,0,0,1,S,Swinging Strike,FF,3,2.0,3.58,1.68,96.7,88.3,,2.9,50.0,5.1,0.58,3.36,5.8,10.18,-8.53,-140.74,-2.73,11.63,31.97,-11.77,38.4,3.6,24.0,2250,154,,,,,,,0,1,2,top
2019-08-26,567554,9,623352,L,451594,R,71,Strikeout,3,2,190331_021538,026d9685-717e-429e-9df8-c3a66c530f4c,0,1,1,S,Swinging Strike,FF,12,2.0,3.58,1.68,96.6,87.8,,2.93,50.0,5.08,0.22,3.67,6.28,11.1,-9.78,-140.51,-2.09,12.51,32.97,-10.07,44.4,2.4,24.0,2343,154,,,,,,,0,1,2,top
2019-08-26,567554,9,623352,L,451594,R,71,Strikeout,3,3,190331_021606,6520c306-09b5-4020-b46b-37ded46f7e0d,0,2,1,S,Swinging Strike,FF,2,2.0,3.29,1.49,96.9,88.6,,3.01,50.0,5.14,0.22,2.83,6.56,10.28,-10.14,-140.91,-4.35,13.21,31.5,-11.47,40.8,3.6,24.0,2294,151,,,,,,,0,1,2,top
2019-08-26,567554,9,623352,L,622168,R,72,Strikeout,3,1,190331_021640,4e39374e-817a-4d20-bc1f-ec363940bb3d,0,0,2,S,Called Strike,FF,11,2.0,3.4,1.59,97.5,89.0,,2.95,50.0,5.04,-0.78,2.49,6.27,10.94,-12.69,-141.48,-5.33,12.72,31.99,-9.98,42.0,2.4,24.0,2201,155,,,,,,,0,1,2,top
2019-08-26,567554,9,623352,L,622168,R,72,Strikeout,3,2,190331_021703,56585dfb-6482-4342-b823-3857242b23c3,0,1,2,S,Swinging Strike,FF,12,2.0,3.41,1.56,97.1,88.6,,3.03,50.0,4.91,0.81,3.01,5.82,10.43,-8.31,-141.25,-3.32,11.75,32.29,-11.11,39.6,3.6,24.0,2180,154,,,,,,,0,1,2,top
2019-08-26,567554,9,623352,L,622168,R,72,Strikeout,3,3,190331_021732,d7f03c02-858a-4090-9303-fadb39cf9009,0,2,2,S,Swinging Strike,FF,12,2.0,3.41,1.56,98.1,89.3,,2.87,50.0,5.09,0.14,3.95,5.69,10.81,-9.75,-142.69,-1.46,11.7,33.77,-9.95,42.0,2.4,24.0,2289,156,,,,,,,0,1,2,top
2019-08-26,565223,9,623352,L,592200,R,76,Double,6,1,190402_020139,a26edb9b-ead2-4c05-be9f-c87d4afbffdb,0,0,0,B,Ball,FF,13,2.0,3.43,1.6,92.4,83.7,,3.03,50.0,4.9,-0.33,1.15,8.46,11.87,-11.72,-133.8,-7.81,15.21,31.16,-10.84,44.4,3.6,24.0,2281,147,,,,,592200,,0,0,1,bottom
2019-08-26,565223,9,623352,L,592200,R,76,Double,6,2,190402_020203,f08ea439-76a0-4a2c-a493-403ff4e2dec9,1,0,0,S,Foul,FF,1,2.0,3.49,1.6,92.9,83.9,,3.14,50.0,5.01,-0.38,3.15,7.58,12.14,-11.94,-134.75,-3.02,13.78,32.16,-10.09,45.6,3.6,24.0,2292,153,,,,,592200,,0,0,1,bottom
2019-08-26,565223,9,623352,L,592200,R,76,Double,6,3,190402_020235,7ed90fcc-42f9-4c38-9a8b-bb9f67b73d41,1,1,0,B,Ball,FF,13,2.0,3.27,1.55,93.4,84.9,,3.05,50.0,4.98,-0.57,1.08,6.4,13.28,-11.86,-135.28,-8.95,11.81,30.62,-7.66,43.2,2.4,24.0,2421,158,,,,,592200,,0,0,1,bottom
2019-08-26,565223,9,623352,L,592200,R,76,Double,6,4,190402_020301,60952a0d-cedf-465f-a777-7a2aea704faa,2,1,0,B,Ball,FF,12,2.0,3.32,1.51,92.4,83.8,,3.29,50.0,5.06,1.36,2.82,6.51,12.05,-7.35,-134.38,-3.98,11.82,31.11,-10.31,42.0,3.6,24.0,2334,154,,,,,592200,,0,0,1,bottom
2019-08-26,565223,9,623352,L,592200,R,76,Double,6,5,190402_020324,12749d4e-7871-45d9-80f0-ff703669b223,3,1,0,S,Foul,FF,13,2.0,3.49,1.6,92.3,84.2,,3.15,50.0,4.99,-0.33,1.37,6.28,12.67,-11.35,-133.84,-7.82,11.38,29.4,-9.23,39.6,3.6,24.0,2347,157,,,,,592200,,0,0,1,bottom
2019-08-26,565223,9,623352,L,592200,R,76,Double,6,6,190402_020402,9af001f8-024c-4d4d-970f-a09ad8119783,3,2,0,X,In play- no out,FF,2,2.0,3.49,1.6,93.4,84.9,,3.1,50.0,5.07,-0.08,2.99,6.2,11.3,-10.67,-135.68,-3.47,11.51,30.92,-11.21,37.2,3.6,24.0,2312,155,,,,,592200,,0,0,1,bottom
2019-08-26,565223,9,623352,L,594988,L,77,Strikeout,3,1,190402_020529,f9f0b0ce-7382-411f-babd-729e8c104cc1,0,0,0,S,Swinging Strike,FF,3,2.0,3.37,1.53,93.1,84.4,,3.21,50.0,5.12,0.5,3.22,4.81,11.75,-8.89,-135.29,-3.09,8.86,31.42,-10.55,31.2,2.4,24.0,2258,162,,592200,,,,,0,1,1,bottom
2019-08-26,565223,9,623352,L,594988,L,77,Strikeout,3,2,190402_020607,b64de490-8ef9-4e2a-88a8-5e8dcd6ea82d,0,1,0,S,Swinging Strike,FF,5,2.0,3.37,1.53,92.9,84.7,,3.15,50.0,5.01,-0.14,2.31,6.41,11.53,-10.96,-134.94,-5.13,11.8,29.88,-10.95,38.4,3.6,24.0,2247,155,,592200,,,,,0,1,1,bottom
2019-08-26,565223,9,623352,L,594988,L,77,Strikeout,3,3,190402_020644,f12d70dd-8263-4d2d-aac3-b344998fea59,0,2,0,S,Swinging Strike,FF,3,2.0,3.37,1.53,94.3,85.7,,3.19,50.0,5.23,0.24,3.18,4.82,12.02,-9.66,-137.0,-3.8,9.12,31.43,-9.43,33.6,2.4,24.0,2294,162,,592200,,,,,0,1,1,bottom
2019-08-26,565223,9,623352,L,458015,L,78,Lineout,4,1,190402_020723,d6cfb02f-9811-46f2-b217-48a735b172aa,0,0,1,B,Ball,FF,13,2.0,3.17,1.52,93.5,84.6,,2.96,50.0,5.01,-1.15,1.8,5.53,13.22,-12.83,-135.41,-7.07,10.17,32.1,-7.86,37.2,2.4,24.0,2272,162,,,,,,,0,1,1,bottom
2019-08-26,565223,9,623352,L,458015,L,78,Lineout,4,2,190402_020757,e79fc5fe-0848-4924-a6fa-7e7f26fd2fb5,1,0,1,S,Swinging Strike,FF,5,2.0,3.47,1.59,94.0,84.9,,3.14,50.0,5.07,0.16,2.75,3.83,12.95,-9.32,-136.47,-4.73,7.13,33.28,-8.03,27.6,2.4,24.0,2188,168,,,,,,,0,1,1,bottom
2019-08-26,565223,9,623352,L,458015,L,78,Lineout,4,3,190402_020828,7d2ca810-18e0-4be1-9861-e87632a700de,1,1,1,S,Swinging Strike,FF,11,2.0,3.47,1.59,93.8,84.8,,3.01,50.0,5.22,-0.7,3.72,3.38,12.3,-11.11,-136.11,-2.27,6.28,32.52,-9.32,20.4,2.4,24.0,2261,170,,,,,,,0,1,1,bottom
2019-08-26,565223,9,623352,L,458015,L,78,Lineout,4,4,190402_020915,d5980fa9-588c-4ba0-a70e-73d1b37bd240,1,2,1,X,In play- out(s),FF,2,2.0,3.47,1.59,94.1,85.2,,3.21,50.0,5.05,-0.17,3.04,8.2,11.13,-11.93,-136.59,-3.28,15.35,32.43,-11.32,45.6,3.6,24.0,2271,148,,,,,,,0,1,1,bottom
2019-08-26,565223,9,623352,L,624577,R,79,Pop Out,3,1,190402_021018,3d5eb2ca-c911-40bc-ae22-59621e1b0f45,0,0,2,S,Foul,FF,6,2.0,3.47,1.59,94.3,85.3,,3.16,50.0,5.07,0.29,2.7,5.42,12.11,-9.61,-136.96,-4.63,10.18,33.09,-9.41,37.2,2.4,24.0,2549,160,,,,,,,0,1,1,bottom
2019-08-26,565223,9,623352,L,624577,R,79,Pop Out,3,2,190402_021050,6c914ab4-ee19-444e-b3f0-2e7ab5678455,0,1,2,B,Ball,FF,11,2.0,3.61,1.59,94.5,85.3,,3.0,50.0,5.29,-0.2,3.97,5.28,12.53,-10.47,-137.33,-2.0,9.96,33.78,-8.52,39.6,2.4,24.0,2353,162,,,,,,,0,1,1,bottom
2019-08-26,565223,9,623352,L,624577,R,79,Pop Out,3,3,190402_021139,64336f87-fde0-4537-a34c-07f6db276ddd,1,1,2,X,In play- out(s),FF,2,2.0,3.47,1.59,94.6,85.4,,3.25,50.0,5.11,0.0,3.03,8.84,10.82,-11.84,-137.34,-3.43,16.68,33.66,-11.74,48.0,3.6,24.0,2360,145,,,,,,,0,1,1,bottom
2019-08-26,565224,9,623352,L,578428,R,72,Walk,7,1,190403_014119,a6391ece-909b-4087-bfa5-d3cef161dcaa,0,0,0,S,Foul,FF,2,2.0,3.32,1.51,93.5,85.3,,2.89,50.0,5.15,0.1,2.91,5.83,11.51,-9.53,-135.91,-4.01,10.9,30.0,-10.67,37.2,3.6,24.0,2223,157,,,,578428,,,0,0,1,bottom
2019-08-26,565224,9,623352,L,578428,R,72,Walk,7,2,190403_014144,cf376840-39f4-4eb6-be08-d6cae12a5d6e,0,1,0,B,Ball,SL,14,2.0,3.05,1.33,84.6,77.4,,3.19,50.0,4.76,1.21,2.24,7.56,5.17,-7.19,-123.17,-1.15,11.6,24.86,-24.24,22.8,7.2,24.0,1416,127,,,,578428,,,0,0,1,bottom
2019-08-26,565224,9,623352,L,578428,R,72,Walk,7,3,190403_014202,569a623a-8e13-4793-80b7-991f334ef842,1,1,0,B,Ball,FF,11,2.0,3.13,1.32,94.2,85.6,,2.84,50.0,5.24,-0.77,3.38,7.26,11.67,-12.28,-136.71,-3.14,13.69,31.04,-10.16,45.6,3.6,24.0,2360,153,,,,578428,,,0,0,1,bottom
2019-08-26,565224,9,623352,L,578428,R,72,Walk,7,4,190403_014255,318d0907-9f92-4602-be09-988104464ce6,2,1,0,S,Foul,FF,2,2.0,3.32,1.51,94.4,85.7,,3.08,50.0,5.02,0.2,3.19,4.61,12.22,-9.41,-137.27,-3.26,8.74,32.32,-9.02,33.6,2.4,24.0,2267,163,,,,578428,,,0,0,1,bottom
2019-08-26,565224,9,623352,L,578428,R,72,Walk,7,5,190403_014324,f6d6df50-439d-4e71-9a68-2fa93ca19907,2,2,0,B,Ball,SL,13,2.0,2.99,1.29,82.7,77.4,,3.05,50.0,4.89,-1.05,-0.14,-1.16,3.23,-9.41,-120.12,-6.24,-1.71,20.24,-27.39,6.0,7.2,24.0,2691,219,,,,578428,,,0,0,1,bottom
2019-08-26,565224,9,623352,L,578428,R,72,Walk,7,6,190403_014351,24a378ca-bfe1-4b99-8039-3f28ea7b10c5,3,1,0,S,Foul,FF,11,2.0,3.32,1.51,94.9,86.4,,2.91,50.0,5.11,-0.48,3.6,6.69,10.17,-11.58,-137.8,-1.78,12.85,31.12,-12.65,38.4,3.6,24.0,2305,152,,,,578428,,,0,0,1,bottom
2019-08-26,565224,9,623352,L,578428,R,72,Walk,7,7,190403_014435,3644c687-1e25-41e9-87e4-057d60754879,3,2,0,B,Ball,FF,14,2.0,3.08,1.35,95.7,87.5,,3.06,50.0,4.82,1.4,0.71,6.92,11.9,-7.02,-138.96,-9.65,13.53,31.03,-8.89,48.0,3.6,24.0,2228,150,,,,578428,,,0,0,1,bottom
2019-08-26,565224,9,623352,L,571466,R,73,Strikeout,3,1,190403_014521,d4a5f04c-e016-48c7-b497-8b634af98612,0,0,0,S,Called Strike,FF,9,2.0,3.02,1.4,93.1,84.5,,3.01,50.0,4.92,0.42,1.89,9.89,10.07,-10.3,-135.18,-5.49,18.19,31.33,-13.66,46.8,4.8,24.0,2091,137,578428,,,,,,0,1,1,bottom
2019-08-26,565224,9,623352,L,571466,R,73,Strikeout,3,2,190403_014552,a63bae93-be9e-4264-a432-aa64b9a908d6,0,1,0,S,Foul Bunt,FF,13,2.0,3.32,1.51,94.8,86.2,,2.88,50.0,4.8,-0.73,1.6,5.86,12.83,-11.86,-137.59,-7.26,11.19,31.87,-7.69,42.0,2.4,24.0,2175,159,578428,,,,,,0,1,1,bottom
2019-08-26,565224,9,623352,L,571466,R,73,Strikeout,3,3,190403_014625,ee74bfd4-2095-46a1-b4de-772d27f44d62,0,2,0,S,Swinging Strike,FF,1,2.0,3.37,1.53,95.4,86.5,,2.9,50.0,5.07,-0.48,3.37,5.96,12.15,-11.33,-138.46,-3.04,11.5,32.64,-8.73,43.2,2.4,24.0,2385,158,578428,,,,,,0,1,1,bottom
2019-08-26,565224,9,623352,L,606299,R,74,Strikeout,3,1,190403_014711,5feb7135-ee03-4c2e-8fd8-6bd40e6a6639,0,0,1,S,Foul,FF,8,2.0,3.37,1.53,94.0,85.2,,3.1,50.0,4.88,0.04,1.92,7.41,12.64,-10.81,-136.45,-6.36,13.87,32.05,-8.52,49.2,3.6,24.0,2381,153,,,,,,,0,1,1,bottom
2019-08-26,565224,9,623352,L,606299,R,74,Strikeout,3,2,190403_014743,6ffb59a9-bb66-4553-8614-44b8d7fb9ddf,0,1,1,S,Foul,FF,3,2.0,3.37,1.53,94.2,85.8,,3.03,50.0,5.0,0.51,2.77,5.82,11.27,-8.85,-136.96,-4.02,11.02,31.0,-10.83,37.2,3.6,24.0,2247,156,,,,,,,0,1,1,bottom
2019-08-26,565224,9,623352,L,606299,R,74,Strikeout,3,3,190403_014813,daebff07-e1e2-4bb6-913f-d4df315cb55e,0,2,1,S,Swinging Strike,FF,12,2.0,3.49,1.6,94.6,86.3,,3.15,50.0,5.08,0.87,3.85,6.51,10.26,-8.49,-137.55,-1.03,12.48,30.43,-12.5,39.6,3.6,24.0,2268,151,,,,,,,0,1,1,bottom
2019-08-26,565224,9,623352,L,571657,R,75,Pop Out,3,1,190403_014858,b9e17fc7-6532-4b6e-b3a7-d1df66e42cac,0,0,2,B,Ball,FF,12,2.0,3.39,1.53,95.6,87.1,,3.27,50.0,5.24,1.17,5.09,7.02,9.15,-8.29,-139.06,2.18,13.75,31.28,-14.27,40.8,3.6,24.0,2335,147,,,,,,,0,1,1,bottom
2019-08-26,565224,9,623352,L,571657,R,75,Pop Out,3,2,190403_014922,c92adbdc-846d-4dc1-be1f-a01ca1099736,1,0,2,B,Ball,FF,14,2.0,3.37,1.58,92.4,84.5,,3.07,50.0,4.78,0.48,1.15,6.24,10.8,-9.02,-134.15,-7.28,11.38,28.87,-12.48,33.6,3.6,24.0,2100,152,,,,,,,0,1,1,bottom
2019-08-26,565224,9,623352,L,571657,R,75,Pop Out,3,3,190403_014958,9c7acaea-2c70-41b4-a804-2e3fa5bb651c,2,0,2,X,In play- out(s),FF,12,2.0,3.49,1.6,94.6,86.0,,3.11,50.0,5.06,0.91,3.78,6.21,10.81,-8.16,-137.53,-1.34,11.86,31.32,-11.53,40.8,3.6,24.0,2251,154,,,,,,,0,1,1,bottom
2019-08-26,567558,7,623352,L,592178,R,58,Pop Out,5,1,190407_202802,15af24b4-28b9-49e9-9c98-d6420caba074,0,0,1,B,Ball,FF,11,2.0,3.55,1.76,96.2,87.4,,2.97,50.0,5.2,-0.12,3.94,5.59,10.65,-10.51,-139.77,-1.44,11.01,32.85,-11.21,36.0,2.4,24.0,2206,157,450314,,546991,,,,0,1,2,top
2019-08-26,567558,7,623352,L,592178,R,58,Pop Out,5,2,190407_202823,818c5432-f927-44aa-8beb-f111f3b694c2,1,0,1,S,Foul Tip,FF,2,2.0,3.58,1.64,96.3,87.7,,3.12,50.0,5.05,0.16,3.04,7.43,10.63,-10.85,-139.9,-3.55,14.7,32.09,-11.15,45.6,3.6,24.0,2267,149,450314,,546991,,,,0,1,2,top
2019-08-26,567558,7,623352,L,592178,R,58,Pop Out,5,3,190407_202846,4e791954-5538-4c54-8bd4-8132bf0274db,1,1,1,S,Swinging Strike,FF,4,2.0,3.58,1.76,96.3,87.7,,3.06,50.0,5.0,-0.29,2.91,7.56,10.67,-11.95,-139.89,-3.75,14.95,32.24,-11.08,45.6,3.6,24.0,2271,149,450314,,546991,,,,0,1,2,top
2019-08-26,567558,7,623352,L,592178,R,58,Pop Out,5,4,190407_202923,3bb1ac27-bccd-4b07-91bb-4746b5defe72,1,1,1,S,Foul,FF,8,2.0,3.53,1.64,98.3,89.4,,3.1,50.0,5.1,-0.02,2.21,7.83,10.4,-11.63,-142.58,-6.21,16.07,33.5,-10.81,48.0,3.6,24.0,2357,146,450314,,546991,,,,0,1,2,top
2019-08-26,567558,7,623352,L,592178,R,58,Pop Out,5,5,190407_202951,034fcbe0-54f2-4f05-8ab4-42f9e333026f,1,2,1,X,In play- out(s),FF,1,2.0,3.53,1.64,97.2,88.7,,3.09,50.0,5.09,-0.3,3.39,5.4,10.93,-11.41,-141.17,-2.92,10.9,31.75,-10.09,38.4,2.4,24.0,2293,158,450314,,546991,,,,0,1,2,top
2019-08-26,567558,7,623352,L,519203,L,59,Strikeout,8,1,190407_203049,5b8b4558-90e7-4588-84cc-3595df726293,0,0,2,S,Called Strike,FF,11,2.0,3.95,1.9,97.1,87.9,,3.04,50.0,4.85,-0.76,2.71,7.52,10.07,-13.22,-140.91,-3.75,14.98,34.73,-12.11,42.0,3.6,24.0,2355,148,,,,,,,0,1,2,top
2019-08-26,567558,7,623352,L,519203,L,59,Strikeout,8,2,190407_203119,d8b968c1-2d9c-4e83-877d-63cb3a4fd6b1,0,1,2,S,Swinging Strike,SL,7,2.0,3.72,1.68,82.7,76.7,,3.36,50.0,5.02,-0.46,1.67,-3.15,-0.23,-8.13,-120.3,-1.12,-4.64,22.15,-32.51,10.8,9.6,24.0,2552,272,,,,,,,0,1,2,top
2019-08-26,567558,7,623352,L,519203,L,59,Strikeout,8,3,190407_203155,5fbbbef4-bff5-49ba-a78c-1a6460ecd0aa,0,2,2,B,Ball,FF,13,2.0,3.67,1.76,97.8,88.9,,2.85,50.0,4.9,-1.05,1.05,5.48,11.44,-12.85,-141.59,-9.14,11.08,33.72,-9.05,36.0,2.4,24.0,2283,159,,,,,,,0,1,2,top
