Date, Game, Inning, Pitcher, Hand, Batter, Stand, AB_ID, Result, AB_Total, AB_Count, Pfx_ID, Play_ID, Balls, Strikes, Outs, Code, Pdes, Type, Zone, Con, SZ_Top, SZ_Bot, Start_Speed, End_Speed, Nasty_Factor, X0, Y0, Z0, PX, PZ, PfxX, PfxZ, VX0, VY0, VZ0, AX, AY, AZ, Break_Angle, Break_Length, Break_Y, Spin_Rate, Spin_Direction, Runner 1B, Runner 2B, Runner 3B, End 1B, End 2B, End 3B, Runs, Outs On Play, Run Diff, Half
2019-08-18,564981,7,542953,L,642082,L,59,Single,5,1,190802_013055,cce5d9f4-8264-4e49-bd82-9196231bbd21,0,0,0,S,Called Strike,FF,13,,3.56,1.6,94.0,86.6,,1.48,50.0,5.96,-1.08,2.13,7.59,8.19,-9.59,-136.38,-7.28,14.43,27.25,-16.59,34.8,4.8,24.0,2271,138,,,,642082,,,0,0,7,bottom
2019-08-18,564981,7,542953,L,642082,L,59,Single,5,2,190802_013115,d69ba7f1-796d-4abc-9632-642a5b4af95f,0,1,0,B,Ball,FF,13,,3.6,1.56,95.0,87.1,,1.51,50.0,5.93,-1.18,2.38,8.25,8.26,-10.23,-137.74,-6.71,15.92,29.19,-16.22,38.4,4.8,24.0,2248,137,,,,642082,,,0,0,7,bottom
2019-08-18,564981,7,542953,L,642082,L,59,Single,5,3,190802_013134,cb65e423-2fa1-49ca-9aa8-d477dcc1e056,1,1,0,S,Called Strike,FT,11,,3.51,1.54,94.1,86.4,,1.5,50.0,6.01,-0.86,2.83,7.76,6.95,-9.1,-136.54,-5.07,14.76,28.09,-18.96,32.4,4.8,24.0,2147,133,,,,642082,,,0,0,7,bottom
2019-08-18,564981,7,542953,L,642082,L,59,Single,5,4,190802_013155,12ad6440-a445-4615-b55d-93f760afee2c,1,1,0,S,Foul,SL,14,,3.61,1.69,81.5,74.8,,1.61,50.0,6.38,0.89,2.42,-1.11,-6.79,-1.36,-118.42,-0.26,-1.56,23.87,-41.76,2.4,12.0,24.0,2764,348,,,,642082,,,0,0,7,bottom
2019-08-18,564981,7,542953,L,642082,L,59,Single,5,5,190802_013223,14f3daf8-d3ab-408f-8428-7312fc99820f,1,2,0,X,In play- no out,FT,11,,3.61,1.69,94.6,87.3,,1.49,50.0,5.98,-0.85,2.81,7.96,6.79,-9.21,-137.31,-5.13,15.37,27.04,-19.06,33.6,4.8,24.0,2081,132,,,,642082,,,0,0,7,bottom
2019-08-18,564981,7,542953,L,593643,R,60,Single,4,1,190802_013302,1fc90eee-23e0-4667-9885-97ec20b853a3,0,0,0,S,Called Strike,SL,6,,3.45,1.55,81.1,75.2,,1.5,50.0,6.41,0.6,2.63,-1.63,-5.71,-1.62,-117.94,-0.19,-2.3,21.19,-40.27,3.6,12.0,24.0,2603,341,642082,,,593643,642082,,0,0,7,bottom
2019-08-18,564981,7,542953,L,593643,R,60,Single,4,2,190802_013322,205aaddf-d5de-4877-bff1-65bf4fa3862e,0,1,0,S,Foul,FF,13,,3.45,1.63,94.4,87.2,,1.45,50.0,5.94,-0.97,1.92,6.98,7.6,-9.05,-136.95,-7.69,13.42,26.81,-17.56,31.2,4.8,24.0,2069,138,642082,,,593643,642082,,0,0,7,bottom
2019-08-18,564981,7,542953,L,593643,R,60,Single,4,3,190802_013408,866eb0a5-f111-4bbe-b35d-306044bbb20e,0,2,0,B,Ball,FT,11,,3.38,1.51,94.0,87.0,,1.42,50.0,6.12,-1.32,3.25,5.78,5.46,-9.48,-136.45,-3.77,11.05,25.83,-21.73,22.8,4.8,24.0,2062,137,642082,,,593643,642082,,0,0,7,bottom
2019-08-18,564981,7,542953,L,593643,R,60,Single,4,4,190802_013436,edfce859-a511-4919-b946-10b8edc01a53,1,2,0,X,In play- no out,CH,12,,3.45,1.63,85.0,79.2,,1.64,50.0,6.27,1.44,2.77,6.18,3.47,-2.48,-123.72,-3.18,9.75,20.69,-26.7,19.2,7.2,24.0,1699,119,642082,,,593643,642082,,0,0,7,bottom
2019-08-18,564981,7,542953,L,448801,L,61,Strikeout,4,1,190802_013526,32757ed2-4e09-436a-8392-f7adb28f357d,0,0,0,S,Called Strike,SL,9,,3.6,1.6,80.7,74.6,,1.55,50.0,6.31,0.53,1.84,-2.2,-4.38,-1.69,-117.26,-2.09,-3.07,22.0,-38.27,4.8,10.8,24.0,2623,331,593643,642082,,,,,0,1,7,bottom
2019-08-18,564981,7,542953,L,448801,L,61,Strikeout,4,2,190802_013545,e8c2306b-7aaa-4cd1-b788-ec586002916a,0,1,0,S,Called Strike,SL,8,,3.47,1.58,80.9,74.9,,1.57,50.0,6.33,-0.09,1.78,-2.04,-4.08,-3.23,-117.57,-2.42,-2.86,21.79,-37.9,4.8,10.8,24.0,2709,329,593643,642082,,,,,0,1,7,bottom
2019-08-18,564981,7,542953,L,448801,L,61,Strikeout,4,3,190802_013607,5e1e7e74-46a1-4f83-a51e-3347c6ed7542,0,2,0,B,Ball,SL,13,,3.45,1.53,81.4,75.2,,1.55,50.0,6.14,-0.08,0.8,0.04,-5.16,-3.82,-118.18,-3.97,0.06,23.08,-39.45,1.2,12.0,24.0,2645,354,593643,642082,,,,,0,1,7,bottom
2019-08-18,564981,7,542953,L,448801,L,61,Strikeout,4,4,190802_013632,95007883-5ecd-40e4-b344-c25a2b0a7d6d,1,2,0,S,Swinging Strike,SL,14,,3.52,1.63,81.8,76.1,,1.52,50.0,6.25,0.41,1.39,-0.96,-6.69,-2.3,-118.94,-2.54,-1.39,21.72,-41.8,2.4,12.0,24.0,2562,349,593643,642082,,,,,0,1,7,bottom
2019-08-18,564981,7,542953,L,602922,R,62,Pop Out,5,1,190802_013716,e718967d-e1a7-4267-8ae1-b46282e4c24e,0,0,1,B,Ball,FF,14,,3.22,1.53,94.7,87.1,,1.57,50.0,5.87,0.52,1.23,6.12,8.63,-5.01,-137.42,-9.74,11.77,28.96,-15.59,31.2,4.8,24.0,2153,144,,,,,,,0,1,7,bottom
2019-08-18,564981,7,542953,L,602922,R,62,Pop Out,5,2,190802_013740,318fc19b-235b-42e2-ac66-4ef3190db898,1,0,1,S,Called Strike,CH,7,,3.25,1.48,85.9,79.4,,1.32,50.0,6.14,-0.59,1.81,4.78,6.08,-6.24,-124.76,-6.14,7.6,23.12,-22.52,15.6,6.0,24.0,1571,143,,,,,,,0,1,7,bottom
2019-08-18,564981,7,542953,L,602922,R,62,Pop Out,5,3,190802_013807,33eaf320-d477-4b10-838d-ebd2a5b2c6cb,1,1,1,S,Called Strike,FF,1,,3.24,1.47,93.9,86.4,,1.63,50.0,6.05,-0.51,2.99,5.97,6.26,-7.87,-136.3,-4.5,11.33,27.42,-20.29,25.2,4.8,24.0,2030,139,,,,,,,0,1,7,bottom
2019-08-18,564981,7,542953,L,602922,R,62,Pop Out,5,4,190802_013835,d5ff1a6b-5ea9-44fd-b0cb-5329f6f57347,1,1,1,S,Foul,SL,8,,3.37,1.58,81.8,75.7,,1.52,50.0,6.28,-0.21,1.84,0.17,-5.73,-4.11,-118.82,-1.81,0.25,22.46,-40.38,0.0,12.0,24.0,2593,356,,,,,,,0,1,7,bottom
2019-08-18,564981,7,542953,L,602922,R,62,Pop Out,5,5,190802_013907,8d7b57ae-afc6-407f-9e31-736dea3923f9,1,2,1,X,In play- out(s),FF,1,,3.37,1.58,92.9,85.2,,1.46,50.0,6.08,-0.51,2.98,5.59,7.13,-7.18,-134.95,-4.71,10.34,28.25,-18.98,24.0,4.8,24.0,1838,144,,,,,,,0,1,7,bottom
2019-08-18,564981,7,542953,L,542340,R,63,Strikeout,6,1,190802_013958,44c0e021-40a9-4cb2-a784-7cada84dab82,0,0,2,S,Called Strike,FF,13,,3.27,1.58,92.7,85.2,,1.4,50.0,5.95,-0.83,2.22,7.27,8.59,-8.46,-134.42,-6.85,13.4,27.05,-16.33,33.6,4.8,24.0,2058,141,,,,,,,0,1,7,bottom
2019-08-18,564981,7,542953,L,542340,R,63,Strikeout,6,2,190802_014019,99d98bac-0fda-467b-86a1-d009c6780603,0,1,2,B,Ball,CH,12,,3.23,1.6,85.4,78.9,,1.58,50.0,6.24,1.07,2.55,5.84,5.01,-3.11,-124.14,-4.14,9.19,22.93,-24.3,19.2,7.2,24.0,1514,130,,,,,,,0,1,7,bottom
2019-08-18,564981,7,542953,L,542340,R,63,Strikeout,6,3,190802_014041,13426d94-c1ce-4354-adb5-9674903ea9dd,1,1,2,B,Ball,CH,12,,3.23,1.57,85.3,79.0,,1.61,50.0,6.21,1.07,2.57,6.43,3.49,-3.38,-124.1,-3.54,10.13,22.63,-26.68,19.2,7.2,24.0,1334,118,,,,,,,0,1,7,bottom
2019-08-18,564981,7,542953,L,542340,R,63,Strikeout,6,4,190802_014105,3147b02b-c861-447f-a34d-2a592a3c56f8,2,1,2,S,Foul,FT,11,,3.2,1.51,93.1,85.5,,1.43,50.0,6.05,-1.4,2.76,7.06,6.76,-10.01,-135.06,-5.14,13.12,27.68,-19.6,28.8,4.8,24.0,2098,136,,,,,,,0,1,7,bottom
2019-08-18,564981,7,542953,L,542340,R,63,Strikeout,6,5,190802_014140,95309445-6719-4229-8fc0-8ad2472b7b0d,2,2,2,B,Ball In Dirt,SL,14,,3.19,1.63,82.0,76.5,,1.52,50.0,6.13,0.24,0.56,-0.03,-5.38,-3.0,-119.19,-4.68,-0.04,21.58,-39.96,1.2,10.8,24.0,2450,355,,,,,,,0,1,7,bottom
2019-08-18,564981,7,542953,L,542340,R,63,Strikeout,6,6,190802_014217,3aba09ee-ad43-4f65-ad59-94909cbec6b0,3,2,2,S,Called Strike,SL,9,,3.15,1.57,81.1,75.4,,1.48,50.0,6.3,0.45,1.96,-1.25,-5.56,-2.04,-117.97,-1.55,-1.78,20.93,-40.07,2.4,12.0,24.0,2416,344,,,,,,,0,1,7,bottom
2019-08-18,564983,7,542953,L,448801,L,54,Walk,7,1,190804_012447,e4238cac-82cc-4b6a-bbc0-5e521ba5d1fd,0,0,0,B,Ball,CU,8,,3.77,1.65,80.0,73.8,,1.68,50.0,6.44,-0.13,1.8,-1.72,-8.26,-3.62,-116.22,-1.16,-2.34,22.73,-43.42,3.6,13.2,24.0,2743,344,,,,448801,,,0,0,0,bottom
2019-08-18,564983,7,542953,L,448801,L,54,Walk,7,2,190804_012514,087cc39e-9d3f-4b30-a11e-2de076043801,1,0,0,B,Ball,FF,11,,3.74,1.6,93.3,85.7,,1.52,50.0,6.21,-0.86,3.93,6.57,7.52,-8.67,-135.49,-2.75,12.32,27.36,-18.08,30.0,4.8,24.0,2092,142,,,,448801,,,0,0,0,bottom
2019-08-18,564983,7,542953,L,448801,L,54,Walk,7,3,190804_012531,a4b0198b-2ccc-496c-8f70-1cfc7b5b7bc2,2,0,0,S,Called Strike,FF,2,,3.6,1.6,93.0,85.5,,1.57,50.0,6.15,0.02,3.29,6.58,7.53,-6.43,-135.18,-4.26,12.27,27.52,-18.14,30.0,4.8,24.0,2080,140,,,,448801,,,0,0,0,bottom
2019-08-18,564983,7,542953,L,448801,L,54,Walk,7,4,190804_012550,6bab56f6-c765-40d9-8ce1-9232169d351c,2,1,0,S,Swinging Strike,FF,12,,3.69,1.6,93.6,85.7,,1.67,50.0,6.15,0.24,3.77,6.06,8.09,-5.99,-136.01,-3.25,11.4,28.62,-16.96,30.0,4.8,24.0,2125,145,,,,448801,,,0,0,0,bottom
2019-08-18,564983,7,542953,L,448801,L,54,Walk,7,5,190804_012616,6474f299-ca0a-427d-b67b-4536715275ca,2,2,0,B,Ball,CU,12,,3.6,1.6,80.4,74.1,,1.67,50.0,6.52,0.95,3.46,-4.88,-5.91,-0.21,-116.8,1.66,-6.76,21.64,-40.35,9.6,12.0,24.0,2561,318,,,,448801,,,0,0,0,bottom
2019-08-18,564983,7,542953,L,448801,L,54,Walk,7,6,190804_012636,b5f4e319-ff14-4841-81d6-0d7bb60b09a5,3,1,0,S,Foul,FF,5,,3.53,1.6,93.9,86.2,,1.59,50.0,6.05,0.23,2.82,7.45,8.15,-6.27,-136.33,-5.6,14.1,28.33,-16.74,36.0,4.8,24.0,2080,138,,,,448801,,,0,0,0,bottom
2019-08-18,564983,7,542953,L,448801,L,54,Walk,7,7,190804_012704,0d704c84-3b80-442d-8125-01585d47458e,3,2,0,B,Ball,FF,11,,3.64,1.58,94.7,86.9,,1.5,50.0,6.05,-0.9,3.27,7.49,9.02,-9.16,-137.41,-4.82,14.42,28.51,-14.81,38.4,4.8,24.0,2236,143,,,,448801,,,0,0,0,bottom
2019-08-18,564983,7,542953,L,592859,R,55,Double,3,1,190804_012742,70dad8d2-ac2f-402f-bd26-daa9f6e6c8dc,0,0,0,S,Called Strike,SL,8,,2.85,1.45,80.8,74.7,,1.58,50.0,6.33,0.15,1.63,-0.49,-5.75,-3.17,-117.36,-2.22,-0.68,22.13,-40.2,1.2,12.0,24.0,2702,351,448801,,,,592859,448801,0,0,0,bottom
2019-08-18,564983,7,542953,L,592859,R,55,Double,3,2,190804_012806,06ab9ed9-ffd3-4f63-b7ae-a25e6796778a,0,1,0,B,Ball,CU,13,,2.99,1.47,80.6,74.5,,1.43,50.0,6.31,-0.3,1.14,-1.12,-7.8,-3.67,-117.12,-2.63,-1.55,23.16,-42.96,2.4,13.2,24.0,2685,348,448801,,,,592859,448801,0,0,0,bottom
2019-08-18,564983,7,542953,L,592859,R,55,Double,3,3,190804_012839,6e73a04a-913c-474c-853f-e5608798c723,1,1,0,X,In play- no out,FT,1,,2.99,1.51,93.3,85.5,,1.54,50.0,6.14,-0.55,3.05,7.07,6.52,-8.07,-135.57,-4.54,13.19,28.96,-20.01,28.8,4.8,24.0,2019,134,448801,,,,592859,448801,0,0,0,bottom
2019-08-18,564984,5,542953,L,592859,R,50,Strikeout,3,1,190804_190313,2df6eb84-185a-4fae-98a4-35b3c0231988,0,0,2,S,Called Strike,CU,6,2.0,3.07,1.53,80.5,74.5,,1.64,50.0,6.5,0.56,2.48,-0.61,-6.08,-2.33,-116.99,-0.51,-0.84,21.3,-40.63,1.2,12.0,24.0,2723,351,448801,642082,593643,,,,0,1,-4,bottom
