Date, Game, Inning, Pitcher, Hand, Batter, Stand, AB_ID, Result, AB_Total, AB_Count, Pfx_ID, Play_ID, Balls, Strikes, Outs, Code, Pdes, Type, Zone, Con, SZ_Top, SZ_Bot, Start_Speed, End_Speed, Nasty_Factor, X0, Y0, Z0, PX, PZ, PfxX, PfxZ, VX0, VY0, VZ0, AX, AY, AZ, Break_Angle, Break_Length, Break_Y, Spin_Rate, Spin_Direction, Runner 1B, Runner 2B, Runner 3B, End 1B, End 2B, End 3B, Runs, Outs On Play, Run Diff, Half
2017-04-04,490104,8,500724,R,501981,R,62,Home Run,4,1,170404_044621,733a84ad-2c4b-4d83-bd32-86e224a6ae58,0,0,0,S,Foul,SL,8,2.0,3.83,1.62,86.1,79.5,57.14,-1.48,50.0,6.0,0.01,1.94,5.34,1.08,1.98,-125.34,-3.92,8.51,24.75,-30.45,15.6,8.4,24.0,800,97,,,,,,,1,0,-1,bottom
2017-04-04,490104,8,500724,R,501981,R,62,Home Run,4,2,170404_044643,0bd08537-661a-4ef1-8a4c-7a32a6fea657,0,1,0,S,Called Strike,FF,9,2.0,3.31,1.61,94.2,85.5,52.69,-1.15,50.0,5.79,0.59,1.74,-5.99,8.26,6.77,-136.93,-7.81,-11.25,33.14,-16.66,27.6,4.8,24.0,2128,214,,,,,,,1,0,-1,bottom
2017-04-04,490104,8,500724,R,501981,R,62,Home Run,4,3,170404_044702,5b2af427-9a16-4539-aea2-81d06ab616a3,0,2,0,B,Ball,SL,14,2.0,3.27,1.56,88.8,82.0,17.32,-1.32,50.0,5.8,1.56,1.2,3.5,3.94,6.17,-129.11,-6.74,5.92,26.44,-25.51,14.4,7.2,24.0,,127,,,,,,,1,0,-1,bottom
2017-04-04,490104,8,500724,R,501981,R,62,Home Run,4,4,170404_044720,1f9fc366-8256-405c-85bd-9e3ceb207758,1,2,0,X,In play- run(s),SL,6,2.0,3.83,1.62,86.6,79.6,26.55,-1.45,50.0,5.99,0.38,2.56,3.84,1.24,3.32,-126.07,-2.47,6.18,25.76,-30.18,12.0,8.4,24.0,817,104,,,,,,,1,0,-1,bottom
2017-04-04,490104,8,500724,R,519390,L,63,Groundout,2,1,170404_044809,d70f1ef6-16b7-45c0-a15c-58a16d6b1520,0,0,0,S,Foul,FF,4,2.0,3.73,1.5,95.6,86.0,56.71,-1.44,50.0,5.82,-0.46,2.17,-8.23,9.91,5.56,-138.78,-7.51,-15.79,35.87,-13.17,43.2,4.8,24.0,2169,219,,,,,,,0,1,-2,bottom
2017-04-04,490104,8,500724,R,519390,L,63,Groundout,2,2,170404_044833,cdf1c3c2-a5ae-4f09-ae34-294d04c6b333,0,1,0,X,In play- out(s),FT,8,2.0,3.73,1.5,95.6,86.8,36.92,-1.2,50.0,5.83,0.18,2.14,-8.17,7.41,6.66,-138.95,-6.82,-15.83,33.78,-17.82,36.0,4.8,24.0,2299,227,,,,,,,0,1,-2,bottom
2017-04-04,490104,8,500724,R,476704,L,64,Flyout,3,1,170404_044912,5ae918b9-ccf9-4acf-a500-f09b1cf3df37,0,0,1,S,Called Strike,CU,5,2.0,3.36,1.61,79.2,72.6,62.25,-1.27,50.0,6.21,0.12,2.37,4.29,-7.11,1.88,-115.22,0.49,5.71,23.37,-41.63,8.4,13.2,24.0,2429,33,,,,,,,0,1,-2,bottom
2017-04-04,490104,8,500724,R,476704,L,64,Flyout,3,2,170404_044944,71732cd9-4500-450d-a934-ce85fa6e2140,0,1,1,B,Ball,CU,14,2.0,3.4,1.48,80.8,73.7,33.55,-1.17,50.0,6.03,0.72,0.43,5.01,-8.96,2.84,-117.42,-3.17,6.83,27.15,-44.39,9.6,13.2,24.0,2448,30,,,,,,,0,1,-2,bottom
2017-04-04,490104,8,500724,R,476704,L,64,Flyout,3,3,170404_045006,123b0eeb-b944-4cd0-867b-eb7fe7addab8,1,1,1,X,In play- out(s),FT,14,2.0,3.73,1.5,95.0,87.1,43.25,-1.2,50.0,5.71,0.1,1.45,-8.91,5.69,6.72,-138.06,-7.73,-17.21,30.75,-21.2,34.8,6.0,24.0,2100,238,,,,,,,0,1,-2,bottom
2017-04-04,490104,8,500724,R,461858,R,65,Single,4,1,170404_045047,9af0c389-77eb-4c4a-9a34-ea47af3b33bd,0,0,2,B,Ball,FT,14,2.0,3.18,1.64,95.2,86.8,38.76,-1.17,50.0,5.81,1.37,1.88,-6.72,6.05,9.3,-138.32,-6.96,-12.94,32.42,-20.52,26.4,4.8,24.0,2086,226,,,,461858,,,0,0,-2,bottom
2017-04-04,490104,8,500724,R,461858,R,65,Single,4,2,170404_045105,79e14a3c-6d54-462b-9547-857a6040bf9c,1,0,2,B,Ball,FT,14,2.0,3.11,1.32,95.2,87.1,43.9,-1.22,50.0,5.73,0.48,0.75,-8.03,5.94,7.48,-138.27,-9.77,-15.48,31.91,-20.73,31.2,6.0,24.0,2048,235,,,,461858,,,0,0,-2,bottom
2017-04-04,490104,8,500724,R,461858,R,65,Single,4,3,170404_045129,113d9b18-c721-4667-bebd-effcab3e9cb8,2,0,2,S,Foul,FT,7,2.0,3.83,1.57,95.2,86.6,47.56,-1.22,50.0,5.77,-0.27,1.87,-8.9,5.79,5.72,-138.54,-6.76,-17.13,33.52,-21.03,34.8,6.0,24.0,1978,238,,,,461858,,,0,0,-2,bottom
2017-04-04,490104,8,500724,R,461858,R,65,Single,4,4,170404_045158,2d8284c3-7d8e-4297-9122-804ab5a53df3,2,1,2,X,In play- no out,SL,9,2.0,3.83,1.57,86.7,79.3,39.75,-1.28,50.0,6.03,0.44,2.07,4.27,4.52,2.89,-126.2,-4.83,6.85,27.22,-24.94,15.6,7.2,24.0,,130,,,,461858,,,0,0,-2,bottom
2017-04-04,490104,8,500724,R,543760,R,67,Walk,5,1,170404_045335,54b4a2a6-49c2-469a-871c-afbfa83d89df,0,0,2,B,Ball,SL,14,2.0,3.42,1.55,87.4,80.9,55.18,-1.32,50.0,5.78,1.52,1.9,3.01,0.55,6.16,-127.19,-3.56,4.95,25.08,-31.28,10.8,8.4,24.0,,94,475174,461858,,543760,475174,461858,0,0,-2,bottom
2017-04-04,490104,8,500724,R,543760,R,67,Walk,5,2,170404_045353,814a14cd-1c4b-4210-8206-b7a57e18d9b8,1,0,2,B,Ball In Dirt,SL,14,2.0,3.31,1.5,87.1,80.6,16.85,-1.2,50.0,5.8,1.3,0.58,4.02,0.62,4.94,-126.59,-6.81,6.53,25.51,-31.16,13.2,8.4,24.0,,89,475174,461858,,543760,475174,461858,0,0,-2,bottom
2017-04-04,490104,8,500724,R,543760,R,67,Walk,5,3,170404_045418,9386e2da-99b0-4202-bcf5-947cc9e03ddf,2,0,2,B,Ball,FT,14,2.0,3.41,1.55,96.2,88.3,29.41,-1.05,50.0,5.67,2.46,0.82,-10.34,6.67,13.37,-139.31,-9.91,-20.4,30.22,-19.02,39.6,6.0,24.0,2151,237,475174,461858,,543760,475174,461858,0,0,-2,bottom
2017-04-04,490104,8,500724,R,543760,R,67,Walk,5,4,170404_045451,a3193a7f-d2fe-46bf-8915-a3d7adc4ae70,3,0,2,S,Called Strike,FF,14,2.0,3.3,1.51,96.0,87.9,51.12,-1.19,50.0,5.83,0.75,2.23,-5.52,10.1,7.31,-139.49,-7.71,-10.9,30.69,-12.22,33.6,3.6,24.0,2144,206,475174,461858,,543760,475174,461858,0,0,-2,bottom
2017-04-04,490104,8,500724,R,543760,R,67,Walk,5,5,170404_045516,901165e8-c31a-47f3-b92d-aa2361d1cc7e,3,1,2,B,Ball,FT,12,2.0,3.32,1.47,96.1,87.4,53.08,-1.2,50.0,5.86,0.26,3.65,-8.92,8.5,7.21,-139.79,-3.29,-17.57,32.93,-15.43,44.4,4.8,24.0,2071,224,475174,461858,,543760,475174,461858,0,0,-2,bottom
2017-04-04,490104,8,500724,R,434658,R,68,Groundout,1,1,170404_045621,c7c59801-218a-4fdf-b097-368d667678a0,0,0,2,X,In play- out(s),CU,4,2.0,3.68,1.5,80.7,74.3,70.39,-1.23,50.0,6.09,-0.29,2.27,4.22,-4.43,0.93,-117.59,-0.56,5.88,23.13,-38.35,8.4,10.8,24.0,2396,45,543760,475174,461858,,,,0,1,-2,bottom
2017-04-06,490126,6,500724,R,592387,R,47,Pop Out,5,1,170406_041914,d0cb2182-a885-43d6-9499-1bf580eb5dc5,0,0,1,S,Called Strike,FT,3,2.0,3.46,1.59,93.9,85.5,55.66,-0.77,50.0,5.95,0.58,3.05,-10.98,5.15,7.47,-136.45,-3.63,-20.62,31.15,-22.5,39.6,6.0,24.0,2038,244,,,,,,,0,1,5,bottom
2017-04-06,490126,6,500724,R,592387,R,47,Pop Out,5,2,170406_041932,0e7b66f5-fddf-4c0b-99ad-7e1b781a6dbd,0,1,1,B,Ball,FT,12,2.0,3.35,1.59,95.0,86.5,35.17,-0.83,50.0,5.99,1.35,3.05,-8.37,8.62,8.9,-138.01,-5.15,-16.09,31.61,-15.6,39.6,4.8,24.0,2044,221,,,,,,,0,1,5,bottom
2017-04-06,490126,6,500724,R,592387,R,47,Pop Out,5,3,170406_041950,71bc9394-3cfd-483c-b139-1ed6e61f4522,1,1,1,S,Foul,SL,3,2.0,3.84,1.59,87.8,80.7,44.35,-1.11,50.0,6.01,0.41,3.34,2.7,3.18,2.95,-127.89,-1.43,4.49,25.77,-26.89,10.8,7.2,24.0,2110,135,,,,,,,0,1,5,bottom
2017-04-06,490126,6,500724,R,592387,R,47,Pop Out,5,4,170406_042035,811e82b3-da29-41bd-b50f-2e958e2fb73c,1,2,1,B,Ball,SL,14,2.0,3.35,1.59,88.5,82.1,17.36,-0.91,50.0,5.8,2.92,0.63,4.18,5.09,8.38,-128.5,-8.49,7.02,25.36,-23.62,18.0,6.0,24.0,2342,129,,,,,,,0,1,5,bottom
2017-04-06,490126,6,500724,R,592387,R,47,Pop Out,5,5,170406_042058,2328b514-df92-4389-a86b-7d22636d7036,2,2,1,X,In play- out(s),FT,5,2.0,3.84,1.59,95.2,87.5,29.15,-0.92,50.0,5.88,0.06,2.85,-9.73,5.89,6.14,-138.47,-4.54,-18.99,29.51,-20.69,39.6,6.0,24.0,2020,238,,,,,,,0,1,5,bottom
2017-04-06,490126,6,500724,R,501981,R,48,Single,2,1,170406_042146,6151ffb3-9f45-4f01-a4a5-e3998b9366e0,0,0,2,S,Foul,FT,9,2.0,3.83,1.62,95.1,87.9,49.32,-0.95,50.0,5.77,0.34,2.06,-8.49,6.26,6.55,-138.26,-6.54,-16.62,27.76,-19.92,36.0,6.0,24.0,1891,233,,,,501981,,,0,0,5,bottom
2017-04-06,490126,6,500724,R,501981,R,48,Single,2,2,170406_042214,a772f0c3-d780-4afe-9c04-0e45f2a346a6,0,1,2,X,In play- no out,FT,5,2.0,3.83,1.62,96.6,88.4,31.54,-0.96,50.0,5.82,-0.12,2.61,-9.58,6.98,5.8,-140.43,-5.63,-19.16,31.34,-18.22,43.2,4.8,24.0,2051,234,,,,501981,,,0,0,5,bottom
2017-04-06,490126,6,500724,R,519390,L,49,Double,3,1,170406_042259,afc0ca3d-94e3-4d4e-bcb8-2c4a4a357aa1,0,0,2,S,Called Strike,FT,7,2.0,3.21,1.45,95.5,88.0,64.29,-1.11,50.0,5.62,-0.61,1.64,-8.5,8.57,4.41,-139.01,-8.15,-16.73,29.26,-15.3,43.2,4.8,24.0,2011,225,501981,,,,519390,501981,0,0,5,bottom
2017-04-06,490126,6,500724,R,519390,L,49,Double,3,2,170406_042318,4a9de2ea-53c1-482f-a5e1-a02f519c21f8,0,1,2,S,Called Strike,CU,7,2.0,3.22,1.5,79.3,73.2,26.92,-0.96,50.0,6.04,-0.37,2.13,3.62,-5.54,0.27,-115.37,-0.19,4.87,21.54,-39.64,7.2,12.0,24.0,2389,34,501981,,,,519390,501981,0,0,5,bottom
2017-04-06,490126,6,500724,R,519390,L,49,Double,3,3,170406_042337,2035cd98-3366-4d67-a129-403d799507de,0,2,2,X,In play- no out,CU,4,2.0,3.75,1.53,80.4,74.2,29.19,-1.18,50.0,6.07,-0.51,2.29,4.29,-7.61,0.25,-117.05,0.54,5.94,22.62,-42.71,8.4,13.2,24.0,2438,30,501981,,,,519390,501981,0,0,5,bottom
2017-04-06,490126,6,500724,R,461858,R,50,Strikeout,5,1,170406_042507,ae8d59b4-36ac-4c8b-af42-da73c8f2c772,0,0,2,B,Ball,SL,14,2.0,3.13,1.52,86.5,79.7,73.7,-1.22,50.0,5.8,1.05,1.0,3.4,-0.04,4.55,-125.78,-5.4,5.44,26.02,-32.25,10.8,8.4,24.0,,81,,519390,501981,,,,0,1,5,bottom
2017-04-06,490126,6,500724,R,461858,R,50,Strikeout,5,2,170406_042526,27f9365b-7e6f-4b96-a7b0-7c3c5ded98be,1,0,2,S,Called Strike,FT,4,2.0,3.02,1.36,95.3,86.6,50.86,-1.18,50.0,5.73,-0.66,2.17,-8.36,8.63,4.38,-138.56,-6.86,-16.14,33.15,-15.52,42.0,4.8,24.0,2044,224,,519390,501981,,,,0,1,5,bottom
2017-04-06,490126,6,500724,R,461858,R,50,Strikeout,5,3,170406_042556,ae0d96b4-bcaf-4bae-9bb9-c91c8ca68cf5,1,1,2,S,Called Strike,FT,12,2.0,3.15,1.57,96.2,87.6,58.09,-1.06,50.0,5.75,0.72,2.79,-8.3,8.64,7.87,-139.85,-5.42,-16.37,32.79,-15.13,42.0,4.8,24.0,2008,222,,519390,501981,,,,0,1,5,bottom
2017-04-06,490126,6,500724,R,461858,R,50,Strikeout,5,4,170406_042620,303a9183-f24f-45c6-8d3b-da4072ba5231,1,2,2,B,Ball,SL,14,2.0,3.04,1.41,89.8,82.2,27.01,-1.05,50.0,5.82,2.14,1.94,3.31,4.5,7.09,-130.48,-5.21,5.68,28.6,-24.46,15.6,6.0,24.0,2404,133,,519390,501981,,,,0,1,5,bottom
2017-04-06,490126,6,500724,R,461858,R,50,Strikeout,5,5,170406_042643,f503b281-462b-4e44-b673-cb2561cab42a,2,2,2,S,Swinging Strike,FT,2,2.0,3.83,1.57,96.3,87.5,38.69,-1.26,50.0,5.87,-0.07,3.19,-9.0,7.97,6.52,-140.02,-4.41,-17.77,33.36,-16.45,43.2,4.8,24.0,2096,227,,519390,501981,,,,0,1,5,bottom
2017-04-06,490126,7,500724,R,475174,L,55,Pop Out,4,1,170406_043723,71219a30-3c5d-4c40-9ac1-a7c62dc2eeb3,0,0,0,S,Called Strike,CU,8,2.0,3.19,1.39,79.5,73.5,66.15,-1.04,50.0,6.19,-0.02,1.89,4.44,-6.84,1.02,-115.79,-0.73,6.01,22.25,-41.43,8.4,12.0,24.0,2510,34,,,,,,,0,1,5,bottom
2017-04-06,490126,7,500724,R,475174,L,55,Pop Out,4,2,170406_043740,0091f538-be2e-436d-a0d7-41d7f0edcfb4,0,1,0,B,Ball,FF,14,2.0,3.32,1.48,97.3,89.2,52.37,-0.98,50.0,5.68,1.22,1.95,-7.08,8.45,8.71,-141.23,-7.72,-14.34,31.21,-15.06,37.2,3.6,24.0,2074,218,,,,,,,0,1,5,bottom
2017-04-06,490126,7,500724,R,475174,L,55,Pop Out,4,3,170406_043758,45767484-f27d-4e86-852d-d6112022adae,1,1,0,S,Foul,FT,13,2.0,3.79,1.48,96.3,88.2,57.15,-1.21,50.0,5.78,-1.1,2.23,-9.9,5.27,3.87,-140.12,-5.88,-19.66,31.95,-21.71,39.6,6.0,24.0,2160,243,,,,,,,0,1,5,bottom
2017-04-06,490126,7,500724,R,475174,L,55,Pop Out,4,4,170406_043824,e4c108de-417c-4b50-a45a-d87263a0db54,1,2,0,X,In play- out(s),SL,12,2.0,3.79,1.48,89.3,82.3,45.63,-1.21,50.0,5.85,0.82,2.44,2.55,0.48,4.36,-130.06,-2.66,4.37,26.89,-31.35,9.6,7.2,24.0,1137,95,,,,,,,0,1,5,bottom
2017-04-06,490126,7,500724,R,543760,R,56,Lineout,4,1,170406_043903,9c3e286d-5d71-4b26-a430-ffe22f7da814,0,0,1,S,Called Strike,FT,6,2.0,3.33,1.48,96.6,88.1,47.04,-1.07,50.0,5.66,0.48,2.32,-9.01,7.98,7.54,-140.39,-6.31,-17.95,32.39,-16.28,42.0,4.8,24.0,2161,227,,,,,,,0,1,5,bottom
2017-04-06,490126,7,500724,R,543760,R,56,Lineout,4,2,170406_043918,12d71d07-22db-4db7-a878-ee61cf792381,0,1,1,B,Ball,CU,12,2.0,3.29,1.48,82.3,75.5,8.93,-1.02,50.0,6.02,1.51,2.48,4.04,-0.99,4.73,-119.79,-1.22,5.84,24.43,-33.61,10.8,9.6,24.0,2453,78,,,,,,,0,1,5,bottom
2017-04-06,490126,7,500724,R,543760,R,56,Lineout,4,3,170406_043934,5b7ad6ab-9740-4c88-8135-9dfd6c0e0563,1,1,1,B,Ball,FT,11,2.0,3.23,1.48,95.8,87.6,59.8,-1.26,50.0,5.82,-0.64,3.35,-7.42,5.78,4.38,-139.53,-3.04,-14.62,31.68,-20.79,32.4,4.8,24.0,2168,231,,,,,,,0,1,5,bottom
2017-04-06,490126,7,500724,R,543760,R,56,Lineout,4,4,170406_043949,91bd5026-56cd-461e-a240-7664d195ee15,2,1,1,X,In play- out(s),FT,9,2.0,3.79,1.48,96.0,87.9,53.84,-1.15,50.0,5.61,0.39,1.76,-8.0,7.81,7.1,-139.58,-7.57,-15.78,31.42,-16.76,37.2,4.8,24.0,1993,225,,,,,,,0,1,5,bottom
2017-04-06,490126,7,500724,R,434658,R,57,Strikeout,3,1,170406_044030,12dd9c7a-4add-408a-a99e-eaf3586c3070,0,0,2,S,Foul,CU,7,2.0,3.87,1.61,80.4,74.4,87.32,-1.13,50.0,6.06,-0.47,1.68,3.98,-5.3,0.33,-117.04,-1.56,5.52,22.08,-39.52,8.4,12.0,24.0,2456,37,,,,,,,0,1,5,bottom
2017-04-06,490126,7,500724,R,434658,R,57,Strikeout,3,2,170406_044054,88bbd974-30bf-414f-97cb-4210a309adde,0,1,2,S,Called Strike,FT,3,2.0,3.13,1.61,96.3,88.5,48.3,-1.1,50.0,5.74,0.55,3.04,-6.93,7.22,7.07,-140.14,-4.29,-13.86,30.09,-17.74,33.6,4.8,24.0,2031,221,,,,,,,0,1,5,bottom
2017-04-06,490126,7,500724,R,434658,R,57,Strikeout,3,3,170406_044111,65ddc097-31e8-41ad-bffd-0925a28b0f22,0,2,2,S,Swinging Strike,SL,12,2.0,3.87,1.61,89.1,82.8,52.84,-1.14,50.0,5.98,0.85,2.89,3.48,2.6,3.97,-129.79,-2.61,6.02,23.69,-27.67,13.2,7.2,24.0,,122,,,,,,,0,1,5,bottom
2017-04-06,490126,8,500724,R,592192,R,63,Groundout,1,1,170406_045733,c800ae0f-687e-4d35-a5a9-06f45ee50d12,0,0,0,X,In play- out(s),FT,5,2.0,3.83,1.55,93.8,86.5,33.76,-1.16,50.0,5.78,-0.02,2.18,-8.71,4.39,6.13,-136.56,-5.32,-16.55,28.34,-23.82,31.2,6.0,24.0,1931,243,,,,,,,0,1,5,bottom
2017-04-06,490126,8,500724,R,476704,L,64,Flyout,6,1,170406_045818,7ff84977-6be2-4c20-a20e-8408dde993c7,0,0,1,S,Missed Bunt,FT,13,2.0,3.75,1.53,93.5,85.6,63.86,-1.24,50.0,5.76,-0.82,2.08,-8.9,5.93,4.21,-136.04,-5.94,-16.65,30.43,-21.08,34.8,6.0,24.0,1887,237,,,,,,,0,1,5,bottom
2017-04-06,490126,8,500724,R,476704,L,64,Flyout,6,2,170406_045842,04a577a9-f16e-4ff5-a98d-07e58ed91b3d,0,1,1,B,Ball,FT,11,2.0,3.35,1.53,93.7,85.8,62.17,-1.31,50.0,5.85,-1.04,2.79,-8.6,5.16,3.73,-136.4,-4.05,-16.19,30.25,-22.46,33.6,6.0,24.0,1889,239,,,,,,,0,1,5,bottom
2017-04-06,490126,8,500724,R,476704,L,64,Flyout,6,3,170406_045904,ce325f0f-94a3-4326-9554-c8a4930744ff,1,1,1,S,Called Strike,CU,2,2.0,3.12,1.51,77.6,71.6,21.87,-1.14,50.0,6.16,-0.08,3.06,3.82,-5.37,1.26,-113.0,1.85,4.94,20.43,-39.13,7.2,12.0,24.0,2280,39,,,,,,,0,1,5,bottom
2017-04-06,490126,8,500724,R,476704,L,64,Flyout,6,4,170406_045924,1a6c18ac-02df-4fdc-b5ee-1862a529240a,1,1,1,S,Foul,SL,6,2.0,3.75,1.53,87.9,80.9,35.65,-1.3,50.0,5.96,0.64,2.59,3.7,4.06,3.7,-128.0,-3.49,6.16,25.92,-25.43,14.4,6.0,24.0,2163,132,,,,,,,0,1,5,bottom
2017-04-06,490126,8,500724,R,476704,L,64,Flyout,6,5,170406_045954,20f8f370-0fd8-41f7-b645-18bc3e2af84f,1,2,1,B,Ball,SL,14,2.0,3.37,1.53,87.9,81.5,17.07,-1.1,50.0,5.72,1.67,0.82,3.34,3.94,5.92,-127.84,-7.35,5.55,24.87,-25.61,13.2,7.2,24.0,2282,128,,,,,,,0,1,5,bottom
2017-04-06,490126,8,500724,R,476704,L,64,Flyout,6,6,170406_050020,78932682-a642-46d3-9b86-b788b17e2364,2,2,1,X,In play- out(s),FT,5,2.0,3.75,1.53,95.5,87.5,28.2,-1.27,50.0,5.74,-0.02,2.73,-7.6,7.25,6.15,-139.11,-4.99,-14.91,30.92,-17.96,36.0,4.8,24.0,1839,225,,,,,,,0,1,5,bottom
2017-04-06,490126,8,500724,R,592387,R,65,Flyout,5,1,170406_050108,5d76d5d5-2ff3-47e7-a584-28059145d1a5,0,0,2,B,Ball,CU,11,2.0,3.53,1.75,78.6,72.0,72.65,-1.12,50.0,6.19,-0.49,4.38,4.31,-4.73,0.16,-114.29,4.44,5.69,21.32,-38.42,8.4,12.0,24.0,2196,47,,,,,,,0,1,5,bottom
2017-04-06,490126,8,500724,R,592387,R,65,Flyout,5,2,170406_050127,de26bbd1-2bfb-40d6-8979-7d0fd0147a38,1,0,2,B,Ball,FF,11,2.0,3.61,1.67,94.1,85.7,59.35,-1.27,50.0,5.89,-1.03,3.42,-7.94,10.76,3.44,-137.02,-4.49,-15.02,31.54,-11.81,48.0,3.6,24.0,2069,216,,,,,,,0,1,5,bottom
2017-04-06,490126,8,500724,R,592387,R,65,Flyout,5,3,170406_050151,459bf40c-2b70-4936-9b0c-b22c0862afed,2,0,2,S,Called Strike,FF,6,2.0,3.27,1.57,95.5,87.7,41.15,-1.05,50.0,5.82,0.53,2.81,-6.65,8.58,6.74,-138.92,-5.49,-13.06,29.72,-15.34,34.8,3.6,24.0,1859,216,,,,,,,0,1,5,bottom
2017-04-06,490126,8,500724,R,592387,R,65,Flyout,5,4,170406_050211,83b3a52d-27cf-48bf-a54f-e025eb9aab9e,2,1,2,B,Ball,FT,14,2.0,3.27,1.57,95.4,88.1,63.91,-1.02,50.0,5.65,1.09,2.05,-7.06,5.08,8.32,-138.74,-5.88,-13.89,28.52,-22.18,27.6,6.0,24.0,1908,233,,,,,,,0,1,5,bottom
2017-04-06,490126,8,500724,R,592387,R,65,Flyout,5,5,170406_050233,921b0d37-7adb-4029-9354-88fa4c06b3a6,3,1,2,X,In play- out(s),FF,2,2.0,3.85,1.57,95.7,87.6,37.52,-1.16,50.0,5.86,-0.23,3.08,-6.55,9.21,4.88,-139.2,-5.11,-12.88,30.64,-14.06,38.4,3.6,24.0,1901,214,,,,,,,0,1,5,bottom
2017-04-09,490175,7,500724,R,572122,L,50,Double,2,1,170409_042630,25a72735-f042-4cba-b352-e6a46dd76ac0,0,0,0,S,Called Strike,CU,13,2.0,3.32,1.67,79.3,73.8,77.09,-1.14,50.0,6.01,-0.1,1.63,6.3,-6.47,0.51,-115.57,-1.06,8.56,20.63,-40.96,12.0,12.0,24.0,2380,40,,,,,572122,,0,0,1,top
2017-04-09,490175,7,500724,R,572122,L,50,Double,2,2,170409_042647,bfe20451-6fdd-4e08-a047-b03d6e50d264,0,1,0,X,In play- no out,FT,13,2.0,3.75,1.53,96.2,88.5,51.08,-1.36,50.0,5.78,-1.0,2.55,-7.95,4.8,3.86,-140.02,-4.86,-15.85,30.19,-22.6,32.4,6.0,24.0,2069,243,,,,,572122,,0,0,1,top
2017-04-09,490175,7,500724,R,502143,R,51,Groundout,3,1,170409_042741,a671ccb5-7611-4342-aae2-a33ce9886a4a,0,0,0,S,Called Strike,SL,13,2.0,3.58,1.59,88.3,82.0,73.41,-1.42,50.0,5.89,-0.32,1.55,1.48,-0.31,2.3,-128.45,-4.63,2.5,24.2,-32.7,4.8,8.4,24.0,,49,,572122,,,,572122,0,1,1,top
2017-04-09,490175,7,500724,R,502143,R,51,Groundout,3,2,170409_042807,37c3280f-a4ee-44fb-ba09-b61b11c17d0b,0,1,0,S,Foul,SL,14,2.0,3.84,1.59,89.8,83.5,38.67,-1.34,50.0,5.82,0.22,1.2,2.7,1.37,3.12,-130.56,-6.2,4.72,24.42,-29.78,9.6,7.2,24.0,2470,92,,572122,,,,572122,0,1,1,top
2017-04-09,490175,7,500724,R,502143,R,51,Groundout,3,3,170409_042841,5f67f131-2f1f-4eca-b236-2c4d24880b29,0,2,0,X,In play- out(s),SL,14,2.0,3.84,1.59,89.3,83.0,52.96,-1.2,50.0,5.83,0.81,1.91,4.67,1.29,3.62,-129.9,-4.29,8.07,24.19,-29.94,15.6,7.2,24.0,2496,92,,572122,,,,572122,0,1,1,top
2017-04-09,490175,7,500724,R,547982,L,52,Groundout,3,1,170409_042926,753c65f9-7921-47a7-9785-b228d717d618,0,0,1,B,Ball,FT,13,2.0,3.1,1.59,97.2,88.1,77.51,-1.3,50.0,5.62,-0.88,1.33,-9.08,5.27,4.43,-141.03,-7.96,-18.06,35.6,-21.68,36.0,6.0,24.0,2233,247,,,572122,,,,0,1,1,top
2017-04-09,490175,7,500724,R,547982,L,52,Groundout,3,2,170409_042948,8fe8e41f-f4e6-4d2d-b50f-10a07b13ed04,1,0,1,S,Swinging Strike,CU,9,2.0,3.84,1.59,82.0,75.3,33.65,-1.07,50.0,5.99,0.41,2.0,7.1,-6.5,1.32,-119.19,-0.55,10.14,24.43,-41.46,14.4,12.0,24.0,2493,44,,,572122,,,,0,1,1,top
2017-04-09,490175,7,500724,R,547982,L,52,Groundout,3,3,170409_043017,c3e16e25-9056-4101-96be-145d96ad88b0,1,1,1,X,In play- out(s),FT,13,2.0,3.84,1.59,96.5,87.5,55.11,-1.06,50.0,5.75,-0.97,2.38,-9.39,5.21,3.61,-140.21,-5.31,-18.5,34.86,-21.91,37.2,6.0,24.0,2270,246,,,572122,,,,0,1,1,top
2017-04-09,490175,7,500724,R,572287,R,53,Single,5,1,170409_043103,fd486998-f094-4c74-a97a-5e14b9230fad,0,0,2,B,Ball In Dirt,SL,14,2.0,3.21,1.29,90.4,84.4,55.35,-1.21,50.0,5.62,1.43,-0.21,3.32,-0.83,5.75,-131.31,-8.72,5.86,25.13,-33.64,10.8,8.4,24.0,,59,,,,572287,,,1,0,1,top
2017-04-09,490175,7,500724,R,572287,R,53,Single,5,2,170409_043132,df8f7247-2183-41f9-85f9-4c7fcb889a1e,1,0,2,S,Called Strike,SL,4,2.0,3.3,1.26,87.5,81.4,29.59,-1.2,50.0,5.87,-0.35,2.57,3.46,-2.98,1.02,-127.4,-1.02,5.75,23.17,-37.13,8.4,9.6,24.0,,43,,,,572287,,,1,0,1,top
2017-04-09,490175,7,500724,R,572287,R,53,Single,5,3,170409_043157,62d23d2e-9a6f-419c-a58d-91c93b948afb,1,1,2,S,Swinging Strike,FT,6,2.0,3.84,1.59,97.8,89.4,32.95,-1.01,50.0,5.77,0.25,2.8,-8.28,6.4,6.54,-142.1,-4.94,-16.95,32.22,-19.07,37.2,4.8,24.0,2187,235,,,,572287,,,1,0,1,top
