Date, Game, Inning, Pitcher, Hand, Batter, Stand, AB_ID, Result, AB_Total, AB_Count, Pfx_ID, Play_ID, Balls, Strikes, Outs, Code, Pdes, Type, Zone, Con, SZ_Top, SZ_Bot, Start_Speed, End_Speed, Nasty_Factor, X0, Y0, Z0, PX, PZ, PfxX, PfxZ, VX0, VY0, VZ0, AX, AY, AZ, Break_Angle, Break_Length, Break_Y, Spin_Rate, Spin_Direction, Runner 1B, Runner 2B, Runner 3B, End 1B, End 2B, End 3B, Runs, Outs On Play, Run Diff, Half
2018-03-29,529418,6,592612,L,608369,L,46,Flyout,1,1,180330_005359,97339ccb-61b8-43da-8704-d1ba4a2a7e09,0,0,0,X,In play- out(s),FC,2,2.0,3.47,1.44,91.3,84.5,43.19,1.29,50.0,6.32,-0.19,3.02,-1.93,4.89,-3.23,-132.88,-4.24,-3.49,25.66,-23.35,9.6,6.0,24.0,2241,206,,,,,,,0,1,1,bottom
2018-03-29,529418,6,592612,L,624577,R,47,Strikeout,5,1,180330_005437,0fecd416-b23a-414e-bdd9-bc238b678b64,0,0,1,S,Called Strike,FF,5,2.0,3.63,1.71,96.7,89.1,38.63,1.18,50.0,6.09,-0.24,2.63,3.86,8.85,-5.36,-140.6,-7.07,7.8,29.19,-14.3,22.8,3.6,24.0,2370,158,,,,,,,0,1,1,bottom
2018-03-29,529418,6,592612,L,624577,R,47,Strikeout,5,2,180330_005453,a94134f9-1c68-4b1d-b2b5-8e80a248d7ea,0,1,1,S,Called Strike,FF,9,2.0,3.77,1.71,96.3,88.2,40.08,1.37,50.0,6.0,0.5,2.2,3.83,9.57,-3.77,-139.92,-8.13,7.6,31.11,-13.18,24.0,3.6,24.0,2290,158,,,,,,,0,1,1,bottom
2018-03-29,529418,6,592612,L,624577,R,47,Strikeout,5,3,180330_005511,7e619988-0c34-4c14-916a-38c6b6d97b85,0,2,1,B,Ball,FC,13,2.0,3.85,1.75,89.9,83.1,44.97,1.25,50.0,5.97,-1.08,0.08,-1.85,3.09,-5.37,-130.45,-9.97,-3.19,26.98,-26.85,8.4,7.2,24.0,2038,230,,,,,,,0,1,1,bottom
2018-03-29,529418,6,592612,L,624577,R,47,Strikeout,5,4,180330_005537,60b1a4c8-f159-4982-8a91-c0c56380f93c,1,1,1,S,Foul,FF,5,2.0,3.53,1.52,96.7,88.8,15.15,1.4,50.0,6.13,-0.01,2.3,3.16,5.2,-5.06,-140.51,-6.7,6.33,30.86,-21.75,13.2,4.8,24.0,2449,150,,,,,,,0,1,1,bottom
2018-03-29,529418,6,592612,L,624577,R,47,Strikeout,5,5,180330_005607,77f6e725-4955-45b4-b640-bd0c9dcfa068,1,2,1,S,Swinging Strike (Blocked),CH,14,2.0,3.53,1.52,85.1,78.4,34.74,0.98,50.0,6.06,0.69,0.79,7.19,7.38,-2.97,-123.63,-8.62,11.14,24.26,-20.73,25.2,6.0,24.0,1780,133,,,,,,,0,1,1,bottom
2018-03-29,529418,6,592612,L,571771,R,48,Walk,7,1,180330_005643,1bde898e-9bdb-4ba4-b15c-86946f75fd4d,0,0,2,S,Called Strike,CH,14,2.0,3.35,1.4,84.6,77.8,67.42,1.18,50.0,6.23,0.77,1.92,7.66,6.82,-3.43,-123.02,-6.0,11.77,23.93,-21.71,26.4,7.2,24.0,1816,130,,,,571771,,,0,0,1,bottom
2018-03-29,529418,6,592612,L,571771,R,48,Walk,7,2,180330_005700,9a9edcfc-e90e-41e8-9d45-717c9c7e8d33,0,1,2,B,Ball,FF,14,2.0,3.19,1.4,96.3,88.6,19.41,1.21,50.0,5.89,0.11,0.97,3.59,7.66,-4.35,-139.86,-10.55,7.15,30.44,-16.94,18.0,3.6,24.0,2304,154,,,,571771,,,0,0,1,bottom
2018-03-29,529418,6,592612,L,571771,R,48,Walk,7,3,180330_005724,b3ded178-2349-4bfd-936d-67e991d8bf07,1,1,2,S,Swinging Strike,FF,6,2.0,3.15,1.39,96.6,88.7,29.74,1.35,50.0,6.05,0.4,2.38,3.07,9.04,-3.73,-140.43,-7.66,6.16,30.63,-14.05,19.2,3.6,24.0,2375,162,,,,571771,,,0,0,1,bottom
2018-03-29,529418,6,592612,L,571771,R,48,Walk,7,4,180330_005748,89636d48-b63e-4b6b-9710-fb991f289de6,1,2,2,B,Ball,CH,13,2.0,3.15,1.4,85.6,79.1,43.93,0.96,50.0,6.09,-0.4,1.28,7.72,6.71,-5.83,-124.31,-7.45,12.17,23.32,-21.6,26.4,6.0,24.0,1641,130,,,,571771,,,0,0,1,bottom
2018-03-29,529418,6,592612,L,571771,R,48,Walk,7,5,180330_005817,02827883-2c3b-4ed1-a0c9-b749d2819339,2,1,2,S,Foul,FF,14,2.0,3.15,1.39,96.9,88.9,47.52,1.41,50.0,6.0,0.88,2.18,1.31,9.17,-1.96,-140.84,-8.19,2.63,30.92,-13.69,8.4,3.6,24.0,2349,172,,,,571771,,,0,0,1,bottom
2018-03-29,529418,6,592612,L,571771,R,48,Walk,7,6,180330_005841,2dfcdbed-bde7-4a21-ba65-bf9fe1d0e189,2,2,2,B,Ball,FC,9,2.0,3.04,1.43,92.2,85.7,42.59,1.36,50.0,6.1,0.57,1.9,-1.33,2.77,-1.66,-134.28,-6.13,-2.46,25.67,-27.06,6.0,6.0,24.0,2242,213,,,,571771,,,0,0,1,bottom
2018-03-29,529418,6,592612,L,571771,R,48,Walk,7,7,180330_005910,9be9ad92-3aac-4527-8e01-f7ae224ade01,3,2,2,B,Ball In Dirt,CH,13,2.0,3.07,1.33,85.6,79.2,39.34,0.75,50.0,5.8,-0.94,-0.28,8.16,8.48,-6.77,-124.23,-11.1,12.81,23.69,-18.86,28.8,6.0,24.0,1634,134,,,,571771,,,0,0,1,bottom
2018-03-29,529418,6,592612,L,641355,L,49,Strikeout,7,1,180330_010000,e2821581-3f5f-4df9-8421-3dbd44733de6,0,0,2,S,Foul,FF,6,2.0,3.8,1.49,95.2,87.1,40.51,1.46,50.0,6.09,0.29,2.69,2.67,6.78,-4.16,-138.43,-5.79,5.17,31.04,-19.02,12.0,4.8,24.0,2383,160,571771,,,,571771,,0,1,1,bottom
2018-03-29,529418,6,592612,L,641355,L,49,Strikeout,7,2,180330_010024,0e171556-38ba-4cf8-bc17-38cce571715f,0,1,2,B,Ball,FC,13,2.0,3.8,1.54,91.9,85.2,41.24,1.19,50.0,6.02,-0.18,1.2,-1.45,4.76,-3.13,-133.58,-8.33,-2.65,26.3,-23.49,7.2,6.0,24.0,2207,204,571771,,,,571771,,0,1,1,bottom
2018-03-29,529418,6,592612,L,641355,L,49,Strikeout,7,3,180330_010052,470b41e4-10e2-474e-91c0-aa7a3ef3306d,1,1,2,S,Foul,FF,5,2.0,3.8,1.49,96.1,88.7,14.76,1.34,50.0,6.06,0.07,2.54,2.03,6.79,-4.25,-139.8,-6.41,4.05,28.87,-18.62,9.6,3.6,24.0,2371,165,571771,,,,571771,,0,1,1,bottom
2018-03-29,529418,6,592612,L,641355,L,49,Strikeout,7,4,180330_010123,025bf462-878e-45f9-9261-2941659e2a72,1,1,2,S,Foul,FF,4,2.0,3.8,1.49,95.4,87.6,39.6,1.07,50.0,6.21,-0.66,2.86,3.95,8.44,-6.14,-138.76,-6.35,7.72,29.92,-15.66,20.4,3.6,24.0,2407,157,571771,,,,571771,,0,1,1,bottom
2018-03-29,529418,6,592612,L,641355,L,49,Strikeout,7,5,180330_010207,2a50645c-8f1b-4052-b22e-f0fdb5ca77c7,1,2,2,B,Ball,CH,13,2.0,3.8,1.63,85.9,80.0,39.12,0.73,50.0,5.8,-1.18,-0.57,9.29,4.14,-7.7,-124.55,-10.56,14.76,22.41,-25.59,26.4,7.2,24.0,1739,110,571771,,,,571771,,0,1,1,bottom
2018-03-29,529418,6,592612,L,641355,L,49,Strikeout,7,6,180330_010249,aa5c8c17-df3d-4876-ad5d-5e0816fb04a4,2,2,2,S,Swinging Strike,FC,13,2.0,3.8,1.49,90.8,84.1,55.85,1.27,50.0,6.24,-1.05,1.86,-0.88,4.56,-5.75,-132.0,-6.85,-1.57,25.8,-24.06,6.0,6.0,24.0,2363,200,571771,,,,571771,,0,1,1,bottom
2018-04-02,529454,6,592612,L,518735,R,47,Single,1,1,180402_022431,4eaa00af-561f-4c8c-817d-740a0ee7a376,0,0,1,X,In play- run(s),FC,11,2.0,3.05,1.25,90.5,84.0,53.94,1.13,50.0,6.37,-0.29,3.05,0.14,7.3,-3.76,-131.74,-5.03,0.26,24.19,-19.15,1.2,4.8,24.0,2153,182,,624577,,518735,,,1,0,-2,bottom
2018-04-02,529454,6,592612,L,641355,L,48,Home Run,1,1,180402_022535,8b80a559-4d25-4c96-aa3d-9b584da475c1,0,0,1,X,In play- run(s),FF,5,2.0,3.65,1.34,95.5,88.0,35.96,1.24,50.0,6.16,0.06,2.22,5.38,7.81,-5.17,-138.86,-7.79,10.59,28.82,-16.8,27.6,4.8,24.0,2346,145,518735,,,,,,2,0,-3,bottom
2018-04-02,529454,6,592612,L,571771,R,49,Strikeout,4,1,180402_022622,561c7bdf-710a-49d8-8d94-7bccd4628119,0,0,1,B,Ball,CH,11,2.0,3.24,1.57,82.0,75.8,36.79,0.92,50.0,6.57,-0.11,3.92,6.38,8.32,-4.39,-119.37,-2.03,9.31,20.5,-20.03,22.8,6.0,24.0,1728,144,,,,,,,0,1,-5,bottom
2018-04-02,529454,6,592612,L,571771,R,49,Strikeout,4,2,180402_022636,536e7208-a8fe-4535-b8ce-47331f9ceb12,1,0,1,S,Called Strike,FF,6,2.0,3.25,1.6,95.8,87.9,37.82,1.15,50.0,6.18,0.48,2.69,4.5,10.42,-3.45,-139.32,-7.51,8.88,30.25,-11.62,31.2,3.6,24.0,2337,157,,,,,,,0,1,-5,bottom
2018-04-02,529454,6,592612,L,571771,R,49,Strikeout,4,3,180402_022654,f8641d28-8608-4260-b0fa-441d5f67f365,1,1,1,S,Swinging Strike,CH,7,2.0,3.0,1.24,84.3,77.6,28.29,0.87,50.0,6.29,-0.3,1.75,7.46,9.08,-5.19,-122.51,-7.21,11.37,23.46,-18.33,27.6,6.0,24.0,1875,140,,,,,,,0,1,-5,bottom
2018-04-02,529454,6,592612,L,571771,R,49,Strikeout,4,4,180402_022715,ac648ba0-df19-4abf-a78c-c0d2069249cd,1,2,1,S,Swinging Strike,FC,13,2.0,3.0,1.24,91.0,84.2,28.73,1.02,50.0,6.14,-1.41,1.4,-2.07,4.39,-5.67,-132.26,-7.76,-3.68,26.5,-24.34,10.8,6.0,24.0,2240,216,,,,,,,0,1,-5,bottom
2018-04-02,529454,6,592612,L,592626,L,50,Groundout,1,1,180402_022756,4d939f5b-1000-43d8-b299-985787aeee10,0,0,2,X,In play- out(s),FC,9,2.0,3.2,1.31,90.5,83.8,47.66,1.39,50.0,6.18,0.36,1.8,-1.04,4.23,-2.34,-131.67,-6.69,-1.85,25.91,-24.69,4.8,6.0,24.0,2210,199,,,,,,,0,1,-5,bottom
2018-04-04,529492,7,592612,L,600301,R,60,Strikeout,4,1,180405_012729,59234db1-35fd-430e-b761-0222b2161bf9,0,0,0,S,Called Strike,FF,3,2.0,3.35,1.53,95.5,87.4,65.38,1.22,50.0,6.18,0.66,3.13,4.22,8.79,-3.03,-138.87,-5.62,8.26,30.63,-14.97,25.2,3.6,24.0,2298,154,,,,,,,0,1,8,top
2018-04-04,529492,7,592612,L,600301,R,60,Strikeout,4,2,180405_012743,22e8c7ab-d403-402f-a453-32e1c967e409,0,1,0,S,Foul,FC,9,2.0,3.15,1.25,90.1,84.2,39.64,1.28,50.0,6.24,0.39,1.64,-2.25,3.67,-1.56,-131.14,-7.09,-3.99,23.25,-25.68,8.4,6.0,24.0,2220,217,,,,,,,0,1,8,top
2018-04-04,529492,7,592612,L,600301,R,60,Strikeout,4,3,180405_012805,c002d7c7-67ca-4f1e-aedf-45c9f0469918,0,2,0,B,Ball,CH,14,2.0,3.21,1.51,82.5,76.7,28.78,1.13,50.0,6.23,1.33,1.2,5.98,8.77,-1.37,-119.96,-7.94,8.83,20.53,-19.24,22.8,6.0,24.0,1665,143,,,,,,,0,1,8,top
2018-04-04,529492,7,592612,L,600301,R,60,Strikeout,4,4,180405_012824,fe8e0bd6-57a1-4e89-9619-5223420e33d1,1,2,0,S,Swinging Strike,CH,13,2.0,3.15,1.25,81.7,76.5,43.37,0.74,50.0,6.35,-0.41,1.17,6.6,8.39,-4.76,-118.85,-8.04,9.63,18.67,-19.94,22.8,6.0,24.0,1769,141,,,,,,,0,1,8,top
2018-04-04,529492,7,592612,L,543829,L,61,Groundout,2,1,180405_012851,87062135-4ebb-4fb5-95b9-e8f78194686f,0,0,1,B,Ball,FF,13,2.0,3.4,1.39,94.7,87.5,70.89,1.21,50.0,6.07,-0.84,1.69,2.57,8.29,-6.52,-137.57,-8.99,4.98,27.68,-16.13,12.0,3.6,24.0,2261,165,,,,,,,0,1,8,top
2018-04-04,529492,7,592612,L,543829,L,61,Groundout,2,2,180405_012909,16a47972-34b4-4619-bba1-ad8e1028f2f2,1,0,1,X,In play- out(s),FF,8,2.0,3.15,1.22,96.1,88.4,32.18,1.35,50.0,6.1,0.14,1.42,4.81,9.46,-5.08,-139.48,-10.48,9.52,29.81,-13.44,28.8,3.6,24.0,2393,153,,,,,,,0,1,8,top
2018-04-04,529492,7,592612,L,516416,R,62,Walk,7,1,180405_012941,e0b3d3dd-27b0-444d-8c83-44c7e06d1736,0,0,2,S,Called Strike,FF,14,2.0,3.28,1.44,95.3,87.4,65.39,1.29,50.0,6.08,0.88,2.07,4.61,8.92,-2.77,-138.5,-8.28,8.98,30.08,-14.8,26.4,3.6,24.0,2241,152,,,,516416,,,0,0,8,top
2018-04-04,529492,7,592612,L,516416,R,62,Walk,7,2,180405_012959,ebf3b84f-4ec5-45f9-870d-43d420884c75,0,1,2,B,Ball,CH,14,2.0,3.18,1.47,84.5,77.7,38.9,0.85,50.0,6.18,0.82,0.46,8.78,8.04,-2.84,-122.75,-9.75,13.37,24.7,-19.92,30.0,7.2,24.0,1896,129,,,,516416,,,0,0,8,top
2018-04-04,529492,7,592612,L,516416,R,62,Walk,7,3,180405_013025,fe2f76ff-d623-45d3-bff6-73bec6b74130,1,1,2,S,Foul,FF,7,2.0,3.15,1.33,96.4,88.4,34.47,1.11,50.0,6.1,-0.3,1.78,4.63,10.14,-5.56,-139.87,-9.76,9.21,30.26,-11.99,30.0,3.6,24.0,2434,156,,,,516416,,,0,0,8,top
2018-04-04,529492,7,592612,L,516416,R,62,Walk,7,4,180405_013044,0b9c6cb3-c376-4c5c-807f-6333fa040a80,1,2,2,B,Ball,CH,13,2.0,3.02,1.53,82.4,76.8,32.01,0.73,50.0,6.02,-0.61,-0.1,5.6,7.04,-4.92,-119.7,-9.94,8.21,20.66,-21.84,18.0,7.2,24.0,1769,140,,,,516416,,,0,0,8,top
2018-04-04,529492,7,592612,L,516416,R,62,Walk,7,5,180405_013107,dcbbe636-3321-437b-9794-0d529f547d66,2,1,2,S,Foul,FC,13,2.0,3.15,1.33,91.8,84.9,54.85,1.08,50.0,6.21,-1.08,1.65,-0.92,5.49,-5.4,-133.41,-7.86,-1.68,26.74,-22.2,6.0,4.8,24.0,2240,197,,,,516416,,,0,0,8,top
2018-04-04,529492,7,592612,L,516416,R,62,Walk,7,6,180405_013135,ca53c6fa-6f36-4df8-9497-55284372884e,2,2,2,B,Ball,FF,12,2.0,3.07,1.49,97.2,89.5,50.83,1.19,50.0,6.18,1.13,2.83,4.78,9.14,-1.91,-141.43,-6.97,9.76,29.88,-13.52,32.4,3.6,24.0,2373,151,,,,516416,,,0,0,8,top
2018-04-04,529492,7,592612,L,516416,R,62,Walk,7,7,180405_013155,e9391136-9a72-41a3-be42-ac5f3351701a,3,2,2,B,Ball,FF,12,2.0,3.09,1.47,96.8,88.7,45.61,1.17,50.0,6.09,0.94,2.38,4.72,9.51,-2.37,-140.85,-7.98,9.5,31.56,-13.05,31.2,3.6,24.0,2368,152,,,,516416,,,0,0,8,top
2018-04-04,529492,7,592612,L,429664,L,63,Single,2,1,180405_013232,4d37c930-3477-49c5-96ca-7881d4256000,0,0,2,B,Ball In Dirt,FC,14,2.0,3.72,1.6,90.5,83.6,29.54,1.17,50.0,6.05,0.07,0.46,-0.26,5.52,-2.76,-131.43,-10.18,-0.45,26.84,-22.49,2.4,6.0,24.0,2114,187,516416,,,429664,516416,,0,0,8,top
2018-04-04,529492,7,592612,L,429664,L,63,Single,2,2,180405_013259,81f17e02-cd6a-441e-a115-c040b56105ee,1,0,2,X,In play- no out,FC,4,2.0,3.56,1.51,91.9,84.9,34.14,1.16,50.0,6.3,-0.58,2.76,0.07,5.75,-4.63,-133.73,-5.3,0.13,26.64,-21.67,2.4,4.8,24.0,2273,184,516416,,,429664,516416,,0,0,8,top
2018-04-04,529492,7,592612,L,571745,R,64,Strikeout,4,1,180405_013352,0df38275-6c2e-4b3a-aad3-d908e5bbb3d9,0,0,2,S,Called Strike,FF,6,2.0,3.41,1.49,96.0,88.5,40.8,1.14,50.0,6.08,0.26,2.34,4.35,9.35,-4.0,-139.61,-7.9,8.66,28.74,-13.55,27.6,3.6,24.0,2293,155,429664,516416,,,,,0,1,8,top
2018-04-04,529492,7,592612,L,571745,R,64,Strikeout,4,2,180405_013414,e5836dc0-6634-427e-9739-8e99ab019438,0,1,2,S,Foul Tip,FC,4,2.0,3.19,1.29,90.5,83.0,38.5,1.08,50.0,6.18,-0.54,2.02,-0.98,5.89,-3.87,-131.5,-6.59,-1.72,27.89,-21.87,6.0,6.0,24.0,2119,195,429664,516416,,,,,0,1,8,top
2018-04-04,529492,7,592612,L,571745,R,64,Strikeout,4,3,180405_013438,eef5236e-2e55-4442-9c15-2785621fbd1b,0,2,2,B,Ball,CH,13,2.0,3.31,1.56,84.5,78.3,29.43,0.78,50.0,6.25,-0.06,1.52,6.75,8.69,-4.18,-122.93,-7.68,10.43,22.23,-18.75,26.4,6.0,24.0,1680,141,429664,516416,,,,,0,1,8,top
2018-04-04,529492,7,592612,L,571745,R,64,Strikeout,4,4,180405_013459,6a937dc1-f4be-4a43-82b1-d1b770d0fd62,1,2,2,S,Swinging Strike,FF,8,2.0,3.19,1.29,96.1,88.3,34.42,1.18,50.0,6.06,0.19,1.57,4.87,9.63,-4.46,-139.56,-10.01,9.64,30.11,-13.11,30.0,3.6,24.0,2271,153,429664,516416,,,,,0,1,8,top
2018-04-07,529524,6,592612,L,641355,L,43,Pop Out,2,1,180407_234526,9a177730-3268-4463-838f-00af9184aabf,0,0,0,S,Called Strike,FC,1,2.0,3.59,1.7,91.3,84.6,59.5,1.33,50.0,6.3,-0.65,3.21,-1.83,3.73,-4.59,-133.0,-3.33,-3.32,25.7,-25.42,9.6,6.0,24.0,2293,213,624577,608369,,,,,0,1,2,top
2018-04-07,529524,6,592612,L,641355,L,43,Pop Out,2,2,180407_234552,39f72218-0216-4069-a45f-c0523b3c6231,0,1,0,X,In play- out(s),FF,12,2.0,3.74,1.43,95.3,87.2,41.74,1.36,50.0,6.13,1.07,2.72,5.7,8.99,-2.84,-138.61,-6.66,11.08,31.08,-14.7,32.4,3.6,24.0,2277,147,624577,608369,,,,,0,1,2,top
2018-04-07,529524,6,592612,L,523253,R,44,Walk,4,1,180407_234656,b995668f-e75d-4a39-97af-8e7fc6e2cc24,0,0,1,B,Ball,FC,13,2.0,3.36,1.58,91.2,84.7,45.36,1.13,50.0,6.2,-1.36,1.5,-0.7,4.66,-6.31,-132.62,-7.84,-1.25,25.43,-23.79,4.8,6.0,24.0,2238,199,,,,523253,624577,608369,0,0,2,top
2018-04-07,529524,6,592612,L,523253,R,44,Walk,4,2,180407_234818,585afdcb-490b-45b3-a9e2-dac768e15ab8,1,0,1,B,Ball In Dirt,FC,14,2.0,3.36,1.54,90.5,84.7,19.19,1.34,50.0,6.1,0.25,0.8,0.37,6.78,-2.97,-131.52,-10.05,0.66,22.57,-20.06,0.0,4.8,24.0,2139,179,,,,523253,624577,608369,0,0,2,top
2018-04-07,529524,6,592612,L,523253,R,44,Walk,4,3,180407_234848,ef77293e-6b90-4289-8a76-58ba07cfa1ee,2,0,1,B,Ball,FF,12,2.0,3.25,1.56,95.6,88.4,51.67,1.27,50.0,6.31,0.61,3.41,4.74,8.38,-3.52,-139.09,-5.21,9.41,27.16,-15.53,27.6,3.6,24.0,2394,151,,,,523253,624577,608369,0,0,2,top
2018-04-07,529524,6,592612,L,523253,R,44,Walk,4,4,180407_234913,248c78ac-ca5b-4f8a-a467-cc2ae15b8f5a,3,0,1,B,Ball,FF,12,2.0,3.23,1.6,94.5,87.0,17.06,1.36,50.0,6.3,0.09,3.95,1.27,7.23,-3.91,-137.55,-3.06,2.45,28.17,-18.21,4.8,3.6,24.0,2265,173,,,,523253,624577,608369,0,0,2,top
2018-04-08,529539,8,592612,L,621035,R,51,Single,2,1,180408_215634,179f6adc-64ae-4504-84d1-9e4eb329178c,0,0,0,S,Called Strike,CH,1,2.0,3.33,1.44,83.0,77.0,61.1,0.84,50.0,6.49,-0.52,2.95,5.8,7.72,-5.08,-120.83,-4.2,8.69,20.73,-20.61,20.4,6.0,24.0,1632,144,,,,621035,,,0,0,-1,top
2018-04-08,529539,8,592612,L,621035,R,51,Single,2,2,180408_215654,8c7d5e5b-d445-4293-9a18-f372546b987d,0,1,0,X,In play- no out,FF,6,2.0,3.33,1.39,94.3,86.9,39.11,1.18,50.0,6.24,0.64,2.28,4.2,8.8,-2.97,-137.12,-7.94,8.06,28.15,-15.29,24.0,3.6,24.0,2095,154,,,,621035,,,0,0,-1,top
2018-04-08,529539,8,592612,L,608369,L,52,Strikeout,10,1,180408_215749,8c4ab389-0af1-4363-b9be-545faf70a0b3,0,0,0,S,Foul,FC,13,2.0,3.42,1.39,88.4,82.5,62.43,1.26,50.0,6.31,-0.86,2.07,-1.6,4.06,-4.9,-128.59,-5.92,-2.73,22.34,-25.26,7.2,6.0,24.0,2147,210,621035,,,,,,0,2,-1,top
2018-04-08,529539,8,592612,L,608369,L,52,Strikeout,10,2,180408_215818,acf140dd-b431-4e19-8948-31f653e0c738,0,1,0,B,Ball,FC,12,2.0,3.44,1.39,90.1,83.1,32.32,1.39,50.0,6.4,0.07,3.69,-1.91,4.94,-2.8,-131.12,-2.52,-3.36,25.51,-23.51,9.6,6.0,24.0,2138,204,621035,,,,,,0,2,-1,top
2018-04-08,529539,8,592612,L,608369,L,52,Strikeout,10,3,180408_220001,3c43e09f-4186-4341-92af-9bb36fb2710b,1,1,0,S,Swinging Strike,CH,14,2.0,3.42,1.39,83.6,76.6,46.0,1.02,50.0,6.23,0.51,1.31,6.68,8.48,-3.28,-121.43,-7.71,9.94,24.6,-19.55,24.0,6.0,24.0,1707,140,621035,,,,,,0,2,-1,top
2018-04-08,529539,8,592612,L,608369,L,52,Strikeout,10,4,180408_220021,6cc7240e-cea4-45a1-b657-4f81618d4bde,1,2,0,B,Ball,FF,11,2.0,3.44,1.39,94.7,86.8,28.01,1.24,50.0,6.28,-1.43,3.14,3.17,9.66,-8.38,-137.49,-6.02,6.1,29.37,-13.61,16.8,3.6,24.0,2293,166,621035,,,,,,0,2,-1,top
2018-04-08,529539,8,592612,L,608369,L,52,Strikeout,10,5,180408_220037,8ad93831-dcaa-459a-b8bb-44d141f49fdd,2,2,0,B,Ball,CH,13,2.0,3.44,1.39,83.7,78.2,40.55,0.83,50.0,6.17,-0.94,0.3,5.36,8.97,-5.95,-121.46,-10.33,8.15,19.74,-18.52,20.4,6.0,24.0,1796,149,621035,,,,,,0,2,-1,top
2018-04-08,529539,8,592612,L,608369,L,52,Strikeout,10,6,180408_220102,26a439b6-a455-4c31-a86a-bd8ae97e0123,3,1,0,S,Foul,FC,11,2.0,3.42,1.39,89.7,83.3,41.59,1.41,50.0,6.42,-0.23,3.52,-3.02,4.52,-3.21,-130.6,-2.86,-5.29,23.92,-24.26,13.2,6.0,24.0,2192,217,621035,,,,,,0,2,-1,top
2018-04-08,529539,8,592612,L,608369,L,52,Strikeout,10,7,180408_220123,b3b6abe5-b3bc-4695-9e6d-680794ee7980,3,2,0,S,Swinging Strike,FC,7,2.0,3.42,1.39,88.1,82.6,41.47,1.17,50.0,6.28,-0.41,1.42,-0.36,4.62,-3.92,-128.17,-7.64,-0.61,21.31,-24.33,2.4,6.0,24.0,2159,190,621035,,,,,,0,2,-1,top
2018-04-08,529539,8,592612,L,624577,R,53,Single,2,1,180408_220157,1bb1c985-8dfd-46b7-954a-733d550fae39,0,0,2,S,Called Strike,FF,5,2.0,3.49,1.47,96.1,88.6,40.11,1.23,50.0,6.26,-0.19,2.69,4.09,9.25,-5.41,-139.57,-7.39,8.15,28.26,-13.73,25.2,3.6,24.0,2381,157,,,,624577,,,0,0,-1,top
2018-04-08,529539,8,592612,L,624577,R,53,Single,2,2,180408_220217,a2c2a31d-6b12-4ea3-8052-e8422d54d6c7,0,1,2,X,In play- no out,FF,7,2.0,3.48,1.47,96.0,88.6,37.57,1.24,50.0,6.22,-0.47,2.04,2.84,8.27,-5.74,-139.45,-8.69,5.64,28.58,-15.73,14.4,3.6,24.0,2316,163,,,,624577,,,0,0,-1,top
2018-04-08,529539,8,592612,L,571771,R,54,Groundout,2,1,180408_220300,47df9e6b-ec92-4750-bf1b-b4c7fe9d25ea,0,0,2,S,Swinging Strike,FC,5,2.0,2.91,-0.21,89.3,82.9,30.15,1.35,50.0,6.29,0.01,1.58,-0.69,5.11,-3.22,-129.91,-7.6,-1.19,24.53,-23.35,3.6,6.0,24.0,2254,193,624577,,,,,,0,1,-1,top
2018-04-08,529539,8,592612,L,571771,R,54,Groundout,2,2,180408_220324,d120eb3c-e422-4d90-88a1-25300b8cd16b,0,1,2,X,In play- out(s),CH,9,2.0,3.1,1.34,83.3,77.6,33.13,0.9,50.0,6.34,0.51,1.91,4.84,7.86,-2.45,-121.18,-6.43,7.32,20.24,-20.31,18.0,6.0,24.0,1767,147,624577,,,,,,0,1,-1,top
2018-04-11,529560,7,592612,L,502481,L,52,Double,7,1,180411_043353,2dc41ac4-58e7-469f-8d00-5ba371a1a9d9,0,0,0,S,Called Strike,FF,6,2.0,3.36,1.56,95.2,87.5,52.9,1.48,50.0,6.1,0.56,2.65,3.01,9.34,-3.59,-138.45,-6.89,5.87,29.3,-13.94,18.0,3.6,24.0,2327,163,,,,,502481,,0,0,1,top
2018-04-11,529560,7,592612,L,502481,L,52,Double,7,2,180411_043407,e1f99d18-0a67-4053-bbfd-9b9067ea4fd4,0,1,0,S,Called Strike,FC,5,2.0,3.26,1.51,88.5,81.8,18.42,1.36,50.0,6.3,0.05,2.35,-3.16,3.91,-2.32,-128.7,-5.06,-5.33,24.85,-25.58,12.0,6.0,24.0,2283,224,,,,,502481,,0,0,1,top
2018-04-11,529560,7,592612,L,502481,L,52,Double,7,3,180411_043426,6f4f6a9a-5328-457a-aefa-dc4cfb3e51e4,0,2,0,B,Ball,FC,11,2.0,3.27,1.61,90.2,83.5,29.21,1.27,50.0,6.23,-1.79,3.36,-2.31,3.65,-7.17,-131.2,-2.5,-4.06,25.14,-25.75,12.0,6.0,24.0,2304,221,,,,,502481,,0,0,1,top
2018-04-11,529560,7,592612,L,502481,L,52,Double,7,4,180411_043444,e18469d6-610a-468c-9b94-fb3b737dcde1,1,2,0,B,Ball,CH,13,2.0,3.27,1.41,83.2,77.3,32.34,0.94,50.0,6.18,-0.66,0.8,6.59,8.09,-5.88,-120.79,-8.69,9.85,20.97,-20.08,22.8,6.0,24.0,1654,140,,,,,502481,,0,0,1,top
