Date, Game, Inning, Pitcher, Hand, Batter, Stand, AB_ID, Result, AB_Total, AB_Count, Pfx_ID, Play_ID, Balls, Strikes, Outs, Code, Pdes, Type, Zone, Con, SZ_Top, SZ_Bot, Start_Speed, End_Speed, Nasty_Factor, X0, Y0, Z0, PX, PZ, PfxX, PfxZ, VX0, VY0, VZ0, AX, AY, AZ, Break_Angle, Break_Length, Break_Y, Spin_Rate, Spin_Direction, Runner 1B, Runner 2B, Runner 3B, End 1B, End 2B, End 3B, Runs, Outs On Play, Run Diff, Half
2018-05-10,529962,7,627894,L,500743,R,63,Lineout,3,1,180511_013205,6cc9731d-3ca8-47c0-8926-ca47bc6739c7,0,0,0,B,Ball,FF,13,2.0,3.27,1.54,97.0,87.7,38.86,1.11,50.0,6.41,-1.94,1.94,6.62,10.77,-10.78,-140.39,-10.36,13.07,35.04,-10.92,38.4,3.6,24.0,2180,151,,,,,,,0,1,7,bottom
2018-05-10,529962,7,627894,L,500743,R,63,Lineout,3,2,180511_013224,5912d63d-0b4a-41dc-aa37-97e29e053357,1,0,0,S,Swinging Strike,SL,7,2.0,3.16,1.48,82.9,75.6,42.93,1.48,50.0,6.35,-0.59,1.54,-2.63,-0.51,-4.07,-120.39,-4.4,-3.81,26.33,-32.91,7.2,9.6,24.0,2559,286,,,,,,,0,1,7,bottom
2018-05-10,529962,7,627894,L,500743,R,63,Lineout,3,3,180511_013246,9f636ccf-06a0-421a-9cd3-454197abefa3,1,1,0,X,In play- out(s),SL,11,2.0,3.28,1.57,83.4,76.4,30.89,1.6,50.0,6.5,-0.2,3.3,-4.28,-0.6,-2.96,-121.27,-0.75,-6.35,24.65,-33.07,12.0,9.6,24.0,,276,,,,,,,0,1,7,bottom
2018-05-10,529962,7,627894,L,621446,R,64,Flyout,3,1,180511_013315,f3d71fd6-3524-4646-bdc5-445dc5623766,0,0,1,B,Ball,FF,13,2.0,3.72,1.75,97.2,87.9,45.57,1.12,50.0,6.36,-1.92,1.83,6.26,9.98,-10.66,-140.74,-10.28,12.41,35.36,-12.38,33.6,3.6,24.0,2174,150,,,,,,,0,1,7,bottom
2018-05-10,529962,7,627894,L,621446,R,64,Flyout,3,2,180511_013334,15f7fe9f-f7b9-41d6-8640-0944abd98228,1,0,1,S,Called Strike,FF,4,2.0,3.74,1.75,95.8,85.7,39.41,1.41,50.0,6.5,-0.68,2.62,5.9,10.6,-7.76,-138.86,-8.33,11.26,37.69,-11.95,32.4,3.6,24.0,2144,153,,,,,,,0,1,7,bottom
2018-05-10,529962,7,627894,L,621446,R,64,Flyout,3,3,180511_013357,b3ea16c1-8914-48d8-bd4f-69ee89f482b6,1,1,1,X,In play- out(s),SL,8,2.0,3.76,1.77,80.9,73.5,14.95,1.63,50.0,6.46,-0.05,2.42,-3.79,-1.5,-2.75,-117.53,-1.88,-5.21,25.65,-34.23,9.6,10.8,24.0,2586,290,,,,,,,0,1,7,bottom
2018-05-10,529962,7,627894,L,457727,R,65,Single,4,1,180511_013428,ad78e72b-0e9b-4dc8-8e49-92df40468bca,0,0,2,B,Ball,SL,13,2.0,3.58,1.68,82.0,75.6,67.87,1.45,50.0,6.24,-1.11,1.15,-2.01,-0.01,-5.41,-119.12,-5.11,-2.88,23.7,-32.19,6.0,9.6,24.0,2546,280,,,,457727,,,0,0,7,bottom
2018-05-10,529962,7,627894,L,457727,R,65,Single,4,2,180511_013441,cd579c4a-b166-4be6-9f0a-3a2a2747b7ea,1,0,2,S,Called Strike,FF,1,2.0,3.51,1.75,95.7,86.3,43.44,1.33,50.0,6.51,-0.59,3.23,6.18,9.97,-7.42,-138.86,-6.58,11.91,34.81,-12.95,34.8,3.6,24.0,2250,150,,,,457727,,,0,0,7,bottom
2018-05-10,529962,7,627894,L,457727,R,65,Single,4,3,180511_013456,0f22e513-00f0-42f1-af2c-3759550b57ef,1,1,2,S,Foul,FF,13,2.0,3.61,1.8,96.6,87.4,55.76,1.43,50.0,6.3,-0.65,1.56,7.12,9.65,-8.25,-139.98,-10.63,13.97,35.0,-13.25,37.2,3.6,24.0,2212,144,,,,457727,,,0,0,7,bottom
2018-05-10,529962,7,627894,L,457727,R,65,Single,4,4,180511_013518,5fb8aebc-3196-49da-b98d-0b44e6960832,1,2,2,X,In play- no out,SL,4,2.0,3.61,1.74,83.0,76.3,22.94,1.41,50.0,6.51,-0.4,2.56,-2.47,-2.72,-3.53,-120.67,-1.79,-3.63,24.06,-36.17,7.2,9.6,24.0,2677,313,,,,457727,,,0,0,7,bottom
2018-05-10,529962,7,627894,L,592663,R,66,Strikeout,5,1,180511_013557,dd6d68f7-666b-474c-98dc-88450bd31f69,0,0,2,B,Ball,FF,11,2.0,3.63,1.74,94.4,86.8,41.66,1.27,50.0,6.53,-1.38,3.34,5.25,8.24,-9.02,-137.1,-5.64,10.05,28.45,-16.38,25.2,3.6,24.0,1910,151,457727,,,,,,0,1,7,bottom
2018-05-10,529962,7,627894,L,592663,R,66,Strikeout,5,2,180511_013626,eaa64281-15bb-4216-a530-73b9fc97e895,1,0,2,S,Called Strike,SL,8,2.0,3.59,1.66,81.6,75.3,25.23,1.76,50.0,6.31,0.13,1.86,-2.34,-1.92,-3.11,-118.7,-2.99,-3.33,23.03,-34.91,6.0,9.6,24.0,2477,307,457727,,,,,,0,1,7,bottom
2018-05-10,529962,7,627894,L,592663,R,66,Strikeout,5,3,180511_013643,a509e5ed-662d-4488-be4d-76a826f828db,1,1,2,S,Swinging Strike (Blocked),SL,13,2.0,3.62,1.63,81.4,75.5,13.11,1.58,50.0,6.25,-0.18,0.88,-1.74,-0.91,-3.58,-118.37,-5.4,-2.47,22.11,-33.47,4.8,9.6,24.0,,302,457727,,,,,,0,1,7,bottom
2018-05-10,529962,7,627894,L,592663,R,66,Strikeout,5,4,180511_013704,eae90b3d-7d27-4743-a725-467b7cb3ccbe,1,2,2,S,Called Strike,SL,7,2.0,3.73,1.78,80.2,74.4,38.27,1.54,50.0,6.52,-0.64,2.23,-3.66,-4.48,-3.92,-116.72,-1.59,-5.06,21.53,-38.37,8.4,12.0,24.0,2612,317,457727,,,,,,0,1,7,bottom
2018-05-10,529962,8,627894,L,445988,R,71,Lineout,3,1,180511_014943,e63bd45c-4533-48e5-b992-5fbd2c3611d1,0,0,0,S,Called Strike,FF,4,2.0,3.27,1.42,94.5,85.9,48.44,1.3,50.0,6.35,-0.5,2.28,6.08,8.13,-7.0,-137.07,-7.9,11.49,32.09,-16.81,27.6,4.8,24.0,2102,144,,,,,,,0,1,7,bottom
2018-05-10,529962,8,627894,L,445988,R,71,Lineout,3,2,180511_014958,acbb7d48-ac45-41d0-b8af-583aa912a3a7,0,1,0,S,Called Strike,FF,1,2.0,3.29,1.47,94.5,86.6,45.96,1.31,50.0,6.55,-0.62,2.96,6.48,8.44,-7.53,-137.27,-6.77,12.4,29.68,-16.02,32.4,4.8,24.0,2206,144,,,,,,,0,1,7,bottom
2018-05-10,529962,8,627894,L,445988,R,71,Lineout,3,3,180511_015017,7979c979-febc-493a-80db-680710907edb,0,2,0,X,In play- out(s),SL,4,2.0,3.28,1.46,84.1,77.6,27.47,1.5,50.0,6.42,-0.49,2.18,-1.66,0.56,-4.27,-122.26,-3.77,-2.52,23.86,-31.33,6.0,8.4,24.0,,263,,,,,,,0,1,7,bottom
2018-05-10,529962,8,627894,L,516770,R,72,Lineout,1,1,180511_015100,e7b7b0b8-75d2-4213-8ef1-252f95b6f172,0,0,1,X,In play- out(s),FF,4,2.0,3.65,1.72,94.8,86.0,46.19,1.38,50.0,6.53,-0.45,2.74,6.41,10.76,-7.19,-137.46,-8.1,12.19,32.33,-11.72,37.2,3.6,24.0,2184,150,,,,,,,0,1,7,bottom
2018-05-10,529962,8,627894,L,571506,L,73,Walk,5,1,180511_015133,fe98fef2-4355-41d6-9be6-0a82d57e04c7,0,0,2,B,Ball,FF,13,2.0,3.77,1.84,94.8,86.6,35.91,1.08,50.0,6.5,-1.32,2.81,5.84,11.23,-8.58,-137.56,-8.08,11.2,30.26,-10.63,37.2,3.6,24.0,2215,155,,,,571506,,,0,0,7,bottom
2018-05-10,529962,8,627894,L,571506,L,73,Walk,5,2,180511_015145,3ec13ce4-67d9-45d7-b44e-6ef9d4c51899,1,0,2,B,Ball,FF,13,2.0,3.77,1.74,95.3,86.8,18.58,1.02,50.0,6.5,-1.57,2.48,4.96,11.13,-8.82,-138.13,-9.0,9.57,31.43,-10.71,31.2,3.6,24.0,2230,158,,,,571506,,,0,0,7,bottom
2018-05-10,529962,8,627894,L,571506,L,73,Walk,5,3,180511_015200,68f5e1a6-8597-4ba7-8ed0-cbde82ea54b0,2,0,2,B,Ball,SL,14,2.0,3.6,1.82,81.7,75.4,35.81,1.95,50.0,6.15,1.12,0.9,-2.2,-1.67,-1.27,-118.77,-4.94,-3.14,23.38,-34.56,4.8,9.6,24.0,2428,312,,,,571506,,,0,0,7,bottom
2018-05-10,529962,8,627894,L,571506,L,73,Walk,5,4,180511_015222,76252917-58ca-44a3-8a2b-af52a606d10f,3,0,2,S,Called Strike,FF,13,2.0,3.71,1.78,93.7,86.1,57.06,1.14,50.0,6.53,-0.98,1.84,4.65,8.74,-7.33,-135.93,-9.68,8.73,28.83,-15.76,22.8,3.6,24.0,2044,153,,,,571506,,,0,0,7,bottom
2018-05-10,529962,8,627894,L,571506,L,73,Walk,5,5,180511_015238,3d9c7879-cf09-4baa-82ea-6cafdb85b24c,3,1,2,B,Ball,FF,2,2.0,3.77,1.84,94.5,86.3,27.03,1.67,50.0,6.34,0.02,3.51,6.75,8.24,-6.86,-137.35,-4.66,12.91,30.33,-16.42,33.6,4.8,24.0,2084,142,,,,571506,,,0,0,7,bottom
2018-05-10,529962,8,627894,L,605119,R,74,Walk,6,1,180511_015313,3c503e05-aa71-4cbc-a347-f676ca791020,0,0,2,B,Ball,FF,13,2.0,3.61,1.73,93.7,85.9,41.88,1.22,50.0,6.35,-1.9,2.01,6.24,8.16,-10.55,-135.76,-8.51,11.68,28.85,-16.9,27.6,4.8,24.0,2069,145,571506,,,605119,571506,,0,0,7,bottom
2018-05-10,529962,8,627894,L,605119,R,74,Walk,6,2,180511_015331,df7c6eb0-6fa5-41c3-9275-60b97df3e6f6,1,0,2,B,Ball,FF,13,2.0,3.57,1.83,93.1,85.3,41.84,1.15,50.0,6.36,-0.82,1.04,4.23,10.41,-6.7,-134.88,-11.75,7.8,29.09,-12.97,22.8,3.6,24.0,2054,159,571506,,,605119,571506,,0,0,7,bottom
2018-05-10,529962,8,627894,L,605119,R,74,Walk,6,3,180511_015353,8ab1ae90-14b0-42df-aa6a-dbe67f18b2bc,2,0,2,S,Called Strike,FF,2,2.0,3.53,1.65,93.0,84.3,29.84,1.49,50.0,6.57,0.07,3.33,5.43,9.27,-5.63,-135.07,-5.74,9.94,31.87,-15.21,27.6,3.6,24.0,2189,151,571506,,,605119,571506,,0,0,7,bottom
2018-05-10,529962,8,627894,L,605119,R,74,Walk,6,4,180511_015411,c0523e1c-e8c6-4f10-b9ee-9ab481699234,2,1,2,B,Ball In Dirt,SL,14,2.0,3.53,1.71,79.4,72.8,26.45,1.72,50.0,6.27,0.56,0.96,-1.58,-1.88,-2.17,-115.4,-4.38,-2.11,23.96,-34.67,3.6,10.8,24.0,2468,320,571506,,,605119,571506,,0,0,7,bottom
2018-05-10,529962,8,627894,L,605119,R,74,Walk,6,5,180511_015432,ba0fde31-96f5-4d05-89aa-dc4b52026f5f,3,1,2,S,Foul,FF,13,2.0,3.55,1.77,92.6,85.1,48.93,1.28,50.0,6.32,-0.84,2.22,5.46,10.19,-7.54,-134.5,-8.38,10.05,27.83,-13.42,30.0,3.6,24.0,2220,153,571506,,,605119,571506,,0,0,7,bottom
2018-05-10,529962,8,627894,L,605119,R,74,Walk,6,6,180511_015504,325d830c-8d57-4708-87c8-74588771c1fe,3,2,2,B,Ball,FF,2,2.0,3.61,1.71,94.0,86.1,36.44,1.32,50.0,6.56,-0.21,3.52,6.99,9.02,-6.58,-136.55,-5.41,13.23,29.21,-15.08,36.0,4.8,24.0,2215,143,571506,,,605119,571506,,0,0,7,bottom
2018-05-10,529962,8,627894,L,592680,R,75,Strikeout,5,1,180511_015539,95be7161-ba53-47c4-b492-6ac9b34362ce,0,0,2,S,Swinging Strike,SL,14,2.0,3.42,1.6,82.5,75.8,62.95,1.67,50.0,6.31,0.11,1.44,-2.15,0.05,-3.03,-119.84,-4.71,-3.12,24.21,-32.1,6.0,9.6,24.0,2420,278,605119,571506,,,,,0,1,7,bottom
2018-05-10,529962,8,627894,L,592680,R,75,Strikeout,5,2,180511_015559,26b11478-0b69-4ced-9b45-6dcb26572dd8,0,1,2,B,Ball,SL,9,2.0,3.54,1.66,82.4,76.1,36.18,1.44,50.0,6.33,0.36,1.68,-2.11,-1.63,-1.91,-119.78,-3.71,-3.07,22.86,-34.55,6.0,9.6,24.0,,309,605119,571506,,,,,0,1,7,bottom
2018-05-10,529962,8,627894,L,592680,R,75,Strikeout,5,3,180511_015619,ea96a634-f900-46da-a9a2-ba3757b763bb,1,1,2,S,Foul,FF,2,2.0,3.48,1.69,93.2,85.1,26.94,1.26,50.0,6.56,0.02,3.36,5.66,10.57,-5.27,-135.49,-6.23,10.52,29.78,-12.55,33.6,3.6,24.0,2150,153,605119,571506,,,,,0,1,7,bottom
2018-05-10,529962,8,627894,L,592680,R,75,Strikeout,5,4,180511_015645,d3ef0a0e-3bd7-4571-8299-29762dc9f951,1,1,2,S,Foul,SL,6,2.0,3.36,1.63,81.4,75.2,23.73,1.39,50.0,6.51,0.38,2.67,-2.17,-2.61,-1.7,-118.48,-1.34,-3.09,22.21,-35.9,4.8,10.8,24.0,2532,317,605119,571506,,,,,0,1,7,bottom
2018-05-10,529962,8,627894,L,592680,R,75,Strikeout,5,5,180511_015712,742b128e-4925-4f97-a538-839306ca405a,1,2,2,S,Swinging Strike,SL,7,2.0,3.48,1.65,81.6,76.0,40.12,1.46,50.0,6.47,-0.49,1.68,-2.6,-1.65,-3.77,-118.66,-3.93,-3.75,20.76,-34.54,7.2,9.6,24.0,2550,302,605119,571506,,,,,0,1,7,bottom
2018-05-10,529962,9,627894,L,500743,R,81,Lineout,3,1,180511_020750,6d1e27ea-8e46-4668-befa-c1c8a7c6c8df,0,0,0,S,Called Strike,FF,5,2.0,3.19,1.54,94.5,86.3,40.81,1.5,50.0,6.36,0.2,2.17,6.45,11.29,-5.78,-137.2,-9.37,12.29,30.56,-10.67,40.8,3.6,24.0,2111,150,,,,,,,0,1,8,bottom
2018-05-10,529962,9,627894,L,500743,R,81,Lineout,3,2,180511_020806,185240f6-2e42-40c8-8730-08d0fe17aac4,0,1,0,B,Ball,FF,13,2.0,3.23,1.49,94.2,86.1,56.54,0.92,50.0,6.44,-1.01,1.66,5.97,10.08,-7.31,-136.53,-10.42,11.26,30.17,-13.15,32.4,3.6,24.0,2099,150,,,,,,,0,1,8,bottom
2018-05-10,529962,9,627894,L,500743,R,81,Lineout,3,3,180511_020835,8da00e55-bea7-49f0-8920-352396bd23be,1,1,0,X,In play- out(s),FF,13,2.0,3.3,1.55,94.0,86.0,55.69,1.16,50.0,6.42,-0.87,1.8,5.76,9.84,-7.46,-136.28,-9.91,10.83,29.7,-13.65,30.0,3.6,24.0,2157,151,,,,,,,0,1,8,bottom
2018-05-10,529962,9,627894,L,621446,R,82,Home Run,2,1,180511_020902,1d0b50c1-1fc8-4ceb-8394-8dc081948b36,0,0,1,S,Called Strike,SL,6,2.0,3.74,1.75,81.6,74.3,57.35,1.65,50.0,6.54,0.42,2.97,-3.01,-1.98,-1.98,-118.56,-0.81,-4.23,25.21,-34.96,7.2,10.8,24.0,2477,299,,,,,,,1,0,8,bottom
2018-05-10,529962,9,627894,L,621446,R,82,Home Run,2,2,180511_020922,abb2f3c0-fd62-4452-848d-29b322f4fbf1,0,1,1,X,In play- run(s),SL,6,2.0,3.84,1.83,83.5,76.4,25.18,1.69,50.0,6.43,0.49,2.76,-1.95,-0.29,-2.27,-121.29,-1.95,-2.89,24.89,-32.61,6.0,9.6,24.0,,278,,,,,,,1,0,8,bottom
2018-05-10,529962,9,627894,L,457727,R,83,Flyout,2,1,180511_021007,3380529f-71f1-4a78-89be-39db0f20508e,0,0,1,B,Ball,FT,11,2.0,3.62,1.82,95.1,84.9,56.05,1.2,50.0,6.44,-0.92,2.92,9.37,9.91,-8.96,-137.82,-6.97,17.59,37.62,-13.59,44.4,4.8,24.0,2168,138,,,,,,,0,1,7,bottom
2018-05-10,529962,9,627894,L,457727,R,83,Flyout,2,2,180511_021028,b7a61d27-a3a9-4953-8fc3-d3622ff45113,1,0,1,X,In play- out(s),FF,1,2.0,3.63,1.82,94.3,84.6,35.44,1.21,50.0,6.46,-0.35,3.13,7.34,11.7,-6.75,-136.81,-6.99,13.65,35.38,-10.41,44.4,3.6,24.0,2187,149,,,,,,,0,1,7,bottom
2018-05-10,529962,9,627894,L,592663,R,84,Pop Out,3,1,180511_021056,455521a3-a2f7-4523-8c13-d20cd6f6b553,0,0,2,S,Foul,FF,14,2.0,3.66,1.75,94.7,85.1,30.43,1.11,50.0,6.33,0.02,1.32,9.04,10.47,-6.07,-137.12,-11.11,16.89,35.57,-12.62,44.4,4.8,24.0,2169,137,,,,,,,0,1,7,bottom
2018-05-10,529962,9,627894,L,592663,R,84,Pop Out,3,2,180511_021116,52d7cbfc-ca09-422b-beb6-bdf5a7954966,0,1,2,S,Called Strike,SL,5,2.0,3.54,1.74,84.6,78.0,14.93,1.3,50.0,6.4,-0.2,2.69,-2.69,-0.79,-2.78,-123.0,-2.15,-4.13,23.83,-33.39,7.2,8.4,24.0,2554,286,,,,,,,0,1,7,bottom
2018-05-10,529962,9,627894,L,592663,R,84,Pop Out,3,3,180511_021131,234d9016-b268-4c68-ba09-7ac9e72de6fa,0,2,2,X,In play- out(s),SL,5,2.0,3.68,1.71,84.0,77.6,13.42,1.34,50.0,6.54,0.14,2.61,-4.55,-1.36,-1.48,-122.26,-2.43,-6.91,23.51,-34.24,12.0,9.6,24.0,2460,287,,,,,,,0,1,7,bottom
2018-05-15,530024,6,627894,L,656941,L,44,Strikeout,4,1,180516_012543,9477b388-29d8-4f7a-968b-b62c94d93db7,0,0,0,S,Called Strike,FF,11,0.9,3.31,1.58,93.7,86.4,61.71,1.27,50.0,6.41,-0.79,2.69,4.58,7.86,-7.17,-136.22,-6.83,8.66,27.79,-17.3,21.6,4.8,24.0,2043,152,,,,,,,0,1,0,top
2018-05-15,530024,6,627894,L,656941,L,44,Strikeout,4,2,180516_012557,017315c6-f242-4746-98b3-70615c195969,0,1,0,B,Ball,SL,13,0.9,3.12,1.48,83.4,77.2,8.75,1.65,50.0,6.12,-1.37,0.41,-0.55,1.03,-7.05,-121.03,-7.22,-0.82,23.35,-30.64,3.6,8.4,24.0,2344,259,,,,,,,0,1,0,top
2018-05-15,530024,6,627894,L,656941,L,44,Strikeout,4,3,180516_012617,54fab68d-7f3f-4c41-b505-416b883861aa,1,1,0,S,Called Strike,SL,7,0.9,3.12,1.46,80.3,74.6,26.23,1.59,50.0,6.32,-0.26,1.78,-3.03,-1.82,-3.37,-116.86,-3.0,-4.2,21.0,-34.7,7.2,10.8,24.0,2551,300,,,,,,,0,1,0,top
2018-05-15,530024,6,627894,L,656941,L,44,Strikeout,4,4,180516_012642,78abe9b7-2b73-407e-9541-9cb2baf27bd2,1,2,0,S,Swinging Strike,SL,4,0.9,3.15,1.34,82.9,76.8,30.99,1.56,50.0,6.38,-0.69,2.25,-2.33,-1.18,-4.64,-120.51,-2.74,-3.45,22.3,-33.91,7.2,9.6,24.0,2519,294,,,,,,,0,1,0,top
2018-05-15,530024,6,627894,L,546991,R,45,Flyout,2,1,180516_012716,efafcef2-7a28-4fab-b3c4-b0e308ea47da,0,0,1,S,Foul,FF,5,0.91,3.33,1.35,94.5,86.5,42.3,1.2,50.0,6.31,-0.19,2.01,7.66,8.99,-6.48,-137.07,-8.87,14.6,29.89,-15.04,38.4,4.8,24.0,2152,139,,,,,,,0,1,0,top
2018-05-15,530024,6,627894,L,546991,R,45,Flyout,2,2,180516_012749,0d1e1528-dc31-4984-822c-710ec843ed2b,0,1,1,X,In play- out(s),FF,2,0.87,3.33,1.35,93.0,85.5,24.12,1.4,50.0,6.42,0.11,2.71,4.4,9.31,-4.98,-135.28,-7.14,8.19,28.18,-14.84,24.0,3.6,24.0,2003,156,,,,,,,0,1,0,top
2018-05-15,530024,6,627894,L,608365,R,46,Pop Out,6,1,180516_012815,bad2b739-b15b-4c8d-b5eb-cf1e34eac411,0,0,2,S,Swinging Strike,SL,13,0.9,3.37,1.48,82.0,75.9,63.4,1.59,50.0,6.17,-0.7,0.95,-0.82,1.0,-5.14,-119.07,-5.77,-1.17,22.25,-30.74,3.6,8.4,24.0,2474,253,,,,,,,0,1,0,top
2018-05-15,530024,6,627894,L,608365,R,46,Pop Out,6,2,180516_012829,66030612-4306-49a7-afd5-a289bbbb89d9,0,1,2,B,Ball,SL,13,0.9,3.49,1.62,82.5,76.4,51.66,1.4,50.0,6.3,-0.76,1.21,-1.2,1.54,-4.76,-119.89,-5.74,-1.76,22.48,-29.93,4.8,8.4,24.0,,241,,,,,,,0,1,0,top
2018-05-15,530024,6,627894,L,608365,R,46,Pop Out,6,3,180516_012843,df85b521-85f1-40ef-8815-9b3ebb8f8206,1,1,2,B,Ball,FF,14,0.92,3.49,1.58,94.7,86.4,16.78,1.81,50.0,6.28,1.8,2.25,5.66,8.85,-2.02,-137.56,-8.11,10.82,31.31,-15.27,31.2,4.8,24.0,2120,145,,,,,,,0,1,0,top
2018-05-15,530024,6,627894,L,608365,R,46,Pop Out,6,4,180516_012900,b3d8a82b-bf78-4a3c-a259-91bbae87e691,2,1,2,S,Foul,FF,12,0.9,3.37,1.48,94.4,86.2,43.49,1.79,50.0,6.32,0.82,2.51,5.22,9.33,-4.47,-137.2,-7.64,9.93,30.95,-14.43,28.8,3.6,24.0,2061,151,,,,,,,0,1,0,top
