Date, Game, Inning, Pitcher, Hand, Batter, Stand, AB_ID, Result, AB_Total, AB_Count, Pfx_ID, Play_ID, Balls, Strikes, Outs, Code, Pdes, Type, Zone, Con, SZ_Top, SZ_Bot, Start_Speed, End_Speed, Nasty_Factor, X0, Y0, Z0, PX, PZ, PfxX, PfxZ, VX0, VY0, VZ0, AX, AY, AZ, Break_Angle, Break_Length, Break_Y, Spin_Rate, Spin_Direction, Runner 1B, Runner 2B, Runner 3B, End 1B, End 2B, End 3B, Runs, Outs On Play, Run Diff, Half
2019-09-17,564963,7,605447,R,600474,R,59,Strikeout,6,1,190613_015322,59b79e6d-e93b-4855-ac60-f5492d6bde1d,0,0,0,B,Ball,FF,13,2.0,3.12,1.59,95.8,87.6,,-2.07,50.0,5.44,-0.67,1.17,-5.12,10.86,5.68,-139.48,-9.76,-10.05,32.18,-10.84,33.6,3.6,24.0,2295,204,,,,,,,0,1,6,bottom
2019-09-17,564963,7,605447,R,600474,R,59,Strikeout,6,2,190613_015340,eec6d221-b2f0-40de-bcea-12ce334809fd,1,0,0,S,Swinging Strike,SL,14,2.0,3.27,1.59,87.6,81.1,,-2.17,50.0,5.61,0.66,1.49,1.17,1.21,6.77,-127.56,-4.41,1.93,25.1,-30.17,6.0,7.2,24.0,2160,112,,,,,,,0,1,6,bottom
2019-09-17,564963,7,605447,R,600474,R,59,Strikeout,6,3,190613_015358,430e926c-c4ad-4b47-af7d-b52ba959a62f,1,1,0,B,Ball,SL,14,2.0,3.4,1.59,86.6,79.9,,-1.93,50.0,5.69,0.23,0.92,1.94,-0.27,4.74,-126.18,-5.31,3.12,26.34,-32.61,7.2,8.4,24.0,2132,71,,,,,,,0,1,6,bottom
2019-09-17,564963,7,605447,R,600474,R,59,Strikeout,6,4,190613_015412,adddee29-c41d-41bf-aa77-9ced80c91dfd,2,1,0,B,Ball,FF,12,2.0,3.31,1.59,95.9,87.6,,-1.88,50.0,5.54,1.06,2.83,-1.87,9.94,8.74,-139.68,-5.18,-3.69,32.35,-12.59,7.2,2.4,24.0,2315,185,,,,,,,0,1,6,bottom
2019-09-17,564963,7,605447,R,600474,R,59,Strikeout,6,5,190613_015428,f49b91c6-447d-4547-93f5-a193d95c5b7d,3,1,0,S,Foul,FF,1,2.0,3.25,1.59,95.2,87.6,,-2.05,50.0,5.48,-0.49,3.1,-2.55,9.55,5.18,-138.91,-4.09,-5.01,29.81,-13.42,15.6,3.6,24.0,2292,192,,,,,,,0,1,6,bottom
2019-09-17,564963,7,605447,R,600474,R,59,Strikeout,6,6,190613_015450,e1edcc82-bc94-49d0-8639-66cf359b8f78,3,2,0,S,Called Strike,SL,8,2.0,3.4,1.59,87.8,81.8,,-2.22,50.0,5.57,-0.1,1.61,3.05,-1.47,4.35,-127.97,-3.22,5.12,23.68,-34.64,9.6,8.4,24.0,2140,64,,,,,,,0,1,6,bottom
2019-09-17,564963,7,605447,R,547004,L,60,Strikeout,3,1,190613_015524,03eb2259-383e-4bfa-9b42-b412433c92ce,0,0,1,S,Foul,FF,5,2.0,3.37,1.64,97.0,88.8,,-2.05,50.0,5.52,-0.05,2.67,-6.07,9.56,7.79,-141.3,-5.66,-12.27,32.04,-12.84,37.2,3.6,24.0,2326,209,,,,,,,0,1,6,bottom
2019-09-17,564963,7,605447,R,547004,L,60,Strikeout,3,2,190613_015541,50489439-3dc7-49d3-8cd2-87499388dc82,0,1,1,S,Swinging Strike,FF,5,2.0,3.31,1.64,99.1,90.7,,-2.1,50.0,5.61,-0.14,2.33,-4.39,9.9,7.21,-144.28,-7.36,-9.26,33.65,-11.31,30.0,2.4,24.0,2484,201,,,,,,,0,1,6,bottom
2019-09-17,564963,7,605447,R,547004,L,60,Strikeout,3,3,190613_015606,0b9f4e82-a0d1-47cb-b7c9-b339247c1c66,0,2,1,S,Swinging Strike (Blocked),SL,13,2.0,3.39,1.64,88.6,82.5,,-1.89,50.0,5.77,-0.09,0.66,1.22,-0.95,4.18,-129.13,-6.46,2.07,25.14,-33.79,4.8,8.4,24.0,1952,47,,,,,,,0,1,6,bottom
2019-09-17,564963,7,605447,R,593643,R,61,Groundout,4,1,190613_015635,af650102-b634-4a06-92e7-b30f83aa9f48,0,0,2,B,Ball,SL,13,2.0,3.36,1.61,86.3,79.8,,-2.14,50.0,5.58,-1.37,0.87,2.03,-2.25,1.24,-125.91,-4.5,3.25,25.98,-35.77,4.8,9.6,24.0,,38,,,,,,,0,1,6,bottom
2019-09-17,564963,7,605447,R,593643,R,61,Groundout,4,2,190613_015651,45aaede9-1520-498b-9922-a330dbef7cb5,1,0,2,S,Foul,FF,1,2.0,3.42,1.61,97.7,89.2,,-1.94,50.0,5.54,-0.47,2.86,-5.22,9.59,6.03,-142.29,-5.31,-10.69,33.1,-12.54,33.6,3.6,24.0,2324,206,,,,,,,0,1,6,bottom
2019-09-17,564963,7,605447,R,593643,R,61,Groundout,4,3,190613_015709,46b47cf9-1380-4cfc-bba3-f47fa07b81d1,1,1,2,B,Ball,FF,14,2.0,3.45,1.61,96.2,88.9,,-1.65,50.0,5.73,0.87,2.3,-3.72,10.57,8.33,-140.11,-7.56,-7.45,28.91,-10.96,25.2,2.4,24.0,2306,196,,,,,,,0,1,6,bottom
2019-09-17,564963,7,605447,R,593643,R,61,Groundout,4,4,190613_015728,ca6fd54a-229a-48a5-b2a0-e2c032760196,2,1,2,X,In play- out(s),SL,14,2.0,3.24,1.61,88.0,82.2,,-1.97,50.0,5.67,0.0,1.54,2.72,-0.57,4.13,-128.42,-4.02,4.6,23.52,-33.14,8.4,8.4,24.0,,74,,,,,,,0,1,6,bottom
2019-09-17,565642,8,605447,R,608686,R,63,Lineout,3,1,190615_222621,1c7691bc-2a42-4f0f-a83b-6e6c6481a03a,0,0,0,B,Ball,FF,13,2.0,3.02,1.56,95.8,87.4,,-2.01,50.0,5.53,-1.3,1.45,-5.98,9.06,4.09,-139.48,-8.59,-11.72,32.93,-14.41,33.6,3.6,24.0,2317,214,,,,,,,0,1,-5,bottom
2019-09-17,565642,8,605447,R,608686,R,63,Lineout,3,2,190615_222640,e8633f55-6728-4ed2-b55b-59791063b2eb,1,0,0,S,Foul,FF,11,2.0,3.21,1.56,97.1,88.5,,-2.27,50.0,5.67,-0.95,2.5,-6.35,8.67,5.98,-141.47,-6.2,-12.8,33.8,-14.69,34.8,3.6,24.0,2388,215,,,,,,,0,1,-5,bottom
2019-09-17,565642,8,605447,R,608686,R,63,Lineout,3,3,190615_222702,92552cf2-f3cd-404d-b438-32137c2934c5,1,1,0,X,In play- out(s),FF,13,2.0,3.3,1.5,96.1,87.9,,-2.05,50.0,5.64,-0.93,1.92,-5.73,9.02,5.15,-139.98,-7.67,-11.34,32.5,-14.33,32.4,3.6,24.0,2153,211,,,,,,,0,1,-5,bottom
2019-09-17,565642,8,605447,R,596117,L,64,Strikeout,5,1,190615_222735,56e9f0dc-df85-4624-9594-d7a37dbc818a,0,0,1,B,Ball,FF,11,2.0,2.98,1.5,95.9,88.2,,-2.1,50.0,5.78,-1.37,3.25,-4.14,8.41,3.49,-139.97,-4.2,-8.25,30.31,-15.42,25.2,3.6,24.0,1941,205,,,,,,,0,1,-5,bottom
2019-09-17,565642,8,605447,R,596117,L,64,Strikeout,5,2,190615_222749,4ba049b1-f9eb-46a5-9f76-cddbd4af3740,1,0,1,B,Ball,SL,11,2.0,3.1,1.32,85.5,79.1,,-2.32,50.0,5.94,-1.91,2.57,2.94,-2.68,0.09,-124.69,-0.92,4.65,24.17,-36.41,7.2,9.6,24.0,,47,,,,,,,0,1,-5,bottom
2019-09-17,565642,8,605447,R,596117,L,64,Strikeout,5,3,190615_222804,91281da6-9ee5-4472-a100-39f53b98260e,2,0,1,S,Foul,FF,6,2.0,3.3,1.5,96.3,88.6,,-2.07,50.0,5.67,0.26,2.18,-5.18,8.81,8.31,-140.2,-7.04,-10.35,30.39,-14.56,27.6,3.6,24.0,2192,207,,,,,,,0,1,-5,bottom
2019-09-17,565642,8,605447,R,596117,L,64,Strikeout,5,4,190615_222828,cab45e36-79e2-4ea0-99b1-66c78b714073,2,1,1,S,Swinging Strike,FF,11,2.0,3.3,1.5,94.2,85.8,,-2.12,50.0,5.69,-0.32,3.84,-3.25,9.43,6.02,-137.33,-2.35,-6.17,31.99,-14.26,18.0,3.6,24.0,2195,195,,,,,,,0,1,-5,bottom
2019-09-17,565642,8,605447,R,596117,L,64,Strikeout,5,5,190615_222849,2337b488-5652-4961-a1ed-57984893e162,2,2,1,S,Foul Tip,FF,11,2.0,3.3,1.5,96.6,87.8,,-1.9,50.0,5.85,-0.24,3.47,-2.18,9.02,5.39,-140.87,-4.03,-4.34,34.72,-14.21,10.8,3.6,24.0,2278,189,,,,,,,0,1,-5,bottom
2019-09-17,565642,8,605447,R,664702,R,65,Groundout,2,1,190615_222921,ed16be62-575a-4652-95c4-835893d1914b,0,0,2,B,Ball,FF,14,2.0,3.34,1.54,96.6,88.1,,-1.94,50.0,5.61,0.91,1.99,-4.81,8.69,9.61,-140.48,-7.33,-9.57,33.39,-14.9,24.0,3.6,24.0,2217,204,,,,,,,0,1,-5,bottom
2019-09-17,565642,8,605447,R,664702,R,65,Groundout,2,2,190615_222942,9ce13ecf-b538-4362-80d9-8ab369eafd19,1,0,2,X,In play- out(s),FF,2,2.0,3.22,1.56,95.9,87.2,,-2.1,50.0,5.69,0.09,3.21,-4.42,8.92,7.61,-139.6,-4.14,-8.66,33.25,-14.68,24.0,3.6,24.0,2175,202,,,,,,,0,1,-5,bottom
2019-09-17,566900,7,605447,R,600303,L,63,Grounded Into DP,2,1,190620_014920,d8d7a1a7-8e35-4a0c-80fe-8e4e325b53e4,0,0,1,S,Called Strike,FF,8,,3.31,1.63,95.3,87.3,,-2.21,50.0,5.38,-0.02,1.69,-4.58,10.17,7.61,-138.74,-7.85,-8.92,31.1,-12.36,27.6,3.6,24.0,2355,201,650859,518960,,,,,0,2,-4,top
2019-09-17,566900,7,605447,R,600303,L,63,Grounded Into DP,2,2,190620_014947,2e2f2565-6a68-44d6-b170-a71b2a592a3a,0,1,1,X,In play- out(s),SL,4,,3.23,1.57,86.5,79.8,,-2.21,50.0,5.73,-0.46,2.48,1.63,-1.51,3.82,-126.09,-1.13,2.63,25.15,-34.61,6.0,8.4,24.0,,53,650859,518960,,,,,0,2,-4,top
2019-09-17,566900,8,605447,R,545361,R,69,Strikeout,6,1,190620_020823,412c276a-2aa6-4edb-ac1a-524d55283ad9,0,0,0,S,Called Strike,SL,4,,3.27,1.62,83.7,76.9,,-2.18,50.0,5.66,-0.65,2.67,2.12,-0.87,3.01,-122.02,-0.24,3.18,24.43,-33.49,6.0,9.6,24.0,,72,,,,,,,0,1,-4,top
2019-09-17,566900,8,605447,R,545361,R,69,Strikeout,6,2,190620_020837,1d1edb4c-ad93-40e0-bea3-2cfc388c2244,0,1,0,B,Ball,FF,11,,3.47,1.71,95.2,87.2,,-1.88,50.0,5.72,-0.75,3.57,-4.92,8.02,4.86,-138.79,-2.88,-9.61,30.86,-16.52,26.4,3.6,24.0,2344,209,,,,,,,0,1,-4,top
2019-09-17,566900,8,605447,R,545361,R,69,Strikeout,6,3,190620_020851,352f35fe-4d02-4a50-83e8-130b5f26f942,1,1,0,S,Foul,FF,4,,3.47,1.64,95.9,87.6,,-1.98,50.0,5.64,-0.43,2.35,-4.17,9.64,5.77,-139.75,-6.69,-8.21,32.71,-13.18,25.2,3.6,24.0,2335,201,,,,,,,0,1,-4,top
2019-09-17,566900,8,605447,R,545361,R,69,Strikeout,6,4,190620_020914,cd061494-b85b-48c5-92d2-046cb0ec6a26,1,2,0,B,Ball,FF,12,,3.41,1.72,96.1,88.3,,-1.62,50.0,5.72,1.28,2.61,-2.88,10.09,9.05,-139.83,-6.42,-5.72,30.27,-12.11,15.6,2.4,24.0,2212,191,,,,,,,0,1,-4,top
2019-09-17,566900,8,605447,R,545361,R,69,Strikeout,6,5,190620_020930,d7ab6b64-e1e7-43fa-a2d3-e9605fe1389e,2,2,0,B,Ball,FF,11,,3.4,1.65,95.9,88.2,,-2.17,50.0,5.7,-0.9,3.88,-3.33,6.97,4.73,-139.97,-1.75,-6.63,30.06,-18.27,16.8,3.6,24.0,2165,202,,,,,,,0,1,-4,top
2019-09-17,566900,8,605447,R,545361,R,69,Strikeout,6,6,190620_020947,aa92d2d8-2a46-4472-b122-8b9732aec221,3,2,0,S,Called Strike,FF,1,,3.4,1.62,94.2,86.8,,-1.95,50.0,5.55,-0.52,3.25,-4.18,7.18,5.37,-137.4,-2.88,-8.04,28.58,-18.35,20.4,4.8,24.0,2071,207,,,,,,,0,1,-4,top
2019-09-17,566900,8,605447,R,660271,L,70,Strikeout,4,1,190620_021020,39e71f7b-0f3b-464e-9ac9-018e15ddf3f4,0,0,1,B,Ball,FF,13,,3.36,1.58,94.6,87.1,,-1.88,50.0,5.44,-0.01,1.01,-4.28,8.7,6.62,-137.66,-9.23,-8.24,29.37,-15.41,21.6,3.6,24.0,2264,204,,,,,,,0,1,-4,top
2019-09-17,566900,8,605447,R,660271,L,70,Strikeout,4,2,190620_021034,22bc8fe1-ed42-49d9-ab0b-ff13d2f3ba6e,1,0,1,S,Called Strike,FF,8,,3.34,1.59,95.4,87.5,,-2.05,50.0,5.48,-0.08,1.73,-4.75,9.8,7.11,-138.82,-7.92,-9.28,30.44,-13.01,27.6,3.6,24.0,2303,203,,,,,,,0,1,-4,top
2019-09-17,566900,8,605447,R,660271,L,70,Strikeout,4,3,190620_021051,1ccd349d-7d03-4271-ba90-91a9f735e345,1,1,1,S,Foul,FF,8,,3.37,1.57,95.6,87.5,,-2.1,50.0,5.47,-0.24,1.97,-5.12,9.78,6.94,-139.11,-7.24,-10.04,31.3,-13.02,30.0,3.6,24.0,2271,205,,,,,,,0,1,-4,top
2019-09-17,566900,8,605447,R,660271,L,70,Strikeout,4,4,190620_021109,e3978a71-b4fa-4988-98d0-b6d07b312306,1,2,1,S,Swinging Strike,SL,14,,3.31,1.56,88.4,82.7,,-1.97,50.0,5.75,0.17,0.73,1.84,-0.8,4.87,-128.79,-6.26,3.13,23.55,-33.54,6.0,8.4,24.0,2106,59,,,,,,,0,1,-4,top
2019-09-17,566900,8,605447,R,457708,R,71,Home Run,6,1,190620_021140,5a1d0b11-ac70-4e82-999e-6a582200734d,0,0,2,S,Called Strike,SL,4,,3.35,1.63,85.3,79.0,,-1.93,50.0,5.74,-0.48,2.4,2.68,-2.35,2.71,-124.38,-0.93,4.22,23.58,-35.88,7.2,9.6,24.0,,52,,,,,,,1,0,-4,top
2019-09-17,566900,8,605447,R,457708,R,71,Home Run,6,2,190620_021158,dce0b68d-1768-4ce1-a404-8e5a81033c0a,0,1,2,S,Swinging Strike,SL,14,,3.37,1.63,86.7,80.7,,-1.75,50.0,5.72,0.67,1.31,1.72,-2.49,5.49,-126.41,-3.8,2.8,24.12,-36.22,6.0,9.6,24.0,,39,,,,,,,1,0,-4,top
2019-09-17,566900,8,605447,R,457708,R,71,Home Run,6,3,190620_021217,b704f8f2-487c-4a5b-962b-ab1f9da5c935,0,2,2,B,Ball,FF,12,,3.37,1.63,95.8,88.2,,-1.47,50.0,5.81,1.06,3.4,-1.74,9.46,7.6,-139.66,-4.23,-3.45,29.64,-13.38,7.2,2.4,24.0,2332,185,,,,,,,1,0,-4,top
2019-09-17,566900,8,605447,R,457708,R,71,Home Run,6,4,190620_021237,b0b49217-0ba9-4f12-a79b-b3831ad0d255,1,2,2,B,Ball,FF,12,,3.35,1.63,95.5,88.2,,-1.42,50.0,5.71,1.95,2.55,-2.37,8.78,10.13,-139.03,-6.01,-4.67,28.87,-14.86,9.6,3.6,24.0,2293,188,,,,,,,1,0,-4,top
2019-09-17,566900,8,605447,R,457708,R,71,Home Run,6,5,190620_021257,01324809-fbd9-43f7-8890-883648dd40d5,2,1,2,S,Foul,SL,13,,3.31,1.62,86.0,79.6,,-2.13,50.0,5.72,-0.86,1.68,2.9,-2.94,2.21,-125.45,-2.57,4.63,25.09,-36.86,7.2,9.6,24.0,,45,,,,,,,1,0,-4,top
2019-09-17,566900,8,605447,R,457708,R,71,Home Run,6,6,190620_021331,b5cf581c-e8d9-4a32-9da8-88ce78da5580,2,2,2,X,In play- run(s),FF,8,,3.37,1.63,95.3,87.3,,-1.77,50.0,5.53,0.08,2.03,-3.72,9.92,6.38,-138.97,-7.26,-7.26,31.45,-12.8,21.6,3.6,24.0,2358,198,,,,,,,1,0,-4,top
2019-09-17,566900,8,605447,R,594777,L,72,Strikeout,6,1,190620_021425,8b5a55e4-5cff-475a-8d0a-2ef1e0a075c6,0,0,2,B,Ball,FF,11,,3.06,1.45,95.0,87.1,,-2.12,50.0,5.48,-2.54,2.59,-4.88,8.05,0.59,-138.52,-4.89,-9.48,30.89,-16.52,27.6,3.6,24.0,2271,212,,,,,,,0,1,-5,top
2019-09-17,566900,8,605447,R,594777,L,72,Strikeout,6,2,190620_021444,fc2004bb-7508-44f0-b49c-d9f88b210ecc,1,0,2,B,Ball,SL,13,,3.05,1.46,85.9,79.6,,-2.14,50.0,5.64,-1.32,1.42,2.41,-3.13,1.26,-125.36,-2.94,3.84,24.77,-37.17,6.0,9.6,24.0,,37,,,,,,,0,1,-5,top
2019-09-17,566900,8,605447,R,594777,L,72,Strikeout,6,3,190620_021503,d6263b86-87ba-42d2-8e88-9b1a2d20c0cc,2,0,2,S,Called Strike,FF,7,,3.02,1.43,95.1,87.3,,-2.0,50.0,5.42,-0.37,1.77,-4.31,9.44,5.99,-138.58,-7.44,-8.4,30.72,-13.79,25.2,3.6,24.0,2314,202,,,,,,,0,1,-5,top
2019-09-17,566900,8,605447,R,594777,L,72,Strikeout,6,4,190620_021522,4d2d1d28-42d6-44a0-8552-cc17c8e6db1d,2,1,2,S,Swinging Strike,SL,13,,2.98,1.39,83.9,77.9,,-1.74,50.0,5.61,-0.26,0.85,2.45,-2.35,2.82,-122.32,-4.11,3.72,23.67,-35.74,6.0,9.6,24.0,2192,45,,,,,,,0,1,-5,top
2019-09-17,566900,8,605447,R,594777,L,72,Strikeout,6,5,190620_021545,155510aa-6db0-48f5-bb93-653f72a28f62,2,1,2,S,Foul,SL,7,,2.95,1.39,85.7,79.2,,-2.02,50.0,5.75,-0.44,1.64,2.22,-3.56,3.17,-124.94,-2.46,3.5,25.35,-37.8,6.0,9.6,24.0,,35,,,,,,,0,1,-5,top
2019-09-17,566900,8,605447,R,594777,L,72,Strikeout,6,6,190620_021610,79156044-a889-4888-8863-d3ecb9f8cf0e,2,2,2,S,Swinging Strike,SL,13,,2.95,1.39,85.4,79.5,,-2.09,50.0,5.56,-0.38,0.92,3.61,-1.17,3.07,-124.66,-4.56,5.72,23.79,-34.03,9.6,9.6,24.0,2330,67,,,,,,,0,1,-5,top
2019-09-17,565061,9,605447,R,643217,L,78,Strikeout,3,1,190622_023331,c389ddc3-e459-4f98-8a2e-d1ff48ce9588,0,0,0,S,Called Strike,SL,7,,3.59,1.61,84.8,79.7,,-2.09,50.0,5.79,-0.46,1.85,2.78,-0.86,3.12,-123.86,-2.9,4.39,20.27,-33.54,8.4,8.4,24.0,,71,,,,,,,0,1,0,bottom
2019-09-17,565061,9,605447,R,643217,L,78,Strikeout,3,2,190622_023345,7f988c52-175b-4a7c-88e0-f39101ce1738,0,1,0,S,Foul,FF,7,,3.36,1.58,96.7,89.6,,-1.75,50.0,5.72,-0.26,1.87,-3.78,10.17,5.54,-140.92,-8.71,-7.7,28.49,-11.49,26.4,2.4,24.0,2321,199,,,,,,,0,1,0,bottom
2019-09-17,565061,9,605447,R,643217,L,78,Strikeout,3,3,190622_023404,a3f0ceb5-a313-4e3c-b5a0-0852c5fa00f0,0,2,0,S,Foul Tip,FF,11,,3.36,1.58,96.7,89.0,,-1.71,50.0,5.81,-1.19,2.47,-4.14,9.14,2.95,-141.04,-6.87,-8.37,30.96,-13.68,27.6,3.6,24.0,2329,204,,,,,,,0,1,0,bottom
2019-09-17,565061,9,605447,R,593428,R,79,Walk,5,1,190622_023455,e8f4c6cc-16b3-454b-9542-17c15c5a368b,0,0,1,B,Ball,SL,14,,3.5,1.51,86.8,80.8,,-1.85,50.0,5.79,0.43,0.86,2.68,-0.38,4.83,-126.44,-5.82,4.37,23.96,-32.79,8.4,8.4,24.0,,73,,,,593428,,,0,0,0,bottom
2019-09-17,565061,9,605447,R,593428,R,79,Walk,5,2,190622_023513,11535808-e98e-4b46-b0ec-b968d529b1f2,1,0,1,S,Called Strike,SL,5,,3.5,1.6,86.6,80.5,,-2.02,50.0,5.75,-0.13,2.39,2.7,-1.17,3.86,-126.38,-1.62,4.4,23.72,-34.09,8.4,8.4,24.0,2088,68,,,,593428,,,0,0,0,bottom
2019-09-17,565061,9,605447,R,593428,R,79,Walk,5,3,190622_023530,8f6a7854-d48d-42c8-9268-646527f03712,1,1,1,B,Ball,FF,14,,3.45,1.6,96.8,88.9,,-1.66,50.0,5.62,0.36,0.54,-5.97,10.2,7.78,-140.61,-12.01,-11.97,31.33,-11.71,36.0,3.6,24.0,2360,209,,,,593428,,,0,0,0,bottom
2019-09-17,565061,9,605447,R,593428,R,79,Walk,5,4,190622_023555,276c9de6-0c15-4a18-bf68-d4a4a45ebf60,2,1,1,B,Ball,FF,12,,3.5,1.57,94.1,86.4,,-1.89,50.0,5.63,0.04,3.95,-2.55,10.11,6.15,-137.29,-2.19,-4.88,29.46,-12.82,15.6,2.4,24.0,2237,190,,,,593428,,,0,0,0,bottom
2019-09-17,565061,9,605447,R,593428,R,79,Walk,5,5,190622_023623,3f95408b-841b-4519-95c3-67f2ad75b586,3,1,1,B,Ball,FF,12,,3.6,1.6,94.8,87.3,,-1.98,50.0,5.68,1.03,3.14,-4.11,9.41,9.67,-138.13,-4.39,-7.98,29.07,-13.89,21.6,3.6,24.0,2276,198,,,,593428,,,0,0,0,bottom
2019-09-17,565061,9,605447,R,502110,R,80,Strikeout,4,1,190622_023707,28ec6e81-c82b-49dd-bb5a-b847797b4a50,0,0,1,S,Foul,FF,5,,3.61,1.7,93.9,86.2,,-2.23,50.0,5.57,-0.16,2.55,-3.98,9.96,7.02,-136.78,-5.7,-7.56,29.26,-13.24,22.8,3.6,24.0,2298,198,593428,,,,,,0,1,0,bottom
2019-09-17,565061,9,605447,R,502110,R,80,Strikeout,4,2,190622_023737,10178684-2b0b-42be-b617-b4cc79176bb2,0,1,1,B,Ball,FF,11,,3.68,1.7,93.4,85.8,,-2.08,50.0,5.79,-0.83,4.59,-5.17,9.11,5.18,-136.33,-0.45,-9.77,28.74,-14.96,30.0,3.6,24.0,2282,206,593428,,,,,,0,1,0,bottom
2019-09-17,565061,9,605447,R,502110,R,80,Strikeout,4,3,190622_023809,83886bfc-4c56-40eb-aeb8-b7af3346da43,1,1,1,S,Foul,FF,11,,3.61,1.7,94.2,86.6,,-1.99,50.0,5.57,-1.03,2.76,-4.61,10.04,4.23,-137.45,-5.27,-8.84,29.47,-12.9,30.0,3.6,24.0,2252,203,593428,,,,,,0,1,0,bottom
2019-09-17,565061,9,605447,R,502110,R,80,Strikeout,4,4,190622_023839,cd793b80-ac78-43a3-ba8d-059493a5b8b3,1,2,1,S,Swinging Strike,FF,11,,3.61,1.7,95.6,88.0,,-2.0,50.0,5.78,-0.72,3.76,-4.52,9.7,5.14,-139.38,-3.25,-8.96,29.08,-12.95,30.0,3.6,24.0,2354,202,593428,,,,,,0,1,0,bottom
2019-09-17,565061,9,605447,R,571788,L,81,Strikeout,10,1,190622_023936,474bcfe0-b905-4636-a3e4-ef14a63358c9,0,0,2,S,Foul Tip,FF,1,,3.21,1.52,94.4,87.3,,-2.14,50.0,5.59,-0.45,2.79,-5.2,8.33,6.46,-137.7,-4.7,-10.08,27.68,-16.02,27.6,3.6,24.0,2305,209,,,,,,,0,1,0,bottom
2019-09-17,565061,9,605447,R,571788,L,81,Strikeout,10,2,190622_024011,d7a86784-0f88-461e-8a67-ff0d0c619e3d,0,1,2,S,Foul,FF,4,,3.21,1.52,96.0,89.0,,-1.9,50.0,5.66,-0.39,2.36,-4.65,8.81,5.87,-139.92,-6.58,-9.34,27.56,-14.47,27.6,3.6,24.0,2312,206,,,,,,,0,1,0,bottom
2019-09-17,565061,9,605447,R,571788,L,81,Strikeout,10,3,190622_024043,d40ff0f7-adea-4014-ab49-23b4518cc998,0,2,2,B,Ball,FF,11,,3.22,1.52,93.6,86.0,,-1.99,50.0,5.79,-1.04,3.28,-3.8,9.46,3.92,-136.53,-4.13,-7.2,29.16,-14.26,22.8,3.6,24.0,2137,200,,,,,,,0,1,0,bottom
2019-09-17,565061,9,605447,R,571788,L,81,Strikeout,10,4,190622_024105,03b77d07-a6e1-460f-94fa-9725c1b2cfc5,1,1,2,S,Foul,SL,13,,3.21,1.52,86.5,80.6,,-2.02,50.0,5.83,-0.75,1.05,0.81,-0.68,2.92,-126.04,-5.27,1.31,23.28,-33.29,2.4,8.4,24.0,,44,,,,,,,0,1,0,bottom
2019-09-17,565061,9,605447,R,571788,L,81,Strikeout,10,5,190622_024138,26d224c1-a187-4c9b-a22d-3c1019f3c9b6,1,2,2,B,Ball,FF,11,,3.19,1.52,95.5,88.0,,-2.0,50.0,5.76,-2.27,3.38,-5.21,8.8,1.12,-139.38,-3.88,-10.31,29.51,-14.76,32.4,3.6,24.0,2266,210,,,,,,,0,1,0,bottom
2019-09-17,565061,9,605447,R,571788,L,81,Strikeout,10,6,190622_024205,105c4754-622e-42ec-b7e3-e501b64402cb,2,1,2,S,Foul,SL,13,,3.21,1.52,85.4,79.4,,-2.2,50.0,5.75,-0.05,1.44,1.62,-1.23,4.78,-124.5,-3.7,2.55,23.48,-34.11,6.0,8.4,24.0,2152,54,,,,,,,0,1,0,bottom
2019-09-17,565061,9,605447,R,571788,L,81,Strikeout,10,7,190622_024237,62a3345e-31a0-493a-9ea2-4fe179510ab7,2,1,2,S,Foul,SL,13,,3.21,1.52,85.0,78.6,,-2.14,50.0,5.8,-1.03,1.94,1.47,-1.84,2.25,-123.86,-2.31,2.29,24.0,-35.04,4.8,9.6,24.0,,41,,,,,,,0,1,0,bottom
2019-09-17,565061,9,605447,R,571788,L,81,Strikeout,10,8,190622_024312,b2b5c5c6-dbbc-4bb7-a75a-e4305cdf1950,2,1,2,S,Foul,FF,3,,3.21,1.52,93.7,86.2,,-1.93,50.0,5.64,0.4,2.83,-2.58,8.67,7.19,-136.59,-4.67,-4.89,28.78,-15.73,12.0,3.6,24.0,2146,192,,,,,,,0,1,0,bottom
2019-09-17,565061,9,605447,R,571788,L,81,Strikeout,10,9,190622_024351,708cd64c-8cf5-4f98-ba7a-cfba20a6dbc3,2,2,2,S,Swinging Strike,FF,11,,3.21,1.52,93.8,86.4,,-2.07,50.0,5.68,-1.16,3.1,-4.58,8.14,4.07,-136.86,-3.9,-8.74,28.52,-16.63,24.0,3.6,24.0,2074,207,,,,,,,0,1,0,bottom
